期間,本國銀行_原始值,本國銀行_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),信用合作社_原始值,信用合作社_年增率(%),信用合作社_原始值,信用合作社_年增率(%)
1997M01,"263,800",55.15,"755,834",-,"414,575",-1.56,"4,463",-,"16,382",-59.41,"152,667",-,"305,397",22.35,160,-,"12,000",--,"99,030",-,"1,300",--,"1,300",-
1997M02,"286,540",-30.93,"645,614",-,"389,475",22.68,"1,070",-,"20,110",-35.63,"131,823",-,"255,706",12.44,-,-,-,-,"173,324",-,100,--,100,-
1997M03,"207,402",-45.80,"649,362",-,"462,016",27.47,-,-,"24,262",-38.70,"203,975",-,"246,547",19.22,-,-,"2,000",--,"88,890",-,-,-,-,-
1997M04,"204,326",-64.39,"602,668",-,"382,267",-10.76,"1,298",-,"27,832",-30.89,"197,955",-,"252,049",21.04,-,-,"4,000",--,"68,553",-,-,-,-,-
1997M05,"171,639",-48.70,"529,594",-,"344,174",-38.72,"5,885",-,"19,753",-61.14,"197,092",-,"237,150",-32.65,30,-,"2,200",--,"42,315",-,-,-,-,-
1997M06,"242,420",39.18,"624,101",-,"396,261",2.44,"5,383",-,"33,393",25.52,"203,823",-,"246,033",11.82,"7,700",-,900,-55.00,"78,000",-,-,-,-,-
1997M07,"329,381",7.05,"728,223",-,"332,966",-1.14,"1,749",-,"41,589",57.92,"188,099",-,"257,530",-12.21,"9,620",-,"4,850",--,"38,625",-,150,--,150,-
1997M08,"291,372",65.59,"588,650",-,"287,605",-36.29,"2,374",-,"38,468",-14.98,"148,675",-,"189,171",-51.35,"12,331",-,"3,100",--,"56,286",-,-,-,"1,400",-
1997M09,"362,639",161.36,"634,561",-,"328,602",-23.81,"23,694",-,"38,933",-10.01,"143,804",-,"218,135",-36.70,"28,199",-,800,--,"118,851",-,-,-,-,-
1997M10,"454,443",196.94,"679,813",-,"324,460",-24.23,"19,063",-,"29,604",-3.11,"155,300",-,"242,414",-13.77,"57,430",-,500,--,"139,815",-,-,-,-,-
1997M11,"429,847",161.46,"492,875",-,"243,985",-45.43,"19,334",-,"26,030",-43.40,"155,768",-,"181,203",-44.12,"50,898",-,"1,150",-61.67,"163,340",-,-,-,-,-
1997M12,"413,795",66.71,"605,840",-,"282,415",-21.39,"15,445",-,"19,386",-35.60,"166,426",-,"226,277",-2.35,"39,784",-,"4,250",41.67,"118,628",-,-,-,-,-
1998M01,"487,037",84.62,"622,853",-17.59,"294,197",-29.04,"7,774",74.19,"17,790",8.59,"132,852",-12.98,"248,589",-18.60,"48,010","29,906.25","1,900",-84.17,"238,024",140.36,-,-,-,-
1998M02,"444,867",55.25,"629,133",-2.55,"344,729",-11.49,"10,003",834.86,"56,649",181.70,"202,003",53.24,"258,846",1.23,"41,746",-,"3,100",-,"225,306",29.99,-,-,-,-
1998M03,"292,848",41.20,"585,366",-9.86,"290,542",-37.11,"13,371",-,"43,967",81.22,"215,721",5.76,"297,501",20.67,"60,160",-,"56,850","2,742.50","107,090",20.47,-,-,-,-
1998M04,"264,908",29.65,"657,588",9.11,"387,163",1.28,"4,339",234.28,"28,660",2.97,"184,259",-6.92,"303,569",20.44,"55,389",-,"34,900",772.50,"117,625",71.58,-,-,-,-
1998M05,"378,578",120.57,"825,710",55.91,"440,448",27.97,"2,977",-49.41,"24,984",26.48,"209,113",6.10,"383,834",61.85,"54,899","182,896.67","17,900",713.64,"153,045",261.68,-,-,-,-
1998M06,"523,557",115.97,"1,037,002",66.16,"374,870",-5.40,"18,799",249.23,"28,402",-14.95,"228,783",12.25,"441,913",79.62,"60,883",690.69,"212,750","23,538.89","236,325",202.98,600,-,300,-
1998M07,"445,067",35.12,"648,533",-10.94,"348,641",4.71,"43,881","2,408.92","29,638",-28.74,"236,183",25.56,"332,664",29.17,"42,778",344.68,"15,928",228.41,"200,963",420.29,500,233.33,100,-33.33
1998M08,"394,482",35.39,"710,594",20.72,"376,732",30.99,"19,067",703.16,"36,038",-6.32,"265,699",78.71,"456,710",141.43,"50,198",307.09,"17,570",466.77,"235,974",319.24,-,-,-,-
1998M09,"441,859",21.85,"888,069",39.95,"417,866",27.16,"17,614",-25.66,"28,796",-26.04,"276,095",91.99,"576,833",164.44,"34,658",22.91,"42,937","5,267.13","291,905",145.61,50,-,-,-
1998M10,"450,735",-0.82,"957,933",40.91,"446,784",37.70,"29,140",52.86,"40,655",37.33,"264,444",70.28,"527,269",117.51,"30,412",-47.05,"41,216","8,143.20","224,730",60.73,-,-,-,-
1998M11,"431,362",0.35,"806,807",63.69,"364,095",49.23,"27,915",44.38,"30,783",18.26,"179,760",15.40,"314,250",73.42,"69,238",36.03,"12,260",966.09,"69,030",-57.74,-,-,-,-
1998M12,"349,078",-15.64,"691,363",14.12,"276,736",-2.01,"42,765",176.89,"40,120",106.95,"93,490",-43.82,"294,079",29.96,"58,683",47.50,"29,800",601.18,"103,512",-12.74,-,-,-,-
1999M01,"303,966",-37.59,"554,117",-11.04,"254,882",-13.36,"65,846",747.00,"6,163",-65.36,"84,076",-36.71,"263,636",6.05,"56,668",18.03,"13,000",584.21,"80,940",-66.00,-,-,-,-
1999M02,"370,456",-16.73,"732,247",16.39,"307,515",-10.80,"47,312",372.98,"6,710",-88.16,"43,960",-78.24,"265,503",2.57,"34,875",-16.46,"63,800","1,958.06","155,590",-30.94,-,-,-,-
1999M03,"241,907",-17.40,"779,745",33.21,"358,347",23.34,"65,067",386.63,"10,820",-75.39,"58,897",-72.70,"378,149",27.11,"52,229",-13.18,"22,600",-60.25,"55,885",-47.81,-,-,-,-
1999M04,"229,269",-13.45,"640,862",-2.54,"229,940",-40.61,"66,373","1,429.68","6,549",-77.15,"44,723",-75.73,"317,234",4.50,"33,034",-40.36,"29,550",-15.33,"27,550",-76.58,-,-,-,-
1999M05,"284,133",-24.95,"696,907",-15.60,"225,654",-48.77,"62,544","2,000.91","5,844",-76.61,"33,705",-83.88,"287,877",-25.00,"48,122",-12.34,"45,850",156.15,"8,080",-94.72,-,-,-,-
1999M06,"255,757",-51.15,"632,228",-39.03,"137,689",-63.27,"67,973",261.58,"4,244",-85.06,"31,736",-86.13,"309,282",-30.01,"34,365",-43.56,"100,960",-52.55,"41,630",-82.38,-,-,-,-
1999M07,"229,184",-48.51,"619,198",-4.52,"162,412",-53.42,"77,074",75.64,"2,989",-89.91,"32,249",-86.35,"272,066",-18.22,"50,130",17.19,"125,690",689.11,"13,690",-93.19,-,-,-,-
1999M08,"239,463",-39.30,"642,016",-9.65,"141,379",-62.47,"72,503",280.25,"2,117",-94.13,"37,697",-85.81,"216,965",-52.49,"45,948",-8.47,"198,290","1,028.57",50,-99.98,-,-,-,-
1999M09,"182,936",-58.60,"436,440",-50.86,"105,331",-74.79,"30,181",71.35,"2,401",-91.66,"33,498",-87.87,"187,770",-67.45,"38,639",11.49,"65,470",52.48,"5,150",-98.24,-,-,-,-
1999M10,"205,771",-54.35,"475,403",-50.37,"138,520",-69.00,"21,416",-26.51,"1,531",-96.23,"33,616",-87.29,"178,413",-66.16,"26,650",-12.37,"47,740",15.83,"14,890",-93.37,-,-,-,-
1999M11,"210,507",-51.20,"512,908",-36.43,"121,393",-66.66,"20,916",-25.07,"2,875",-90.66,"33,641",-81.29,"205,056",-34.75,"28,781",-58.43,"61,580",402.28,"5,165",-92.52,-,-,-,-
1999M12,"315,916",-9.50,"597,740",-13.54,"115,593",-58.23,"47,924",12.06,"3,067",-92.36,"35,900",-61.60,"263,232",-10.49,"17,409",-70.33,"23,340",-21.68,"22,575",-78.19,400,-,-,-
2000M01,"162,710",-46.47,"340,019",-38.64,"96,454",-62.16,"49,621",-24.64,"2,563",-58.41,"28,846",-65.69,"176,589",-33.02,"10,840",-80.87,"7,560",-41.85,"16,550",-79.55,-,-,-,-
2000M02,"173,501",-53.17,"353,215",-51.76,"110,513",-64.06,"55,514",17.34,"4,846",-27.78,"28,317",-35.58,"153,740",-42.09,"10,919",-68.69,"14,530",-77.23,"9,245",-94.06,80,-,-,-
2000M03,"277,041",14.52,"565,011",-27.54,"152,023",-57.58,"71,224",9.46,"6,771",-37.42,"37,210",-36.82,"206,585",-45.37,"19,365",-62.92,"70,080",210.09,"20,190",-63.87,500,-,-,-
2000M04,"246,639",7.58,"359,350",-43.93,"62,767",-72.70,"82,983",25.03,"5,210",-20.45,"29,166",-34.79,"159,191",-49.82,"25,998",-21.30,"30,420",2.94,"6,730",-75.57,-,-,-,-
2000M05,"298,051",4.90,"512,148",-26.51,"86,920",-61.48,"102,957",64.62,"4,700",-19.58,"42,581",26.33,"297,178",3.23,"44,453",-7.62,"18,330",-60.02,"3,290",-59.28,250,-,-,-
2000M06,"442,296",72.94,"570,028",-9.84,"97,203",-29.40,"140,225",106.30,"9,200",116.78,"36,041",13.57,"280,775",-9.22,"95,750",178.63,"26,470",-73.78,"14,000",-66.37,150,-,50,-
2000M07,"308,254",34.50,"534,485",-13.68,"121,325",-25.30,"86,208",11.85,"11,550",286.42,"30,875",-4.26,"253,953",-6.66,"73,464",46.55,"36,850",-70.68,"6,900",-49.60,-,-,-,-
2000M08,"290,702",21.40,"691,198",7.66,"204,823",44.88,"68,984",-4.85,"12,350",483.37,"30,475",-19.16,"310,971",43.33,"49,289",7.27,"26,800",-86.48,"5,700","11,300.00",-,-,-,-
2000M09,"368,760",101.58,"786,964",80.31,"196,572",86.62,"74,971",148.40,"12,950",439.36,"25,800",-22.98,"292,165",55.60,"85,222",120.56,"107,010",63.45,"4,500",-12.62,-,-,-,-
2000M10,"338,917",64.71,"659,332",38.69,"167,045",20.59,"47,041",119.65,"10,100",559.70,"11,915",-64.56,"176,026",-1.34,"54,675",105.16,"92,375",93.50,"11,500",-22.77,-,-,-,-
2000M11,"351,754",67.10,"785,713",53.19,"146,448",20.64,"55,978",167.63,"12,450",333.04,"8,948",-73.40,"171,691",-16.27,"26,024",-9.58,"224,050",263.84,"29,730",475.61,-,-,-,-
2000M12,"729,719",130.99,"1,193,615",99.69,"208,209",80.12,"44,608",-6.92,"13,350",335.28,"8,120",-77.38,"225,644",-14.28,"37,434",115.03,"431,100","1,747.04","324,245","1,336.30",-,-,-,-
2001M01,"472,038",190.11,"842,676",147.83,"223,494",131.71,"24,006",-51.62,"12,089",371.67,"7,360",-74.49,"234,357",32.71,"27,069",149.71,"125,700","1,562.70","166,667",907.05,100,-,-,-
2001M02,"251,443",44.92,"730,114",106.71,"307,829",178.55,"49,130",-11.50,"9,978",105.90,"16,949",-40.15,"330,829",115.19,"11,961",9.54,"32,100",120.92,"124,025","1,241.54",-,-,-,-
2001M03,"279,823",1.00,"968,602",71.43,"450,687",196.46,"37,501",-47.35,"12,928",90.93,"17,255",-53.63,"362,270",75.36,"16,120",-16.76,"34,300",-51.06,"100,530",397.92,-,-,-,-
2001M04,"232,866",-5.58,"700,958",95.06,"291,202",363.94,"42,727",-48.51,"14,128",171.17,"13,063",-55.21,"265,306",66.66,"13,174",-49.33,"9,750",-67.95,"43,330",543.83,-,-,-,-
