期間,噸數(千公噸)-合計_原始值,噸數(千公噸)-合計_年增率(%),延噸公里(千噸公里)-合計_原始值,延噸公里(千噸公里)-合計_年增率(%),平均每噸貨物運距(公里)-合計_原始值,平均每噸貨物運距(公里)-合計_年增率(%),噸數(千公噸)-台鐵_原始值,噸數(千公噸)-台鐵_年增率(%),延噸公里(千噸公里)-台鐵_原始值,延噸公里(千噸公里)-台鐵_年增率(%),平均每噸貨物運距(公里)-台鐵_原始值,平均每噸貨物運距(公里)-台鐵_年增率(%),貨運收入(千元)-台鐵_原始值,貨運收入(千元)-台鐵_年增率(%),噸數(千公噸)-生產事業機構_原始值,噸數(千公噸)-生產事業機構_年增率(%),延噸公里(千噸公里)-生產事業機構_原始值,延噸公里(千噸公里)-生產事業機構_年增率(%)
2004M05,"1,385",3.03,"76,649",1.90,55.3,-1.09,999,4.38,"76,185",1.93,76.3,-2.35,"89,778",-0.06,386,-0.31,464,-1.51
2004M06,"1,372",8.66,"79,788",17.48,58.2,8.11,"1,007",11.86,"79,338",17.54,78.8,5.07,"93,679",15.41,365,0.69,451,7.15
2004M07,"1,400",8.94,"78,712",12.39,56.2,3.17,997,4.94,"78,282",12.43,78.5,7.14,"93,228",8.50,404,20.24,430,6.05
2004M08,"1,315",3.65,"70,910",1.86,53.9,-1.72,928,2.11,"70,479",1.83,75.9,-0.28,"83,476",1.21,386,7.54,431,7.68
2004M09,"1,329",-5.26,"68,782",-7.65,51.8,-2.52,943,-3.86,"68,377",-7.61,72.5,-3.90,"82,727",-4.78,385,-8.53,406,-13.99
2004M10,"1,435",0.26,"75,935",-1.74,52.9,-2.00,"1,017",0.65,"75,451",-1.75,74.2,-2.38,"91,506",1.74,418,-0.68,484,-1.23
2004M11,"1,434",10.03,"79,065",10.44,55.1,0.37,"1,038",12.39,"78,612",11.00,75.7,-1.24,"94,761",12.74,396,4.27,453,-40.99
2004M12,"1,454",-7.17,"79,934",11.39,55.0,20.00,"1,012",-0.60,"79,106",14.19,78.1,14.88,"95,054",16.08,442,-19.37,828,-66.63
2005M01,"1,640",11.06,"85,209",23.24,52.0,10.97,"1,114",18.24,"84,070",25.48,75.5,6.12,"101,031",25.30,525,-1.62,"1,139",-46.90
2005M02,"1,490",7.75,"63,703",-10.59,42.8,-17.02,935,2.84,"62,881",-8.94,67.3,-11.45,"75,246",-9.38,555,17.17,822,-62.55
2005M03,"1,815",21.43,"86,261",7.65,47.5,-11.35,"1,191",20.46,"85,118",8.51,71.5,-9.92,"102,093",10.04,624,23.33,"1,143",-32.26
2005M04,"1,597",7.72,"79,984",2.20,50.1,-5.13,"1,099",3.68,"79,458",2.14,72.3,-1.49,"94,154",1.25,498,17.85,526,12.18
2005M05,"1,663",20.06,"86,176",12.43,51.8,-6.35,"1,170",17.07,"85,691",12.48,73.3,-3.92,"101,546",13.11,493,27.79,485,4.56
2005M06,"1,625",18.42,"84,606",6.04,52.1,-10.45,"1,133",12.51,"84,119",6.03,74.2,-5.76,"101,976",8.86,491,34.73,487,8.03
