期間,收受部門-其他貨幣機構_原始值,收受部門-其他貨幣機構_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%),存款部門-國外_原始值,存款部門-國外_年增率(%)
2009,"11,503,246",28.22,"89,078",98.59,"335,127",100.06,"305,499",37.12,"15,718",39.05,"1,777,059",21.76,"8,769,043",27.62,"211,723",8.74
2010,"12,442,557",8.17,"92,172",3.47,"241,431",-27.96,"379,945",24.37,"13,496",-14.14,"1,963,047",10.47,"9,534,206",8.73,"218,261",3.09
2011,"12,733,544",2.34,"64,202",-30.35,"209,635",-13.17,"382,432",0.65,"17,187",27.35,"1,942,046",-1.07,"9,911,380",3.96,"206,662",-5.31
2012,"13,358,807",4.91,"66,135",3.01,"241,716",15.30,"342,172",-10.53,"28,641",66.64,"2,002,458",3.11,"10,481,599",5.75,"196,086",-5.12
