期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2008M03,"2,150,606",-23.76,"16,228,435",-22.01,"195,239",-20.77,"1,831,034",-26.74,"1,625,052",-28.55,"12,201,152",-26.80,"318,670",15.89,"2,143,476",38.63,"4,799",-75.02,"20,119",-70.01,400,-58.63,"1,121",-62.42,"6,446",30.14,"31,533",19.84
2008M04,"2,390,139",-1.59,"18,683,575",2.68,"304,380",426.30,"2,106,671",534.52,"1,765,125",-17.79,"14,043,494",-15.97,"300,542",43.28,"2,450,506",124.20,"15,692",48.22,"63,207",54.95,"3,190","1,383.72","12,514","2,387.87","1,210",-64.37,"7,183",-56.30
2008M05,"2,601,618",-22.67,"20,558,110",-22.99,"189,059",22.85,"1,064,353",-24.23,"2,184,709",-23.80,"18,161,409",-20.77,"209,449",-35.34,"1,262,895",-44.67,"14,927",49.40,"48,592",12.32,809,-68.32,"4,450",-41.51,"2,665",-59.97,"16,411",-49.74
2008M06,"2,463,167",-9.98,"20,128,481",-6.34,"123,739",-30.60,"1,126,559",-28.93,"2,054,073",3.89,"17,426,047",13.88,"269,109",-52.14,"1,517,691",-66.43,"12,340",-12.49,"43,209",-28.65,"2,676",199.66,"8,622",119.61,"1,230",-64.32,"6,353",-65.27
2008M07,"2,080,320",-34.85,"16,340,695",-35.01,"136,818",-76.71,"852,532",-83.29,"1,631,384",-30.16,"13,381,978",-27.45,"291,546",18.01,"2,014,447",35.43,"11,471",-30.08,"53,517",-37.71,"7,240",67.40,"27,976",91.75,"1,861",-4.47,"10,245",28.59
2008M08,"2,133,808",-23.76,"17,886,826",-15.55,"454,820",121.24,"4,874,085",140.33,"1,294,986",-41.50,"10,753,163",-35.96,"360,117",-1.07,"2,174,825",-5.41,"14,625",102.17,"52,063",86.17,"3,292",-45.39,"8,935",-57.21,"5,968",192.12,"23,755",88.83
2008M09,"1,999,095",-4.12,"16,214,345",1.61,"85,264",-60.17,"718,517",-65.39,"1,719,894",2.03,"14,556,492",11.59,"170,967",-1.57,"862,229",9.45,"20,251",99.44,"64,049",81.60,"2,266","3,496.83","10,348","4,540.36",453,-64.08,"2,710",-79.32
2008M10,"1,802,508",-37.46,"14,333,032",-37.42,"101,117",-68.47,"896,911",-72.49,"1,491,242",-30.62,"11,931,510",-28.63,"183,176",-52.05,"1,420,972",-49.74,"25,344",-11.05,"77,283",-14.36,469,-62.66,"1,462",-62.74,"1,160",73.65,"4,894",21.11
2008M11,"2,005,469",-40.92,"16,252,992",-43.28,"133,784",-60.84,"892,278",-73.63,"1,634,300",-42.42,"13,286,328",-45.22,"224,379",16.42,"2,026,842",116.87,"7,594",-32.76,"28,284",-46.98,"4,549",-26.65,"13,662",-34.71,863,-78.78,"5,598",-47.60
2008M12,"1,698,810",-53.36,"11,968,875",-53.94,"63,037",-89.76,"551,721",-84.23,"1,319,280",-44.40,"9,324,809",-45.51,"292,429",-54.01,"2,003,715",-62.20,"22,118",110.35,"80,105",103.43,637,-87.21,"1,803",-89.96,"1,309",-48.01,"6,722",-49.69
2009M01,"1,573,818",-50.83,"12,895,649",-46.80,"128,250",-71.77,"965,568",-66.17,"1,224,141",-45.59,"10,400,675",-42.17,"203,296",-57.92,"1,469,919",-56.04,"14,137",15.43,"43,879",-14.64,"2,939",152.71,"11,273",126.00,"1,055",148.82,"4,335",104.67
2009M02,"1,054,407",-35.70,"7,257,763",-42.93,"171,135",324.09,"1,243,059",202.22,"714,001",-49.24,"5,246,305",-53.94,"156,362",-6.79,"722,904",-13.31,"12,471",-41.01,"43,659",-36.00,438,-69.88,"1,836",-53.62,0,-100.00,0,-100.00
2009M03,"1,312,269",-38.98,"9,974,588",-38.54,"124,214",-36.38,"1,397,036",-23.70,"1,007,487",-38.00,"7,590,055",-37.79,"158,051",-50.40,"896,154",-58.19,"18,809",291.94,"73,484",265.25,"2,304",476.00,"9,503",747.73,"1,404",-78.22,"8,356",-73.50
2009M04,"1,469,348",-38.52,"13,318,860",-28.71,"77,913",-74.40,"592,405",-71.88,"1,111,730",-37.02,"9,883,621",-29.62,"266,046",-11.48,"2,790,821",13.89,"10,833",-30.96,"39,763",-37.09,820,-74.29,"3,188",-74.52,"2,006",65.79,"9,062",26.16
2009M05,"1,105,693",-57.50,"7,767,019",-62.22,"176,716",-6.53,"1,811,564",70.20,"769,540",-64.78,"5,205,557",-71.34,"153,112",-26.90,"725,883",-42.52,"5,463",-63.40,"20,021",-58.80,377,-53.40,"1,194",-73.17,485,-81.80,"2,800",-82.94
2009M06,"1,334,189",-45.83,"9,340,457",-53.60,"37,383",-69.79,"206,008",-81.71,"1,134,907",-44.75,"8,282,653",-52.47,"148,741",-44.73,"801,813",-47.17,"10,413",-15.62,"40,293",-6.75,"1,968",-26.46,"5,499",-36.22,777,-36.83,"4,191",-34.03
2009M07,"1,671,191",-19.67,"13,542,688",-17.12,"97,815",-28.51,"823,410",-3.42,"1,407,527",-13.72,"11,922,898",-10.90,"152,513",-47.69,"758,670",-62.34,"4,666",-59.32,"19,004",-64.49,"3,045",-57.94,"9,209",-67.08,"5,625",202.26,"9,497",-7.30
2009M08,"1,873,112",-12.22,"14,707,361",-17.78,"101,347",-77.72,"569,564",-88.31,"1,572,044",21.39,"13,182,737",22.59,"167,933",-53.37,"840,719",-61.34,"14,689",0.44,"50,444",-3.11,"8,550",159.72,"27,411",206.78,"8,549",43.25,"36,486",53.59
2009M09,"1,537,533",-23.09,"10,655,995",-34.28,"71,918",-15.65,"471,290",-34.41,"1,242,496",-27.76,"8,861,714",-39.12,"202,108",18.21,"1,252,176",45.23,"8,214",-59.44,"28,789",-55.05,"5,426",139.45,"15,293",47.79,"7,371","1,527.15","26,733",886.46
