期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--郵政儲金-劃撥_原始值,負債與淨值--郵政儲金-劃撥_年增率(%),負債與淨值--郵政儲金-存簿_原始值,負債與淨值--郵政儲金-存簿_年增率(%),負債與淨值--郵政儲金-定期_原始值,負債與淨值--郵政儲金-定期_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2010M01,"4,818,224",3.25,"255,758",-18.40,"3,370",-53.55,"1,039,275",28.69,"60,427",-14.12,"115,867",24.33,"7,916",-15.23,"2,446,199",5.06,"713,639",-19.38,-,-,"16,224",-58.71,"159,549",41.68,261,-5.78,"21,397",3.00,"1,469,721",4.81,"2,970,166",0.68,-,-,"27,418",981.15,"7,728",-94.24,"245,828",75.73,"75,705",354.82
2010M02,"4,858,544",2.22,"256,093",-19.22,"3,463",-43.26,"1,041,180",23.80,"79,378",-12.97,"119,773",25.58,"7,954",-14.69,"2,521,623",4.85,"686,154",-20.79,-,-,"20,814",23.77,"122,112",16.45,271,-10.56,"21,746",7.02,"1,528,071",8.95,"2,981,577",0.59,-,-,"26,938",-36.14,"25,362",-84.64,"197,391",41.66,"77,188",303.13
2010M03,"4,841,437",1.72,"250,011",-18.12,"2,354",-53.51,"1,080,368",19.70,"84,720",14.90,"98,301",-4.35,"7,895",7.53,"2,510,699",4.31,"667,212",-20.75,-,-,"13,754",2.93,"126,123",25.47,261,-18.94,"20,942",6.46,"1,516,428",8.67,"2,978,361",0.50,-,-,"39,558",-9.70,"9,188",-93.02,"204,160",14.18,"72,539",176.18
2010M04,"4,824,907",0.55,"244,146",-16.76,"4,542",29.29,"1,112,653",21.65,"83,309",26.52,"98,798",-3.53,"7,899",4.39,"2,493,525",1.31,"649,896",-21.83,-,-,"16,561",-13.94,"113,578",14.56,258,-14.57,"20,612",4.20,"1,513,446",8.77,"2,970,479",0.32,-,-,"60,260",-22.71,"8,686",-93.18,"185,806",-4.61,"65,360",153.33
2010M05,"4,817,027",1.60,"246,529",-13.20,"5,994",17.00,"1,103,728",18.52,"78,287",28.87,"103,319",9.59,"7,922",5.95,"2,508,680",4.51,"622,587",-25.19,-,-,"15,006",-34.51,"124,975",21.94,253,-14.53,"21,795",19.22,"1,498,847",7.94,"2,971,140",-0.12,-,-,"44,549",-27.57,"15,298",-83.27,"198,976",11.68,"66,169",137.45
2010M06,"4,807,383",1.61,"244,940",-13.48,"6,488",23.18,"1,120,061",17.77,"66,004",28.64,"106,735",-1.76,"7,745",-0.03,"2,514,352",4.40,"614,255",-23.54,-,-,"14,610",-0.03,"112,193",14.65,232,-22.41,"21,421",2.38,"1,496,507",8.83,"2,966,023",-0.14,-,-,"44,686",-15.40,"8,301",-83.96,"209,972",-0.65,"60,241",23.13
2010M07,"4,823,121",1.78,"244,212",-12.43,"8,160",83.54,"1,115,360",16.91,"52,971",27.16,"96,808",-8.41,"7,654",-0.89,"2,553,201",4.51,"595,717",-24.22,-,-,"16,567",5.37,"132,471",30.34,238,-18.77,"20,997",5.88,"1,543,505",8.29,"2,969,653",-0.11,-,-,"36,449",-9.74,"6,678",-86.24,"184,913",2.57,"60,688",18.24
2010M08,"4,827,271",1.90,"249,643",-10.73,"8,726",124.03,"1,103,540",15.30,"48,483",13.66,"93,732",-13.86,"7,340",-5.02,"2,609,182",7.13,"575,866",-26.48,-,-,"14,189",-4.96,"116,570",12.27,237,-13.19,"22,861",-9.23,"1,525,742",8.08,"2,962,981",-0.52,-,-,"71,522",56.89,"6,082",-87.78,"176,658",1.25,"61,188",17.35
2010M09,"4,803,129",1.67,"245,209",-10.20,"7,998",-24.62,"1,113,988",13.55,"46,585",9.21,"108,232",-9.25,"7,050",-10.34,"2,582,163",7.58,"551,018",-28.53,-,-,"14,131",4.76,"126,755",20.94,240,-6.98,"21,210",-6.19,"1,529,814",8.25,"2,964,363",-0.68,-,-,"28,377",-8.95,"7,295",-73.87,"178,642",2.44,"73,188",4.75
2010M10,"4,813,870",1.21,"247,868",-9.70,"5,324",-24.00,"1,134,831",12.65,"43,987",-21.03,"105,268",-12.35,"6,990",-11.15,"2,603,254",8.14,"523,359",-30.43,-,-,"16,332",4.29,"126,657",16.93,225,-14.45,"20,760",7.14,"1,532,187",7.25,"2,964,795",-0.43,-,-,"48,531",23.13,"9,384",-73.96,"164,503",-10.50,"73,485",3.60
