期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
2004M05,"2,402,955",...,"230,676","344,051","185,816",...,"109,190","90,589",...,"1,137,663",...,"304,970"
2004M06,"2,240,112",...,"399,042","249,403","213,743",...,"49,811","66,870",...,"991,210",...,"270,033"
2004M07,"2,402,850",...,"365,561","218,347","215,486",...,181,"88,399",...,"1,171,393",...,"343,483"
2004M08,"2,004,925",...,"352,845","151,356","149,080",...,"1,124","46,601",...,"910,371",...,"393,548"
2004M09,"2,473,891",...,"310,255","299,163","161,278",...,"10,079","127,276",...,"1,215,229",...,"350,611"
2004M10,"2,535,691",...,"580,935","257,937","41,472",...,"10,893","177,496",...,"1,124,675",...,"342,283"
2004M11,"3,287,220",...,"722,786","148,966","229,165",...,0,"253,384",...,"1,364,976",...,"567,943"
2004M12,"3,292,899",...,"782,275","394,776","146,081",...,589,"219,620",...,"1,425,564",...,"323,994"
2005M01,"2,677,753",...,"385,588","394,352","184,001",...,"124,702","47,607",...,"1,192,924",...,"348,579"
2005M02,"1,968,895",...,"203,845","389,055","157,535",...,"24,800","62,393",...,"892,217",...,"239,050"
2005M03,"1,941,411",...,"244,496","398,336","135,137",...,"14,621","71,937",...,"861,445",...,"215,439"
2005M04,"2,173,916",...,"419,766","101,821","83,914",...,"144,177","63,581",...,"1,157,354",...,"203,303"
2005M05,"2,263,518",...,"401,799","259,607","73,830",...,"3,541","126,382",...,"1,087,241",...,"311,118"
2005M06,"2,587,383",...,"413,375","281,579","83,228",...,"63,251","171,406",...,"1,195,196",...,"379,348"
2005M07,"2,316,669",...,"681,847","336,462","66,623",...,0,"81,789",...,"863,363",...,"286,585"
2005M08,"2,885,542",...,"513,424","234,059","374,924",...,"27,167","86,945",...,"1,137,569",...,"511,454"
2005M09,"2,649,555",...,"479,306","362,057","157,466",...,"3,114","142,740",...,"1,194,193",...,"310,679"
2005M10,"3,045,317",...,"686,258","264,687","152,650",...,"5,501","160,472",...,"1,436,462",...,"339,287"
2005M11,"3,036,098",...,"656,598","304,254","84,722",...,"12,441","196,174",...,"1,482,533",...,"299,376"
2005M12,"3,481,493",...,"898,665","275,469","151,380",...,"20,033","112,750",...,"1,471,677",...,"551,519"
2006M01,"3,545,195","17,405","306,185","615,774","206,527","28,857","24,393","93,162","73,940","1,998,462","1,662","178,828"
2006M02,"1,538,164","1,270","132,050","180,677","56,824","13,315","6,480","58,789","10,761","1,016,803",823,"60,372"
2006M03,"3,244,267","3,078","192,164","721,391","156,539","14,092","51,327","113,857","4,606","1,864,209",463,"122,541"
2006M04,"2,585,472","6,380","149,056","517,829","136,396","5,751","75,795","150,783","12,083","1,396,983","2,341","132,075"
2006M05,"3,137,537","24,410","134,450","412,548","237,509","24,715","15,722","139,523","14,537","1,980,974","3,944","149,205"
2006M06,"2,857,093","5,065","258,217","342,682","125,351","26,817","9,909","429,436","25,433","1,535,107","1,338","97,738"
2006M07,"2,624,745","3,452","140,447","450,718","130,181","3,787","8,150","232,124","69,963","1,489,198",691,"96,034"
2006M08,"3,126,360",772,"321,750","425,725","240,087","8,280","76,809","171,407","15,937","1,779,243","2,147","84,203"
2006M09,"3,034,321","2,009","533,384","411,013","268,913","18,190","7,113","207,649","30,185","1,460,415",413,"95,037"
2006M10,"3,212,167","1,598","277,677","652,675","100,300","6,189","117,473","167,759","55,349","1,694,373",862,"137,912"
2006M11,"3,669,449","16,448","266,812","399,311","126,551","11,572","94,946","265,084","11,063","2,377,567","1,265","98,830"
2006M12,"3,627,459","2,677","257,664","527,982","178,366","11,959","6,172","280,972","27,985","2,209,604","1,477","122,601"
2007M01,"2,851,244","1,875","144,592","397,313","221,164","17,643","4,362","164,051","54,368","1,771,707","8,746","65,423"
2007M02,"3,015,153","2,232","132,208","732,684","190,888","23,366","14,150","119,952","167,876","1,519,646",0,"112,151"
2007M03,"2,362,566",289,"203,134","301,336","177,294","12,647","32,643","120,247","18,052","1,404,803","1,956","90,165"
2007M04,"2,341,643","2,763","97,984","398,489","70,192","12,125","6,466","160,559","13,121","1,354,655","1,073","224,216"
2007M05,"3,219,701","16,701","21,111","494,635","176,326","8,225","71,552","308,074","80,257","1,881,584","2,490","158,746"
2007M06,"3,302,095","2,193","88,199","740,940","139,256","1,926","20,019","376,819","24,714","1,798,377","1,508","108,144"
2007M07,"3,479,042","3,801","28,379","1,025,520","93,172","18,095","61,748","195,499","33,021","1,886,303","7,587","125,917"
2007M08,"3,254,404",827,"39,055","445,652","243,214","31,214","96,252","248,704","18,770","2,032,531","1,289","96,896"
