期間,結婚-對數(對)_原始值,結婚-對數(對)_年增率(%),結婚-粗結婚率(0/00)_原始值,結婚-粗結婚率(0/00)_年增率(%),離婚-對數(對)_原始值,離婚-對數(對)_年增率(%),離婚-粗離婚率(0/00)_原始值,離婚-粗離婚率(0/00)_年增率(%),本國人與外國人結婚登記人數-計(人)_原始值,本國人與外國人結婚登記人數-計(人)_年增率(%),本國人與外國人結婚登記人數-男(人)_原始值,本國人與外國人結婚登記人數-男(人)_年增率(%),本國人與外國人結婚登記人數-女(人)_原始值,本國人與外國人結婚登記人數-女(人)_年增率(%),本國人與外國人離婚登記人數-計(人)_原始值,本國人與外國人離婚登記人數-計(人)_年增率(%),本國人與外國人離婚登記人數-男(人)_原始值,本國人與外國人離婚登記人數-男(人)_年增率(%),本國人與外國人離婚登記人數-女(人)_原始值,本國人與外國人離婚登記人數-女(人)_年增率(%)
2007M05,"14,358",20.35,0.63,-,"5,488",-2.14,0.24,-,794,-6.15,565,-7.22,229,-3.38,427,7.83,342,4.91,85,21.43
2007M06,"11,219",-6.82,0.49,-,"4,792",-18.06,0.21,-,793,1.41,570,5.17,223,-7.08,372,-5.82,309,-3.74,63,-14.86
2007M07,"11,136",-1.64,0.49,-,"5,455",3.24,0.24,-,797,-3.16,551,-7.55,246,8.37,433,18.31,366,27.08,67,-14.10
2007M08,"7,391",20.69,0.32,-,"5,223",-12.70,0.23,-,742,2.49,505,5.21,237,-2.87,397,-3.17,331,4.42,66,-29.03
2007M09,"6,059",21.52,0.26,-,"4,278",-16.61,0.19,-,688,-4.18,509,-3.60,179,-5.79,342,-12.53,284,-10.41,58,-21.62
2007M10,"12,302",7.19,0.54,-,"5,275",0.69,0.23,-,758,-6.19,536,-6.13,222,-6.33,413,24.40,338,29.01,75,7.14
2007M11,"11,713",-15.62,0.51,-,"4,608",-14.21,0.20,-,754,8.02,562,15.64,192,-9.43,342,-5.00,278,-1.77,64,-16.88
2007M12,"12,401",-34.45,0.54,-,"4,721",-15.79,0.21,-,"1,112",48.46,885,68.57,227,1.34,310,-20.10,255,-18.53,55,-26.67
2008M01,"17,979",17.85,0.78,-,"4,398",-8.87,0.19,-,987,20.66,761,27.05,226,3.20,325,-8.45,264,-6.05,61,-17.57
2008M02,"12,249",11.50,0.53,-,"3,711",11.91,0.16,-,604,-5.62,371,-20.73,233,35.47,332,27.20,252,21.15,80,50.94
2008M03,"10,232",-6.40,0.45,-,"4,735",-17.98,0.21,-,732,-17.47,484,-25.42,248,4.20,401,-14.32,338,-10.82,63,-29.21
