期間,融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%)
2005M09,"12,817",-49.28,"225,789",-35.43,"12,997",-45.56,"231,451",-29.45,"19,960",-16.30,"250,084",-19.72,"2,204",-48.01,"75,123",-20.28,"2,146",-46.96,"73,057",-17.03,832,-42.02,"26,489",-29.21
2005M10,"14,057",-39.02,"244,429",-21.22,"14,651",-35.81,"255,579",-18.00,"19,366",-19.57,"238,934",-22.94,"2,269",-38.48,"73,784",-1.64,"2,341",-41.43,"78,244",-7.61,760,-32.50,"22,029",-20.61
2005M11,"15,317",-17.12,"293,973",19.01,"15,409",-18.38,"293,658",13.88,"19,274",-18.61,"239,249",-20.04,"2,706",-33.81,"101,446",17.96,"2,548",-30.78,"91,814",18.99,918,-40.12,"31,661",-13.47
2005M12,"24,640",54.80,"453,595",115.97,"23,474",47.34,"423,087",96.83,"20,440",-13.63,"269,757",-8.34,"3,136",1.82,"96,623",33.65,"2,972",-3.16,"91,343",28.70,"1,082",-29.92,"36,941",-2.55
2006M01,"23,876",59.11,"479,616",164.46,"24,060",52.26,"466,741",140.04,"20,256",-11.43,"282,632",0.50,"2,990",15.76,"105,178",75.05,"3,289",14.40,"113,762",73.54,783,-37.46,"28,357",-12.58
2006M02,"12,143",-2.28,"240,737",34.55,"12,542",-3.26,"243,316",32.70,"19,857",-11.07,"280,053",1.18,"1,658",-10.09,"57,543",8.30,"1,737",-10.79,"62,520",17.87,704,-38.73,"23,380",-28.13
2006M03,"16,067",-20.44,"386,300",20.13,"16,484",-22.68,"375,972",13.31,"19,440",-8.32,"290,381",8.95,"2,141",-20.11,"102,797",53.26,"2,322",-28.00,"106,953",31.59,523,-13.41,"19,224",4.89
2006M04,"20,775",63.62,"422,344",114.15,"20,613",41.96,"407,325",79.33,"19,602",1.14,"305,400",29.07,"2,503",26.10,"86,953",40.86,"2,334",13.69,"82,310",32.22,692,29.10,"23,867",34.06
2006M05,"29,937",127.78,"560,135",171.76,"28,203",103.28,"526,332",141.81,"21,336",14.40,"339,203",50.72,"3,744",42.52,"108,352",55.14,"3,432",56.00,"102,102",70.72,"1,004",4.26,"30,117",8.19
2006M06,"16,496",-29.88,"324,308",3.17,"18,053",-19.95,"365,989",20.46,"19,779",0.80,"297,522",26.30,"2,625",-42.84,"101,201",4.58,"2,784",-30.69,"108,028",18.96,845,-45.06,"23,290",-31.09
