期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),看護補助_原始值,看護補助_年增率(%),看護補助_原始值,看護補助_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),器具補助_原始值,器具補助_年增率(%),器具補助_原始值,器具補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%)
2007M09,253,0.00,"15,765",-34.29,5,-16.67,257,29.80,135,21.62,"6,168",36.52,1,--,48,--,31,14.81,"2,224",39.70,-,--,-,--,-,--,0,-100.00,19,-20.83,119,-56.41,58,-18.31,"5,800",-18.31,3,-50.00,590,-79.57,0,-100.00,0,-100.00,0,--,0,--,1,-66.67,559,-85.12,0,--,0,--,-,--,-,--
2007M10,307,33.48,"24,489",27.14,15,7.14,254,32.98,131,13.91,"6,284",28.93,0,--,12,--,29,16.00,"2,280",29.55,-,--,-,--,-,--,"1,093",420.48,44,120.00,338,102.40,78,65.96,"7,800",65.96,2,100.00,770,121.26,4,-33.33,"2,501",-17.57,0,--,0,--,4,300.00,"3,157",-16.24,0,-100.00,0,-100.00,-,--,-,--
2007M11,209,0.48,"20,311",-36.57,9,12.50,241,17.56,100,-8.26,"6,346",24.38,0,--,0,--,24,20.00,"2,288",27.68,-,--,-,--,-,--,557,153.18,41,241.67,373,410.96,27,-27.03,"2,700",-27.03,3,-25.00,765,-64.47,4,0.00,"2,146",-10.62,0,--,0,--,1,-90.00,"4,579",-67.97,0,-100.00,316,-84.80,-,--,-,--
2007M12,329,31.60,"20,265",3.07,12,0.00,245,16.67,165,23.13,"6,516",27.61,1,--,12,--,26,13.04,"2,384",31.28,-,--,-,--,-,--,586,120.30,50,72.41,454,122.55,64,52.38,"6,400",52.38,3,-50.00,968,-46.07,1,-50.00,713,-50.00,0,--,0,--,1,-50.00,74,-98.30,6,--,"1,914",576.33,-,--,-,--
2008M01,294,9.29,"21,072",3.93,12,33.33,249,17.45,132,9.09,"6,648",24.12,1,--,40,--,31,24.00,"2,416",28.51,-,--,-,--,-,--,586,134.40,54,100.00,464,100.87,56,-30.00,"5,600",-30.00,6,200.00,"2,545",372.17,2,-50.00,"1,336",-38.46,0,--,0,--,0,-100.00,"1,188",1.28,0,--,0,-100.00,-,--,-,--
2008M02,280,84.21,"31,542",108.01,8,60.00,273,29.38,124,67.57,"6,990",28.92,0,--,0,--,25,108.33,"2,528",31.67,-,--,-,--,-,--,0,-100.00,31,24.00,246,3.80,84,154.55,"8,400",154.55,3,0.00,"1,186",-28.94,4,--,"2,846",--,0,--,0,--,1,--,"7,754",508.16,0,--,"1,319",48.54,-,--,-,--
2008M03,264,14.78,"43,502",109.83,10,42.86,269,15.95,127,20.95,"6,824",23.36,0,--,0,--,25,31.58,"2,504",27.24,-,--,-,--,-,--,"1,293",348.96,34,-2.86,284,-18.86,54,0.00,"5,400",0.00,4,-50.00,"2,177",-43.43,5,400.00,"3,668",414.45,0,--,0,--,3,200.00,"20,675",760.74,2,--,408,--,-,--,-,--
2008M04,208,-20.00,"23,608",30.37,3,-66.67,256,8.02,125,1.63,"6,844",19.94,0,--,0,--,30,20.00,"2,560",24.03,-,--,-,--,-,--,657,--,19,-34.48,96,-58.08,24,-63.64,"2,400",-63.64,4,0.00,"1,400",38.34,1,0.00,128,-66.49,0,--,0,--,2,100.00,"8,263",516.18,0,-100.00,"1,005",87.15,-,--,-,--
2008M05,212,-3.20,"19,852",-25.26,8,14.29,350,47.68,104,-2.80,"8,370",43.17,0,--,0,--,22,-4.35,"3,198",52.58,-,--,-,--,-,--,0,-100.00,46,70.37,334,-11.17,25,-50.00,"2,500",-50.00,1,-50.00,242,-58.70,1,-50.00,328,-47.60,0,--,0,--,4,300.00,"3,375",-61.48,1,--,"1,155",-42.99,-,--,-,--
2008M06,270,5.47,"20,153",18.68,6,-14.29,331,39.66,155,1.97,"8,404",43.36,0,--,0,--,39,8.33,"3,220",53.63,-,--,-,--,-,--,"1,393",201.52,32,6.67,248,16.98,34,36.00,"3,400",36.00,3,200.00,"1,486",421.40,0,-100.00,0,-100.00,0,--,0,--,1,0.00,"1,327",-50.24,0,-100.00,344,-34.10,-,--,-,--
2008M07,274,2.24,"21,283",-6.67,8,33.33,341,42.68,139,2.96,"8,436",38.16,0,--,0,--,36,38.46,"3,310",53.24,-,--,-,--,-,--,716,50.42,46,91.67,370,72.90,38,-42.42,"3,800",-42.42,0,-100.00,0,-100.00,6,200.00,"3,891",189.08,0,--,0,--,0,-100.00,448,-81.06,1,--,-29,--,-,--,-,--
2008M08,297,4.58,"25,001",-49.36,14,16.67,354,27.34,123,18.27,"8,610",39.19,1,--,24,--,28,21.74,"3,360",47.37,-,--,-,--,-,--,742,47.22,45,55.17,406,67.08,82,-3.53,"8,200",-3.53,0,-100.00,0,-100.00,2,0.00,"1,490",32.33,0,--,0,--,2,-90.48,"1,078",-95.87,0,--,736,--,-,--,-,--
