期間,出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),出口外匯收入金額_原始值,出口外匯收入金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%),進口外匯支出金額_原始值,進口外匯支出金額_年增率(%)
2001,"25,371",-,"111,861",-,"137,232",-,"38,316",-,"80,595",-,"118,911",-
2002,"24,668",-2.77,"117,820",5.33,"142,488",3.83,"36,373",-5.07,"85,838",6.51,"122,211",2.78
2003,"24,418",-1.01,"138,736",17.75,"163,154",14.50,"39,236",7.87,"106,090",23.59,"145,326",18.91
