期間,景氣同時指標綜合指數(點)_原始值,景氣同時指標綜合指數(點)_年增率(%),工業生產指數(Index 2011=100)_原始值,工業生產指數(Index 2011=100)_年增率(%),電力(企業)總用電量(十億度)_原始值,電力(企業)總用電量(十億度)_年增率(%),製造業銷售量指數(Index 2011=100)_原始值,製造業銷售量指數(Index 2011=100)_年增率(%),商業營業額(十億元)_原始值,商業營業額(十億元)_年增率(%),非農業部門就業人數(千人)_原始值,非農業部門就業人數(千人)_年增率(%),海關出口值(十億元)_原始值,海關出口值(十億元)_年增率(%),機械及電機設備進口值(十億元)_原始值,機械及電機設備進口值(十億元)_年增率(%)
2000M10,64.48,9.90,64.41,6.64,8.75,18.24,66.49,5.42,785.2,11.61,"8,803",1.46,436.3,17.85,191.1,8.30
2000M11,63.64,7.13,63.17,2.82,7.73,-1.40,64.01,2.07,777.7,9.83,"8,828",1.11,417.1,11.93,176.1,14.75
2000M12,62.63,3.97,62.31,-0.21,7.69,10.17,62.60,-3.01,778.6,5.17,"8,835",1.08,408.8,15.09,154.1,1.05
2001M01,61.50,0.59,53.21,-12.14,6.93,-0.29,54.92,-13.73,733.5,-1.70,"8,781",0.49,330.6,-12.48,140.3,-5.93
2001M02,60.32,-2.78,55.51,12.69,6.87,6.02,57.60,11.43,704.2,-2.43,"8,700",0.53,335.9,18.96,139.5,3.03
2001M03,59.15,-6.01,61.87,-3.21,7.72,1.71,65.03,-5.08,737.2,-2.86,"8,684",0.14,388.2,3.46,144.5,-12.59
2001M04,58.05,-8.98,56.10,-7.27,7.50,-1.19,58.97,-6.32,711.7,-5.76,"8,650",-0.52,365.2,-4.59,156.9,-11.75
2001M05,57.09,-11.46,58.71,-7.70,8.08,-2.77,60.12,-9.59,705.2,-9.56,"8,642",-0.92,341.2,-17.11,126.9,-31.31
2001M06,56.36,-13.31,55.46,-13.15,8.66,1.64,56.75,-14.80,710.4,-8.94,"8,662",-0.92,359.2,-8.14,127.3,-26.32
2001M07,55.81,-14.51,54.96,-12.57,8.86,6.24,56.36,-13.35,719.8,-10.42,"8,663",-1.23,346.1,-19.22,131.7,-33.92
2001M08,55.50,-15.01,58.35,-9.34,8.47,-0.24,60.06,-8.46,736.6,-8.49,"8,674",-1.41,337.6,-16.68,118.6,-34.27
2001M09,55.44,-14.77,53.31,-16.03,8.00,-3.96,55.12,-17.76,691.3,-13.97,"8,640",-1.62,314.6,-23.76,118.2,-36.54
2001M10,55.70,-13.63,59.01,-8.38,8.45,-3.43,60.50,-9.01,727.5,-7.34,"8,649",-1.75,408.5,-6.38,159.0,-16.77
2001M11,56.16,-11.76,57.23,-9.40,7.71,-0.26,60.21,-5.94,737.5,-5.16,"8,677",-1.71,361.5,-13.33,124.5,-29.31
2001M12,56.83,-9.25,56.15,-9.89,7.55,-1.82,57.86,-7.57,760.8,-2.29,"8,698",-1.55,365.6,-10.56,134.0,-13.09
2002M01,57.70,-6.18,57.92,8.85,7.59,9.52,61.19,11.42,732.9,-0.09,"8,729",-0.59,350.4,5.98,128.0,-8.81
2002M02,58.72,-2.66,47.61,-14.23,6.22,-9.46,49.66,-13.78,677.7,-3.77,"8,706",0.07,290.1,-13.65,104.6,-25.00
2002M03,59.76,1.04,61.50,-0.60,7.85,1.68,65.37,0.52,758.3,2.86,"8,708",0.28,416.1,7.20,165.7,14.66
2002M04,60.67,4.52,61.44,9.52,8.08,7.73,64.55,9.46,745.5,4.75,"8,728",0.90,393.1,7.62,153.9,-1.89
2002M05,61.36,7.47,64.74,10.27,9.19,13.74,65.92,9.65,751.1,6.51,"8,742",1.16,394.1,15.50,141.8,11.78
2002M06,61.77,9.61,60.49,9.07,8.57,-1.04,62.20,9.60,753.9,6.13,"8,752",1.04,396.2,10.31,149.4,17.43
2002M07,61.99,11.07,62.82,14.30,9.19,3.72,64.06,13.66,768.8,6.80,"8,768",1.21,386.0,11.53,160.1,21.56
2002M08,62.10,11.89,63.35,8.57,9.29,9.68,64.20,6.89,762.2,3.48,"8,772",1.13,379.8,12.49,129.5,9.23
