期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
2004M05,"3,402,001",...,"746,533","195,495","126,543",...,"56,185","108,836",...,"1,804,525",...,"363,884"
2004M06,"3,351,513",...,"716,940","374,040","106,194",...,"1,905","173,827",...,"1,540,052",...,"438,555"
2004M07,"4,571,369",...,"633,016","1,168,084","236,487",...,"30,150","238,368",...,"1,609,569",...,"655,695"
2004M08,"3,589,511",...,"788,794","267,203","196,102",...,"236,315","75,105",...,"1,560,769",...,"465,223"
2004M09,"3,569,027",...,"827,047","423,564","241,851",...,230,"101,028",...,"1,484,156",...,"491,151"
2004M10,"3,403,437",...,"614,321","284,512","113,132",...,"12,221","181,327",...,"1,793,847",...,"404,077"
2004M11,"3,785,353",...,"780,827","513,253","150,086",...,"33,115","174,442",...,"1,564,850",...,"568,780"
2004M12,"4,399,924",...,"737,816","758,091","128,596",...,"16,738","170,063",...,"2,027,136",...,"561,484"
2005M01,"3,374,180",...,"834,637","273,070","105,106",...,"49,278","90,566",...,"1,664,642",...,"356,881"
2005M02,"2,448,144",...,"518,860","223,072","112,702",...,0,"44,073",...,"1,136,413",...,"413,024"
2005M03,"4,176,553",...,"1,004,256","385,095","222,759",...,"7,753","221,136",...,"1,563,035",...,"772,519"
2005M04,"3,014,745",...,"548,304","383,609","144,361",...,0,"130,265",...,"1,459,299",...,"348,907"
2005M05,"3,652,391",...,"715,887","286,633","179,829",...,398,"140,579",...,"1,874,403",...,"454,662"
2005M06,"4,239,388",...,"946,414","476,573","342,479",...,"43,081","119,943",...,"1,596,125",...,"714,773"
2005M07,"3,643,529",...,"872,587","305,396","292,863",...,"17,635","85,388",...,"1,725,712",...,"343,948"
2005M08,"3,526,414",...,"726,179","397,613","191,015",...,"31,678","129,785",...,"1,493,503",...,"556,641"
2005M09,"4,051,623",...,"994,433","385,828","111,814",...,"117,157","97,770",...,"1,603,733",...,"740,888"
2005M10,"3,141,213",...,"631,580","335,711","123,300",...,"85,088","263,557",...,"1,262,950",...,"439,027"
2005M11,"4,020,360",...,"1,136,314","345,964","171,361",...,"3,842","277,671",...,"1,498,536",...,"586,672"
2005M12,"3,911,890",...,"1,009,077","263,190","103,564",...,411,"110,708",...,"1,610,291",...,"814,649"
2006M01,"3,653,519","3,050","315,986","676,660","91,161","4,020","9,799","354,633","11,704","1,877,587","1,403","307,516"
2006M02,"2,186,252","65,158","308,538","225,047","100,137","5,642","10,303","162,481","5,719","1,062,108",0,"241,119"
2006M03,"3,257,927","11,154","215,681","719,378","71,626","12,845","17,787","308,982","5,267","1,798,198","3,363","93,646"
2006M04,"2,836,396","21,695","318,601","550,648","112,068","9,533","13,235","167,833","3,633","1,455,087",558,"183,505"
2006M05,"3,083,702","6,142","174,175","729,602","128,593","15,438","35,274","190,225","69,565","1,625,652",728,"108,308"
2006M06,"3,751,350","3,850","163,132","1,097,765","173,796","8,614","16,826","181,998","11,421","1,937,006","2,348","154,594"
2006M07,"4,066,125","25,217","151,718","965,202","73,887","42,437","10,773","245,782","43,246","2,347,658",971,"159,234"
2006M08,"2,481,142","9,052","45,207","447,710","124,518","23,129","82,681","341,245","26,066","1,291,292","2,241","88,001"
2006M09,"2,753,061",0,"100,599","497,272","152,043","20,414","44,590","369,478","5,667","1,458,192",599,"104,207"
2006M10,"2,414,102","4,301","249,401","376,578","134,131","5,605","24,286","188,590","48,760","1,301,974",530,"79,946"
2006M11,"3,163,000","24,129","115,986","370,337","287,360","7,394","82,859","137,659","9,160","2,013,863","2,003","112,250"
2006M12,"3,017,837","6,327","253,454","375,042","218,490","21,830","55,283","342,258","3,308","1,569,096",704,"172,045"
2007M01,"3,146,436",10,"134,569","559,576","344,276","46,551","10,967","261,241","10,491","1,654,766",584,"123,405"
2007M02,"2,240,057","3,655","67,746","486,996","125,252","19,303","6,401","239,097","48,842","1,190,310","2,028","50,427"
2007M03,"2,820,855","8,678","461,109","398,218","285,200","28,977","18,111","121,382","18,492","1,389,844","1,291","89,553"
2007M04,"2,428,777",20,"56,376","325,960","67,680","14,125","12,246","95,012","42,281","1,699,235","1,108","114,734"
2007M05,"3,364,160","3,761","63,122","356,777","158,583","25,523","38,333","150,010","126,730","2,291,922","3,195","146,204"
2007M06,"2,736,113","4,388","266,211","538,349","64,260","13,784","16,713","242,080","12,102","1,405,805","3,458","168,963"
2007M07,"3,193,188",333,"127,174","507,824","155,063","19,612","23,830","217,937","12,245","1,915,580","13,902","199,688"
2007M08,"2,798,632","4,157","126,277","392,126","182,673","37,631","30,783","412,678","23,046","1,448,481",346,"140,434"
