期間,發行部門-其他金融機構_原始值,發行部門-其他金融機構_年增率(%),發行部門-公營事業_原始值,發行部門-公營事業_年增率(%),發行部門-民營企業_原始值,發行部門-民營企業_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2009,"211,725",11.38,"367,325",15.63,"557,889",-11.62,"344,157",-8.05,"400,185",20.64,"266,158",-12.53,"9,134",877.87,"35,189",0.59,"75,038",-0.18,"7,079",-59.83
2010,"193,136",-8.78,"420,175",14.39,"588,893",5.56,"316,151",-8.14,"484,317",21.02,"257,541",-3.24,"10,370",13.54,"36,041",2.42,"79,345",5.74,"18,438",160.46
2011,"203,352",5.29,"477,705",13.69,"669,976",13.77,"379,952",20.18,"510,523",5.41,"280,999",9.11,"8,309",-19.87,"33,495",-7.07,"89,168",12.38,"48,587",163.52
2012,"210,242",3.39,"533,660",11.71,"875,621",30.69,"497,849",31.03,"613,812",20.23,"293,112",4.31,"9,744",17.27,"33,027",-1.40,"106,889",19.87,"65,090",33.97
