期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2001M05,"21,050,734",2.84,"1,360,471",89.56,"14,074,670",0.74,"2,021,579",13.57,"366,546",3.44,"11,686,545",-1.27,"2,319,480",0.35,"884,234",12.87,"57,126",-17.19,"1,378,120",-5.54,"163,977",-9.35,"2,871,815",-5.46,"44,884",37.99,"45,784",0.01,"169,653",-1.35,"419,642",-24.96,"18,031,879",5.76,"229,412",-15.28,"924,310",-9.16,"2,570,553",-3.36,"2,935,405",-5.30,"265,123",10.87,"6,971,675",7.65,"1,164,342",77.51,"2,971,059",12.92,-,-,"769,698",-3.75,"279,201",-17.40,"358,523",15.83,"107,035",23.66,"1,767,551",0.29,"-682,795",--
2001M06,"21,177,674",3.28,"1,439,048",91.44,"14,168,612",0.56,"2,039,788",12.95,"369,694",1.04,"11,759,130",-1.33,"2,315,129",4.24,"877,668",11.50,"58,426",-12.53,"1,379,035",0.88,"175,072",-1.14,"2,818,653",-6.39,"49,237",36.60,"45,626",-0.33,"166,297",-4.26,"419,111",-18.51,"18,364,305",6.58,"284,402",0.22,"970,147",-8.84,"2,676,552",0.72,"2,898,805",-6.27,"286,573",16.20,"7,010,342",7.70,"1,230,784",73.70,"3,006,700",12.68,-,-,"774,372",-2.94,"272,743",-12.49,"353,524",14.52,"105,876",26.33,"1,764,833",-0.08,"-877,090",--
2001M07,"21,402,925",4.70,"1,537,954",115.76,"14,103,500",0.10,"2,025,306",10.54,"422,348",11.29,"11,655,846",-1.87,"2,451,107",8.82,"917,104",20.66,"59,528",-12.80,"1,474,475",3.53,"185,650",2.83,"2,861,500",-2.98,"47,312",29.84,"45,626",-0.33,"170,276",-2.89,"480,571",-4.20,"18,336,462",6.76,"362,002",36.28,"899,085",-10.22,"2,606,031",-0.90,"2,873,959",-6.06,"265,317",6.04,"7,043,767",7.82,"1,249,320",70.98,"3,036,981",12.25,-,-,"786,642",-2.76,"326,317",5.97,"368,539",17.08,"108,889",34.16,"1,774,695",-0.34,"-779,190",--
2001M08,"21,528,942",5.35,"1,603,389",120.96,"13,906,789",-0.90,"1,969,127",8.73,"413,163",15.52,"11,524,499",-2.87,"2,511,379",9.72,"952,960",25.78,"55,464",-18.07,"1,502,955",2.69,"198,837",2.08,"3,048,646",3.63,"49,024",35.80,"45,627",-0.33,"165,251",-2.43,"531,887",16.21,"18,371,443",6.34,"228,554",-13.32,"975,779",-6.33,"2,663,917",2.05,"2,893,036",-5.01,"261,095",-0.70,"7,104,407",7.99,"1,190,523",57.33,"3,054,132",12.45,-,-,"777,237",-2.81,"277,128",-4.97,"344,194",9.65,"125,965",61.53,"1,758,629",-2.31,"-657,541",--
2001M09,"21,601,020",5.67,"1,675,507",103.26,"13,904,278",-1.33,"2,002,790",9.50,"409,183",13.82,"11,492,305",-3.45,"2,449,550",9.14,"955,204",25.40,"60,101",-10.06,"1,434,245",1.30,"194,060",8.65,"3,118,907",9.45,"50,876",41.18,"45,627",-0.33,"162,215",-5.36,"602,536",25.08,"18,367,225",6.23,"266,765",8.54,"947,314",-5.05,"2,706,195",6.75,"2,852,390",-6.57,"256,730",-3.56,"7,148,825",8.12,"1,128,384",33.01,"3,060,622",12.01,-,-,"805,294",1.78,"313,727",-1.17,"343,131",11.82,"147,158",104.26,"1,776,708",-1.79,"-754,759",--
2001M10,"21,484,407",5.05,"1,605,256",78.85,"13,799,289",-2.83,"2,022,488",6.86,"402,144",11.42,"11,374,657",-4.79,"2,498,582",16.84,"1,010,420",29.60,"54,589",-7.54,"1,433,573",10.30,"182,065",7.46,"3,130,053",12.09,"62,525",69.87,"45,627",-0.33,"161,010",-5.48,"531,271",21.59,"18,341,254",5.50,"228,423",-8.51,"953,352",-3.00,"2,750,741",9.35,"2,810,466",-7.60,"248,693",-10.01,"7,161,776",8.25,"1,136,673",17.32,"3,051,130",11.58,-,-,"782,098",1.06,"301,717",3.08,"338,844",14.53,"154,774",106.56,"1,787,715",-1.51,"-753,266",--
2001M11,"21,470,881",4.00,"1,508,420",42.08,"13,733,021",-3.48,"2,042,250",4.48,"400,032",10.92,"11,290,739",-5.22,"2,528,983",15.59,"1,014,817",26.75,"63,174",6.68,"1,450,992",9.25,"186,899",5.95,"3,244,686",18.72,"58,454",44.11,"45,627",-0.33,"164,791",-3.48,"535,058",12.48,"18,398,293",4.75,"226,069",-10.44,"954,049",-2.58,"2,877,687",13.17,"2,790,217",-8.13,"235,656",-19.45,"7,162,931",8.21,"1,102,572",3.00,"3,049,112",10.10,-,-,"793,872",2.02,"291,644",3.59,"336,075",10.23,"183,839",121.97,"1,788,246",-1.52,"-856,146",--
2001M12,"21,849,408",4.35,"1,572,154",30.03,"14,034,604",-2.72,"2,132,692",3.47,"460,515",19.78,"11,441,397",-4.51,"2,452,336",12.95,"1,011,687",25.52,"58,534",7.04,"1,382,115",5.47,"175,385",-11.29,"3,342,677",25.47,"59,666",41.44,"45,623",-0.33,"166,963",-7.58,"540,096",17.76,"18,742,707",4.52,"274,532",-14.54,"1,118,498",6.15,"3,107,171",19.99,"2,727,889",-9.74,"231,181",-23.41,"7,140,862",7.60,"1,101,348",-6.42,"3,041,226",7.48,-,-,"835,759",4.80,"285,135",1.00,"340,039",10.95,"202,611",121.03,"1,760,895",0.51,"-857,834",--
2002M01,"21,940,808",5.07,"1,627,427",36.36,"13,940,825",-2.86,"2,220,778",5.40,"465,543",16.90,"11,254,504",-5.00,"2,510,254",13.19,"1,016,360",24.76,"66,758",5.50,"1,427,136",6.52,"179,665",-9.59,"3,306,015",27.05,"58,147",27.14,"45,624",-0.34,"272,851",20.59,"555,867",38.03,"18,792,841",4.23,"246,319",0.36,"1,065,290",12.07,"3,264,392",19.92,"2,653,358",-10.96,"227,343",-26.46,"7,128,850",6.16,"1,124,993",-2.69,"3,082,296",4.45,-,-,"762,452",1.62,"308,575",9.06,"328,251",4.88,"212,479",123.80,"1,773,486",0.22,"-793,143",--
2002M02,"21,778,737",3.81,"1,640,851",37.63,"13,832,214",-2.91,"2,219,999",4.56,"470,845",25.21,"11,141,370",-5.16,"2,557,357",10.23,"1,029,749",21.45,"62,585",-8.61,"1,465,023",4.38,"174,992",-18.77,"3,286,207",20.19,"57,287",22.33,"45,624",-0.34,"184,205",3.50,"545,080",30.03,"18,902,134",4.07,"272,791",-3.61,"1,016,153",8.88,"3,319,404",23.00,"2,632,636",-12.54,"224,403",-29.84,"7,150,746",4.81,"1,154,206",3.29,"3,131,795",5.17,-,-,"723,737",-2.00,"275,437",-1.85,"305,913",-5.54,"218,961",124.82,"1,766,518",-0.58,"-959,043",--
