期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交量(十億股)_原始值,成交量(十億股)_年增率(%),日平均值(十億元)_原始值,日平均值(十億元)_年增率(%),交易日數_原始值,交易日數_年增率(%),交易所股價指數(月平均)_原始值,交易所股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2008M09,"1,871.78",-24.30,60.39,-2.33,89.13,-35.12,21,16.67,"6,203.77",-31.59,"1,253,045",-10.72
2008M10,"1,246.85",-64.27,52.32,-36.57,56.68,-64.27,22,0.00,"5,043.05",-47.50,"1,204,447",-25.91
2008M11,"1,113.83",-61.66,54.44,-19.37,55.69,-57.82,20,-9.09,"4,509.53",-48.75,"1,095,513",-26.59
2008M12,"1,382.76",-36.94,69.89,33.53,60.12,-42.42,23,9.52,"4,496.38",-45.89,"1,052,907",-10.13
2009M01,846.03,-72.33,37.78,-51.81,56.40,-59.42,15,-31.82,"4,475.14",-43.51,"865,172",-35.95
2009M02,"1,309.13",-28.12,56.65,17.29,65.46,-49.68,20,42.86,"4,476.87",-44.04,"985,660",-10.29
2009M03,"2,309.60",-27.73,107.94,23.67,104.98,-31.02,22,4.76,"4,925.88",-41.63,"1,363,495",-8.02
2009M04,"3,132.24",-4.96,140.32,64.41,142.37,-9.28,22,4.76,"5,724.36",-35.52,"1,570,972",-0.44
2009M05,"3,459.42",17.27,132.89,75.99,192.19,36.82,18,-14.29,"6,586.30",-26.08,"1,644,960",8.92
2009M06,"2,845.15",40.62,100.94,98.70,123.70,28.40,23,9.52,"6,495.99",-20.59,"1,552,695",20.82
2009M07,"3,032.34",37.64,102.78,61.58,131.84,31.66,23,4.55,"6,834.54",-4.11,"1,565,738",30.41
2009M08,"2,096.28",7.29,71.56,35.99,104.81,12.65,20,-4.76,"6,855.82",-3.04,"1,443,477",33.36
2009M09,"2,640.41",41.06,84.07,39.21,120.02,34.66,22,4.76,"7,321.12",18.01,"1,580,103",26.10
2009M10,"2,779.02",122.88,89.86,71.75,126.32,122.87,22,0.00,"7,588.72",50.48,"1,636,714",35.89
2009M11,"2,284.02",105.06,72.62,33.39,108.76,95.30,21,5.00,"7,611.73",68.79,"1,509,855",37.82
2009M12,"2,946.84",113.11,91.36,30.72,128.12,113.11,23,0.00,"7,836.69",74.29,"1,772,937",68.38
2010M01,"2,982.78",252.56,91.69,142.69,149.14,164.43,20,33.33,"8,098.58",80.97,"1,831,378",111.68
2010M02,"1,306.70",-0.19,38.95,-31.24,93.34,42.59,14,-30.00,"7,431.71",66.00,"1,247,581",26.57
2010M03,"2,325.40",0.68,67.24,-37.71,101.10,-3.70,23,4.55,"7,775.16",57.84,"1,485,187",8.93
2010M04,"2,569.26",-17.97,75.30,-46.34,122.35,-14.06,21,-4.55,"8,052.45",40.67,"1,649,833",5.02
2010M05,"1,984.95",-42.62,58.39,-56.06,94.52,-50.82,21,16.67,"7,525.68",14.26,"1,552,994",-5.59
2010M06,"1,674.14",-41.16,48.67,-51.78,79.72,-35.55,21,-8.70,"7,383.42",13.66,"1,253,984",-19.24
2010M07,"2,235.85",-26.27,65.66,-36.12,101.63,-22.91,22,-4.35,"7,638.86",11.77,"1,434,372",-8.39
2010M08,"2,725.32",30.01,83.14,16.18,123.88,18.19,22,10.00,"7,883.91",15.00,"1,647,296",14.12
2010M09,"2,630.21",-0.39,71.30,-15.19,125.25,4.36,21,-4.55,"8,039.50",9.81,"1,604,110",1.52
2010M10,"2,387.01",-14.11,66.56,-25.93,113.67,-10.01,21,-4.55,"8,210.01",8.19,"1,552,896",-5.12
2010M11,"2,324.26",1.76,61.73,-15.00,105.65,-2.86,22,4.76,"8,350.26",9.70,"1,522,751",0.85
2010M12,"3,072.80",4.27,88.94,-2.65,133.60,4.28,23,0.00,"8,777.11",12.00,"1,787,444",0.82
2011M01,"2,621.30",-12.12,75.90,-17.22,131.07,-12.12,20,0.00,"8,970.76",10.77,"1,682,534",-8.13
2011M02,"1,908.63",46.06,48.14,23.59,136.33,46.06,14,0.00,"8,742.56",17.64,"1,479,924",18.62
2011M03,"2,632.64",13.21,64.40,-4.22,114.46,13.21,23,0.00,"8,575.49",10.29,"1,619,826",9.07
2011M04,"2,130.05",-17.09,50.96,-32.32,112.11,-8.37,19,-9.52,"8,860.92",10.04,"1,466,361",-11.12
2011M05,"2,172.78",9.46,49.71,-14.87,103.47,9.47,21,0.00,"8,910.54",18.40,"1,446,778",-6.84
2011M06,"2,067.54",23.50,44.62,-8.32,98.45,23.49,21,0.00,"8,748.66",18.49,"1,351,524",7.78
