期間,櫃買市場證券-總成交值 (十億元)_原始值,櫃買市場證券-總成交值 (十億元)_年增率(%),上市證券信用交易-總成交值(十億元)_原始值,上市證券信用交易-總成交值(十億元)_年增率(%),上櫃證券信用交易-總成交值(十億元)_原始值,上櫃證券信用交易-總成交值(十億元)_年增率(%),證券服務事業-證券商總公司家數(家)_原始值,證券服務事業-證券商總公司家數(家)_年增率(%),證券服務事業-經紀商家數(家)_原始值,證券服務事業-經紀商家數(家)_年增率(%),期貨商-專營家數(家)_原始值,期貨商-專營家數(家)_年增率(%),期貨經理事業-專營家數(家)_原始值,期貨經理事業-專營家數(家)_年增率(%)
2010M08,"7,940.29",32.22,"2,796.92",31.60,538.14,32.66,127,-3.05,90,-3.23,18,-10.00,3,0.00
2010M09,"6,753.77",-1.88,"2,695.91",0.52,515.56,-6.59,127,-3.05,90,-3.23,18,-10.00,2,-33.33
2010M10,"6,769.60",-4.39,"2,458.93",-12.75,376.49,-19.43,126,-3.82,90,-2.17,18,-10.00,2,-33.33
2010M11,"6,973.70",18.68,"2,390.69",3.12,341.92,-21.50,125,-5.30,89,-4.30,18,-10.00,2,-33.33
2010M12,"6,799.68",2.21,"3,154.93",5.00,523.05,-33.40,125,-4.58,89,-3.26,18,-10.00,2,-33.33
2011M01,"6,868.00",0.85,"2,698.07",-11.22,404.49,-36.27,125,-3.85,89,-3.26,18,-10.00,2,-33.33
2011M02,"4,890.84",22.05,"1,961.10",47.31,302.79,26.20,125,-3.10,89,-2.20,18,-10.00,1,-66.67
2011M03,"7,305.71",0.39,"2,708.87",14.53,523.70,-9.81,125,-1.57,89,-1.11,18,-10.00,1,-66.67
2011M04,"5,717.62",-20.41,"2,198.17",-16.08,375.30,-40.46,123,-3.15,89,-1.11,18,-10.00,1,-66.67
2011M05,"6,401.83",-13.61,"2,247.08",11.01,425.13,-6.34,122,-3.94,87,-3.33,18,-5.26,1,-66.67
2011M06,"6,412.65",-6.84,"2,133.23",25.09,370.34,7.33,122,-3.94,86,-4.44,18,-5.26,1,-66.67
2011M07,"6,464.11",-14.72,"2,505.70",9.18,353.60,-22.09,123,-3.91,87,-3.33,18,-5.26,1,-66.67
2011M08,"6,951.38",-12.45,"3,018.85",7.93,344.87,-35.91,123,-3.15,87,-3.33,18,0.00,1,-66.67
2011M09,"6,617.47",-2.02,"2,193.30",-18.64,247.91,-51.91,123,-3.15,87,-3.33,18,0.00,1,-50.00
2011M10,"5,874.52",-13.22,"1,867.48",-24.05,223.33,-40.68,123,-2.38,87,-3.33,18,0.00,1,-50.00
2011M11,"6,034.54",-13.47,"1,962.16",-17.92,247.44,-27.63,123,-1.60,87,-2.25,18,0.00,1,-50.00
2011M12,"6,058.99",-10.89,"1,495.13",-52.61,174.14,-66.71,122,-2.40,86,-3.37,18,0.00,1,-50.00
2012M01,"4,553.68",-33.70,"1,389.13",-48.51,172.17,-57.44,122,-2.40,86,-3.37,18,0.00,1,-50.00
2012M02,"5,894.04",20.51,"2,850.37",45.35,459.46,51.74,123,-1.60,86,-3.37,18,0.00,1,0.00
2012M03,"6,511.07",-10.88,"2,348.38",-13.31,394.90,-24.59,123,-1.60,86,-3.37,18,0.00,1,0.00
2012M04,"5,598.13",-2.09,"1,553.30",-29.34,228.53,-39.11,122,-0.81,85,-4.49,17,-5.56,1,0.00
2012M05,"5,998.15",-6.31,"1,648.89",-26.62,220.21,-48.20,122,0.00,85,-2.30,17,-5.56,1,0.00
2012M06,"6,208.40",-3.19,"1,367.42",-35.90,183.48,-50.46,122,0.00,85,-1.16,17,-5.56,1,0.00
2012M07,"6,329.46",-2.08,"1,486.97",-40.66,169.70,-52.01,122,-0.81,85,-2.30,17,-5.56,1,0.00
2012M08,"5,896.51",-15.18,"1,707.07",-43.45,223.84,-35.09,122,-0.81,85,-2.30,17,-5.56,1,0.00
2012M09,"4,962.46",-25.01,"1,749.30",-20.24,220.08,-11.23,122,-0.81,85,-2.30,17,-5.56,1,0.00
2012M10,"5,810.26",-1.09,"1,435.72",-23.12,208.57,-6.61,122,-0.81,85,-2.30,17,-5.56,1,0.00
2012M11,"5,495.75",-8.93,"1,563.45",-20.32,203.96,-17.57,120,-2.44,83,-4.60,17,-5.56,1,0.00
2012M12,"4,929.27",-18.65,"1,688.03",12.90,266.81,53.22,120,-1.64,83,-3.49,17,-5.56,1,0.00
2013M01,"6,069.06",33.28,"1,779.94",28.13,295.80,71.81,120,-1.64,83,-3.49,17,-5.56,1,0.00
2013M02,"3,501.42",-40.59,"1,059.37",-62.83,197.07,-57.11,120,-2.44,83,-3.49,17,-5.56,1,0.00
2013M03,"5,164.47",-20.68,"1,659.40",-29.34,328.25,-16.88,120,-2.44,83,-3.49,17,-5.56,1,0.00
2013M04,"5,062.61",-9.57,"1,506.32",-3.02,276.81,21.13,120,-1.64,83,-2.35,17,0.00,1,0.00
2013M05,"5,300.22",-11.64,"1,886.33",14.40,371.43,68.67,120,-1.64,83,-2.35,17,0.00,1,0.00
2013M06,"4,362.37",-29.73,"1,536.52",12.37,310.77,69.38,119,-2.46,82,-3.53,16,-5.88,1,0.00
2013M07,"4,844.47",-23.46,"1,940.28",30.49,381.48,124.80,120,-1.64,83,-2.35,16,-5.88,1,0.00
2013M08,"4,311.93",-26.87,"1,621.13",-5.03,330.99,47.87,120,-1.64,83,-2.35,16,-5.88,1,0.00
2013M09,"4,033.41",-18.72,"1,564.37",-10.57,324.49,47.44,120,-1.64,82,-3.53,16,-5.88,1,0.00
2013M10,"4,606.54",-20.72,"1,805.17",25.73,409.91,96.53,120,-1.64,82,-3.53,15,-11.76,1,0.00
2013M11,"4,436.56",-19.27,"1,605.74",2.70,354.60,73.86,121,0.83,82,-1.20,15,-11.76,1,0.00
2013M12,"4,301.67",-12.73,"1,638.30",-2.95,449.28,68.39,121,0.83,82,-1.20,15,-11.76,1,0.00
2014M01,"4,187.90",-31.00,"1,813.54",1.89,448.87,51.75,121,0.83,82,-1.20,15,-11.76,1,0.00
2014M02,"3,987.66",13.89,"1,574.19",48.60,486.18,146.70,122,1.67,82,-1.20,15,-11.76,1,0.00
