期間,雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%)
1996M03,476,2.02,407,0.35,69,13.12,"1,528",0.75,"1,226",0.02,302,3.82,757,8.00,198,0.62,559,10.89,"5,224",-1.59,"3,042",-2.26,"2,182",-0.64,"1,043",3.49,619,0.60,424,8.00
1996M04,477,2.19,407,2.63,70,-0.30,"1,513",-0.36,"1,215",-0.91,298,1.95,756,3.36,190,-6.67,566,7.23,"5,222",-1.62,"3,036",-2.70,"2,187",-0.09,"1,049",5.87,623,3.19,426,10.06
1996M05,484,2.23,418,5.19,66,-13.38,"1,537",0.38,"1,229",-0.05,308,2.14,770,1.00,173,-12.10,597,5.57,"5,227",-0.78,"3,007",-2.72,"2,220",1.97,"1,032",6.02,617,3.37,415,10.24
1996M06,485,4.37,422,3.55,64,10.12,"1,545",1.86,"1,239",1.32,306,4.11,758,-0.49,169,-14.73,589,4.50,"5,211",-0.61,"3,015",-1.77,"2,196",1.03,"1,014",1.71,598,-2.69,416,8.78
1996M07,474,-0.14,416,-1.02,58,6.61,"1,542",0.50,"1,242",0.38,300,1.00,748,-5.56,187,-10.38,561,-3.83,"5,247",-0.55,"3,058",-1.06,"2,189",0.15,"1,015",1.72,585,-3.31,431,9.43
1996M08,483,-1.55,420,-1.47,63,-2.11,"1,542",-0.36,"1,242",-1.33,300,3.83,752,-6.41,207,-0.47,545,-8.48,"5,202",-0.56,"3,036",-1.51,"2,166",0.81,"1,018",0.58,586,-2.87,431,5.67
1996M09,492,0.03,431,0.86,61,-5.47,"1,545",-0.19,"1,241",-1.46,304,5.37,751,-5.58,203,-3.64,548,-6.27,"5,250",1.14,"3,064",0.26,"2,186",2.39,"1,028",1.98,599,-1.37,428,7.07
1996M10,492,-0.64,434,-0.43,57,-2.20,"1,542",0.35,"1,239",-0.33,303,3.21,730,-7.90,184,-13.34,546,-5.90,"5,278",0.89,"3,068",0.15,"2,210",1.93,"1,027",1.61,602,-0.29,425,4.43
1996M11,504,1.50,440,2.45,63,-4.68,"1,538",-0.97,"1,229",-1.34,309,0.54,747,-6.39,181,-19.99,566,-1.03,"5,331",2.12,"3,077",0.60,"2,254",4.29,"1,014",0.70,603,0.18,412,1.48
1996M12,506,5.90,439,5.25,68,10.27,"1,537",-0.84,"1,229",-0.94,308,-0.43,762,-5.71,191,-16.55,571,-1.43,"5,350",1.87,"3,075",-0.11,"2,275",4.68,"1,028",1.99,602,-0.57,426,5.82
