期間,本國銀行_原始值,本國銀行_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),信託投資公司_原始值,信託投資公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),票券金融公司_原始值,票券金融公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),中華郵政公司_原始值,中華郵政公司_年增率(%),信用合作社_原始值,信用合作社_年增率(%),信用合作社_原始值,信用合作社_年增率(%)
2005M09,"1,693,641",173.86,"1,436,128",76.14,"32,500",157.51,"234,453","1,710.31",100,-97.18,"41,745",61.52,"379,057",114.24,"62,842",75.29,"21,010",-80.99,"351,140",995.60,-,-,-,-
2005M10,"1,583,639",279.96,"1,295,313",152.25,"55,182",6.26,"267,802",849.82,150,-96.34,"37,832",56.59,"254,262",61.33,"85,583",166.74,"36,102","1,103.40","242,805",584.38,-,-,-,-
2005M11,"1,822,327",185.09,"1,615,635",131.68,"66,933",-12.63,"296,158",526.56,450,-88.22,"34,465",32.84,"249,740",40.91,"65,975",-5.24,"78,025",851.52,"205,242",216.37,-,-,-,-
2005M12,"1,948,293",40.33,"1,748,446",28.82,"73,318",203.97,"267,346",245.02,600,-82.35,"37,196",38.17,"309,133",85.36,"86,168",-0.21,"41,613",84.13,"233,801",308.17,-,-,-,-
2006M01,"1,241,296",10.63,"1,018,804",-6.28,"52,813",46.94,"230,966",284.47,100,-97.08,"35,400",28.68,"264,205",71.10,"70,389",46.16,"21,330",753.20,"224,185",134.87,-,-,-,-
2006M02,"1,306,666",82.25,"1,168,357",77.85,"73,678",90.92,"206,543",125.57,-,-,"24,656",25.92,"229,855",92.07,"57,873",61.23,"39,870",-,"192,640",161.45,-,-,-,-
2006M03,"2,233,759",101.50,"1,894,859",76.46,"70,490",80.58,"328,273",132.57,-,-,"34,490",8.19,"254,193",16.00,"86,374",52.10,"22,170",226.03,"236,616",225.08,-,-,-,-
2006M04,"2,022,342",110.15,"1,591,778",65.89,"76,609",166.55,"333,336",234.88,-,-,"25,357",-11.59,"212,907",-8.39,"76,834",52.12,"33,717",863.34,"318,270",248.45,-,-,-,-
2006M05,"1,931,031",96.15,"1,463,117",44.32,"46,569",30.01,"366,050",217.16,20,-99.23,"32,855",8.99,"294,987",9.79,"74,251",60.64,"32,580","2,072.00","368,914",321.72,-,-,-,-
2006M06,"1,767,524",43.86,"1,347,002",16.30,"28,363",-4.08,"382,704",77.91,300,-76.00,"33,145",3.05,"305,816",11.32,"70,339",44.79,"27,898",-28.01,"296,711",149.75,-,-,-,-
2006M07,"1,640,936",32.75,"1,352,184",18.47,"54,466",154.42,"321,502",35.51,550,-,"32,640",-9.92,"214,025",-23.74,"53,168",26.97,"26,237",1.16,"176,720",64.60,-,-,-,-
2006M08,"1,601,155",2.92,"1,458,253",3.42,"100,506",325.08,"262,871",16.87,200,300.00,"35,485",-4.89,"288,544",-1.37,"58,646",39.43,"10,730",-40.85,"185,880",5.71,-,-,-,-
2006M09,"1,384,897",-18.23,"1,276,194",-11.14,"112,670",246.68,"180,370",-23.07,150,50.00,"41,220",-1.26,"348,985",-7.93,"69,756",11.00,"12,120",-42.31,"291,282",-17.05,-,-,-,-
2006M10,"1,556,007",-1.74,"1,431,860",10.54,"140,014",153.73,"135,372",-49.45,-,-,"50,470",33.41,"324,539",27.64,"83,125",-2.87,"25,000",-30.75,"344,733",41.98,-,-,-,-
2006M11,"1,305,988",-28.33,"1,159,552",-28.23,"86,088",28.62,"187,493",-36.69,-,-,"43,685",26.75,"290,423",16.29,"81,039",22.83,"19,430",-75.10,"230,160",12.14,-,-,-,-
2006M12,"1,296,985",-33.43,"1,207,790",-30.92,"89,138",21.58,"188,172",-29.61,-,-,"37,351",0.42,"308,297",-0.27,"69,152",-19.75,"9,710",-76.67,"201,665",-13.75,-,-,-,-
2007M01,"1,456,532",17.34,"1,338,392",31.37,"100,609",90.50,"177,957",-22.95,-,-,"21,060",-40.51,"292,240",10.61,"80,102",13.80,"9,900",-53.59,"241,770",7.84,-,-,-,-
2007M02,"828,716",-36.58,"836,664",-28.39,"80,292",8.98,"134,180",-35.04,-,-,"9,400",-61.88,"211,647",-7.92,"34,831",-39.81,"10,270",-74.24,"115,850",-39.86,-,-,-,-
2007M03,"1,188,329",-46.80,"1,182,502",-37.59,"84,937",20.50,"303,162",-7.65,-,-,"13,650",-60.42,"363,230",42.90,"42,557",-50.73,"17,260",-22.15,"111,885",-52.71,-,-,-,-
2007M04,"1,047,388",-48.21,"1,225,022",-23.04,"138,375",80.62,"140,385",-57.88,-,-,"10,510",-58.55,"340,946",60.14,"37,562",-51.11,"1,680",-95.02,"114,910",-63.90,-,-,-,-
2007M05,"1,265,072",-34.49,"1,488,203",1.71,"158,374",240.08,"200,974",-45.10,-,-,"9,450",-71.24,"437,127",48.19,"42,886",-42.24,500,-98.47,"119,560",-67.59,-,-,-,-
2007M06,"1,337,428",-24.33,"1,274,455",-5.39,"105,243",271.06,"299,652",-21.70,-,-,"10,250",-69.08,"295,631",-3.33,"42,345",-39.80,"16,600",-40.50,"128,200",-56.79,-,-,-,-
2007M07,"1,405,707",-14.34,"1,388,125",2.66,"86,692",59.17,"286,030",-11.03,100,-81.82,"12,350",-62.16,"234,346",9.49,"30,260",-43.09,"8,920",-66.00,"19,000",-89.25,-,-,-,-
2007M08,"1,548,587",-3.28,"1,431,105",-1.86,"134,140",33.46,"413,723",57.39,-,-,"3,300",-90.70,"211,748",-26.62,"31,637",-46.05,"47,300",340.82,"62,010",-66.64,-,-,-,-
2007M09,"1,193,072",-13.85,"1,220,930",-4.33,"95,319",-15.40,"231,592",28.40,-,-,"2,750",-93.33,"209,022",-40.11,"32,471",-53.45,"26,830",121.37,"36,500",-87.47,-,-,-,-
