期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),54人造纖維絲、絲紗及其梭織物_原始值,54人造纖維絲、絲紗及其梭織物_年增率(%),55人造纖維棉_原始值,55人造纖維棉_年增率(%),58花邊及窄幅梭織物_原始值,58花邊及窄幅梭織物_年增率(%),59浸漬、塗佈或黏合織物及工業用織物_原始值,59浸漬、塗佈或黏合織物及工業用織物_年增率(%),60針織品或鉤針織品_原始值,60針織品或鉤針織品_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),82基本金屬製工具及其零件_原始值,82基本金屬製工具及其零件_年增率(%),83基本金屬雜項製品_原始值,83基本金屬雜項製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%),94座物、家具、燈具及其零件_原始值,94座物、家具、燈具及其零件_年增率(%)
2006M04,101.17,0.95,63.34,4.59,63.80,4.76,73.31,0.53,68.48,30.64,67.81,31.14,76.37,-2.87,-,-,64.57,-9.26,100.59,1.72,97.12,7.96,79.15,-0.74,80.97,-1.26,68.69,2.83,81.48,1.12,81.48,1.12,79.06,0.93,74.73,0.21,71.03,-2.35,99.60,0.54,83.50,0.72,80.61,1.84,92.64,-13.14,92.64,-13.14,83.72,-1.92,75.70,-16.16,87.93,-0.05,77.03,43.50,118.91,20.15,103.63,2.63,102.31,0.88,128.12,0.94,125.82,-1.78,127.83,3.53,90.21,-6.13,90.21,-6.13,130.92,-1.93,131.36,-2.15,98.80,3.16,92.87,0.56
2006M05,101.48,2.83,66.55,9.31,67.52,9.75,72.90,0.89,69.27,34.61,68.65,35.27,76.40,4.41,-,-,65.92,5.74,99.04,0.89,93.69,5.01,80.53,5.68,82.62,6.11,68.54,2.93,80.41,0.11,80.41,0.11,77.64,0.12,73.16,-0.83,70.74,-0.10,97.90,-0.46,81.74,-1.08,78.75,0.37,91.06,-10.36,91.06,-10.36,87.89,4.06,80.57,-9.01,87.98,-0.15,90.51,70.04,123.02,26.11,102.28,1.86,100.57,-0.11,127.06,0.91,123.68,-3.02,127.78,4.68,89.82,-3.29,89.82,-3.29,128.15,-3.57,128.55,-3.81,97.74,2.58,93.03,1.15
2006M06,103.94,5.31,69.69,17.38,70.84,19.24,74.40,3.82,71.37,27.88,70.74,28.27,79.49,11.16,-,-,70.42,18.33,101.12,2.77,95.08,6.56,84.27,9.87,86.63,10.44,70.75,6.20,82.24,2.51,82.24,2.51,79.58,3.40,74.78,2.38,73.34,6.52,100.12,1.57,83.98,2.05,80.54,2.94,92.97,-5.46,92.97,-5.46,92.19,10.90,84.79,-1.49,90.10,3.14,100.84,91.20,123.54,27.27,104.05,3.45,104.45,3.52,128.26,1.50,123.73,-3.03,130.01,5.83,92.09,-0.41,92.09,-0.41,128.59,-3.40,128.87,-3.74,99.36,4.06,93.83,1.82
2006M07,104.77,4.77,70.58,18.36,71.50,19.93,74.79,3.12,73.26,22.73,72.65,22.99,82.23,11.85,-,-,74.57,19.95,101.24,1.16,96.12,6.73,85.18,7.78,87.48,8.03,71.92,6.03,82.62,1.14,82.62,1.14,80.34,2.61,75.56,1.46,75.55,7.62,100.59,0.32,83.77,0.37,80.98,1.78,93.40,2.58,93.40,2.58,94.09,13.66,89.06,7.00,91.32,3.08,99.04,81.13,123.14,24.69,104.42,2.43,104.94,2.24,128.01,0.13,122.40,-5.00,130.75,5.01,93.10,2.40,93.10,2.40,127.83,-5.06,128.03,-5.42,99.71,3.10,94.02,0.97
2006M08,106.23,5.78,68.76,11.37,69.18,11.17,75.46,5.24,73.51,21.32,72.90,21.66,85.79,15.90,-,-,80.01,27.65,102.65,1.82,96.88,7.56,87.48,10.18,89.97,10.72,73.22,6.66,84.34,2.98,84.34,2.98,81.01,3.36,76.46,3.25,77.78,11.19,101.08,0.25,83.26,-0.06,81.61,1.62,93.86,4.63,93.86,4.63,97.09,18.37,91.73,13.39,95.36,7.79,103.48,84.69,124.56,26.02,104.82,2.38,105.77,2.47,128.84,0.16,122.36,-5.96,132.38,6.01,93.45,1.91,93.45,1.91,130.02,-3.85,130.30,-4.15,100.12,1.28,94.19,0.34
2006M09,106.97,3.96,64.87,3.02,64.65,1.60,75.72,2.08,70.71,8.09,70.04,8.14,86.78,12.98,-,-,81.05,22.97,103.20,-0.39,98.32,7.02,87.74,6.24,90.08,6.38,74.32,5.31,84.78,0.90,84.78,0.90,82.11,2.61,78.12,3.91,79.23,10.03,101.45,-1.93,84.76,0.80,82.15,-0.32,93.95,7.31,93.95,7.31,99.01,18.28,94.67,14.85,97.98,9.79,103.92,75.39,120.93,20.33,105.12,0.68,106.16,0.25,129.82,-0.89,122.60,-7.28,134.02,5.20,93.62,0.95,93.62,0.95,133.25,-5.02,133.68,-5.27,100.89,-0.21,95.42,-0.36
2006M10,106.95,2.99,63.82,-1.85,63.22,-4.17,76.30,0.81,68.97,-0.46,68.26,-0.61,84.07,7.26,-,-,75.90,11.60,103.91,-0.55,99.45,6.45,87.38,5.68,89.53,5.92,74.98,4.15,85.56,-0.19,85.56,-0.19,82.72,1.67,78.66,2.42,78.44,6.00,101.73,-3.36,87.22,3.26,82.59,-1.27,94.63,6.49,94.63,6.49,100.74,21.61,97.25,24.04,99.63,10.88,103.80,69.64,124.26,18.61,105.86,-0.71,107.13,-0.59,129.26,-2.14,123.09,-7.41,132.50,2.86,95.33,1.85,95.33,1.85,134.35,-5.32,134.79,-5.54,101.37,-1.24,95.32,-2.19
2006M11,105.60,2.31,63.63,0.13,63.11,-2.09,75.73,0.07,65.99,5.70,65.24,5.75,83.55,7.82,-,-,75.55,13.66,102.69,-1.78,98.60,5.38,86.63,6.82,88.78,7.30,74.25,3.64,83.88,-0.50,83.88,-0.50,81.91,0.33,78.26,0.57,76.31,3.53,99.54,-5.67,87.21,3.30,81.32,-2.79,93.52,6.60,93.52,6.60,99.80,21.37,96.53,26.12,98.37,9.90,102.60,64.16,123.38,16.23,105.55,-1.18,105.87,-1.97,127.56,-3.79,121.64,-8.47,130.61,0.61,94.02,0.74,94.02,0.74,131.77,-7.33,132.14,-7.58,100.15,-2.12,94.27,-2.25
2006M12,104.42,2.35,62.61,-0.27,62.03,-1.35,75.41,0.28,65.17,5.03,64.43,5.07,83.40,12.13,-,-,75.83,22.31,101.75,-1.86,97.87,5.38,86.14,8.00,88.67,8.73,71.63,3.21,83.35,-0.31,83.35,-0.31,81.36,1.52,77.44,3.21,75.32,5.61,98.62,-5.16,87.82,4.42,80.53,-2.87,92.66,6.99,92.66,6.99,98.52,21.54,95.27,29.67,98.30,10.70,98.17,51.87,125.53,15.39,104.81,-1.23,104.90,-2.04,125.79,-4.65,120.58,-8.36,128.22,-1.19,93.53,2.94,93.53,2.94,127.89,-9.30,128.12,-9.63,99.29,-2.16,93.53,-2.24
2007M01,104.45,5.21,62.31,1.23,61.52,-0.45,75.96,3.78,63.09,2.62,62.37,2.67,85.18,16.40,-,-,78.29,27.30,102.99,2.99,98.32,9.05,85.78,8.91,88.27,9.20,71.49,6.92,84.43,4.69,84.43,4.69,81.76,4.27,77.52,3.76,76.03,9.92,99.38,-0.92,87.44,5.25,81.32,1.64,93.87,9.61,93.87,9.61,98.15,26.34,95.53,39.95,99.20,15.64,93.06,43.02,125.15,15.85,105.43,2.20,105.71,2.34,125.90,-1.86,121.04,-4.54,127.99,0.59,93.67,6.36,93.67,6.36,128.87,-4.19,129.10,-4.49,99.64,1.20,93.34,-0.21
