期間,批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發業_原始值,批發業_年增率(%),零售業_原始值,零售業_年增率(%),餐飲業_原始值,餐飲業_年增率(%)
1999M01,"656,562",...,"448,531",...,"186,997",...,"21,033",...
1999M02,"674,456",...,"455,699",...,"197,476",...,"21,280",...
1999M03,"683,692",...,"465,967",...,"195,979",...,"21,747",...
1999M04,"685,983",...,"466,847",...,"196,955",...,"22,181",...
1999M05,"689,210",...,"468,963",...,"197,208",...,"23,040",...
1999M06,"699,831",...,"478,101",...,"198,648",...,"23,082",...
1999M07,"719,674",...,"494,390",...,"201,687",...,"23,597",...
1999M08,"715,630",...,"491,018",...,"201,245",...,"23,366",...
1999M09,"709,907",...,"490,522",...,"197,034",...,"22,351",...
1999M10,"703,532",...,"485,074",...,"196,307",...,"22,152",...
1999M11,"708,053",...,"487,212",...,"198,378",...,"22,464",...
1999M12,"740,319",...,"512,048",...,"204,881",...,"23,389",...
2000M01,"746,156",13.65,"517,510",15.38,"205,206",9.74,"23,440",11.44
2000M02,"721,713",7.01,"496,352",8.92,"202,260",2.42,"23,102",8.56
2000M03,"758,907",11.00,"527,456",13.20,"208,136",6.20,"23,316",7.22
2000M04,"755,139",10.08,"525,918",12.65,"206,447",4.82,"22,775",2.68
2000M05,"779,737",13.13,"544,938",16.20,"210,123",6.55,"24,676",7.10
2000M06,"780,066",11.46,"543,823",13.75,"211,341",6.39,"24,902",7.89
2000M07,"803,498",11.65,"563,041",13.89,"213,842",6.03,"26,615",12.79
2000M08,"805,016",12.49,"564,145",14.89,"214,254",6.46,"26,618",13.92
2000M09,"803,529",13.19,"566,645",15.52,"211,263",7.22,"25,621",14.63
2000M10,"785,195",11.61,"550,854",13.56,"208,585",6.25,"25,757",16.28
2000M11,"777,678",9.83,"546,037",12.07,"206,700",4.20,"24,941",11.03
2000M12,"778,629",5.17,"544,430",6.32,"208,498",1.77,"25,702",9.89
2001M01,"733,492",-1.70,"501,664",-3.06,"209,461",2.07,"22,368",-4.58
2001M02,"704,177",-2.43,"482,896",-2.71,"199,961",-1.14,"21,321",-7.71
2001M03,"737,237",-2.86,"512,235",-2.89,"204,690",-1.66,"20,313",-12.88
2001M04,"711,679",-5.76,"492,851",-6.29,"198,932",-3.64,"19,896",-12.64
2001M05,"705,182",-9.56,"481,386",-11.66,"202,415",-3.67,"21,381",-13.35
2001M06,"710,365",-8.94,"486,490",-10.54,"201,755",-4.54,"22,120",-11.17
2001M07,"719,806",-10.42,"489,009",-13.15,"207,734",-2.86,"23,062",-13.35
2001M08,"736,631",-8.49,"501,530",-11.10,"211,735",-1.18,"23,366",-12.22
2001M09,"691,268",-13.97,"475,448",-16.09,"194,588",-7.89,"21,232",-17.13
2001M10,"727,529",-7.34,"500,621",-9.12,"206,227",-1.13,"20,681",-19.71
2001M11,"737,542",-5.16,"506,036",-7.33,"209,427",1.32,"22,079",-11.47
2001M12,"760,800",-2.29,"524,316",-3.69,"212,925",2.12,"23,558",-8.34
2002M01,"732,864",-0.09,"496,111",-1.11,"214,492",2.40,"22,261",-0.48
2002M02,"677,650",-3.77,"451,399",-6.52,"203,227",1.63,"23,024",7.99
2002M03,"758,338",2.86,"523,652",2.23,"212,701",3.91,"21,984",8.23
2002M04,"745,455",4.75,"514,135",4.32,"210,564",5.85,"20,756",4.32
2002M05,"751,090",6.51,"513,011",6.57,"216,351",6.89,"21,728",1.62
2002M06,"753,903",6.13,"520,182",6.93,"211,156",4.66,"22,565",2.01
2002M07,"768,785",6.80,"526,818",7.73,"219,470",5.65,"22,497",-2.45
2002M08,"762,236",3.48,"523,087",4.30,"216,835",2.41,"22,314",-4.50
2002M09,"779,748",12.80,"542,591",14.12,"216,265",11.14,"20,891",-1.60
2002M10,"798,921",9.81,"559,588",11.78,"218,432",5.92,"20,900",1.06
