期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),住宅_原始值,住宅_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2010M10,217,29.94,489,69.79,"329,953",253.44,104,18.18,343,93.79,"39,377",95.20,113,43.04,146,31.53,"290,576",297.06
2010M11,242,19.80,454,11.00,"293,810",14.65,113,9.71,262,2.34,"35,878",-14.41,129,30.30,192,25.49,"257,932",20.33
2010M12,350,58.37,503,-24.36,"186,886",-33.77,220,98.20,364,-30.40,"60,433",-1.43,130,18.18,139,-2.11,"126,453",-42.75
2011M01,201,9.84,553,32.30,"222,602",39.23,92,6.98,312,13.87,"38,922",-39.31,109,12.37,241,67.36,"183,680",91.85
2011M02,125,-19.87,219,-38.14,"108,106",14.25,63,-13.70,126,-45.22,"18,108",-31.15,62,-25.30,93,-25.00,"89,998",31.72
2011M03,250,33.69,448,21.74,"244,700",2.71,107,2.88,294,16.21,"43,590",7.79,143,72.29,154,33.91,"201,110",1.67
2011M04,171,-14.50,433,9.90,"159,653",13.66,85,-19.81,325,11.68,"49,158",-4.60,86,-8.51,108,4.85,"110,495",24.25
2011M05,211,13.44,403,-44.72,"269,438",57.67,108,14.89,206,-66.61,"29,256",-61.49,103,11.96,197,75.89,"240,182",153.05
2011M06,183,-22.78,385,-40.59,"205,218",10.85,86,-37.68,260,-49.42,"31,984",-50.11,97,-2.02,125,-6.72,"173,234",43.14
2011M07,224,12.00,370,2.49,"231,180",30.36,102,7.37,227,12.94,"31,344",-28.46,122,16.19,143,-10.62,"199,836",49.66
2011M08,204,18.60,684,79.53,"169,668",-10.88,100,11.11,308,21.26,"39,401",-2.06,104,26.83,376,196.06,"130,267",-13.24
2011M09,174,-8.42,373,-11.61,"140,649",-62.62,87,-14.71,280,-13.04,"33,269",-14.14,87,-1.14,93,-7.00,"107,380",-68.18
2011M10,197,-9.22,572,16.97,"192,498",-41.66,99,-4.81,214,-37.61,"35,228",-10.54,98,-13.27,358,145.21,"157,270",-45.88
2011M11,203,-16.12,498,9.69,"209,509",-28.69,104,-7.96,233,-11.07,"33,050",-7.88,99,-23.26,265,38.02,"176,459",-31.59
2011M12,233,-33.43,625,24.25,"226,709",21.31,105,-52.27,249,-31.59,"45,317",-25.01,128,-1.54,376,170.50,"181,392",43.45
2012M01,134,-33.33,192,-65.28,"220,338",-1.02,68,-26.09,98,-68.59,"22,859",-41.27,66,-39.45,94,-61.00,"197,479",7.51
2012M02,216,72.80,491,124.20,"160,356",48.33,88,39.68,352,179.37,"46,554",157.09,128,106.45,139,49.46,"113,802",26.45
2012M03,229,-8.40,398,-11.16,"172,847",-29.36,118,10.28,260,-11.56,"46,268",6.14,111,-22.38,138,-10.39,"126,579",-37.06
2012M04,198,15.79,313,-27.71,"189,859",18.92,92,8.24,197,-39.38,"51,169",4.09,106,23.26,116,7.41,"138,690",25.52
2012M05,211,0.00,381,-5.46,"129,656",-51.88,101,-6.48,246,19.42,"26,667",-8.85,110,6.80,135,-31.47,"102,989",-57.12
2012M06,187,2.19,304,-21.04,"148,639",-27.57,74,-13.95,179,-31.15,"23,853",-25.42,113,16.49,125,0.00,"124,786",-27.97
2012M07,296,32.14,479,29.46,"324,753",40.48,141,38.24,315,38.77,"44,702",42.62,155,27.05,164,14.69,"280,051",40.14
2012M08,191,-6.37,344,-49.71,"153,161",-9.73,95,-5.00,196,-36.36,"26,163",-33.60,96,-7.69,148,-60.64,"126,998",-2.51
2012M09,213,22.41,410,9.92,"139,348",-0.92,116,33.33,246,-12.14,"38,672",16.24,97,11.49,164,76.34,"100,676",-6.24
2012M10,224,13.71,451,-21.15,"209,682",8.93,105,6.06,263,22.90,"40,600",15.25,119,21.43,188,-47.49,"169,082",7.51
2012M11,224,10.34,448,-10.04,"172,216",-17.80,105,0.96,314,34.76,"50,036",51.39,119,20.20,134,-49.43,"122,180",-30.76
2012M12,206,-11.59,468,-25.12,"187,262",-17.40,96,-8.57,336,34.94,"44,237",-2.38,110,-14.06,132,-64.89,"143,025",-21.15
2013M01,257,91.79,301,56.77,"167,447",-24.00,128,88.24,170,73.47,"26,360",15.32,129,95.45,131,39.36,"141,087",-28.56
2013M02,128,-40.74,171,-65.17,"138,998",-13.32,60,-31.82,107,-69.60,"20,503",-55.96,68,-46.88,64,-53.96,"118,495",4.12
2013M03,223,-2.62,495,24.37,"226,645",31.12,103,-12.71,336,29.23,"44,827",-3.11,120,8.11,159,15.22,"181,818",43.64
2013M04,262,32.32,468,49.52,"199,801",5.24,146,58.70,303,53.81,"70,376",37.54,116,9.43,165,42.24,"129,425",-6.68
2013M05,270,27.96,603,58.27,"273,817",111.19,147,45.54,414,68.29,"58,286",118.57,123,11.82,189,40.00,"215,531",109.28
2013M06,213,13.90,331,8.88,"151,754",2.10,100,35.14,208,16.20,"38,888",63.03,113,0.00,123,-1.60,"112,866",-9.55
2013M07,309,4.39,658,37.37,"241,486",-25.64,135,-4.26,398,26.35,"56,849",27.17,174,12.26,260,58.54,"184,637",-34.07
2013M08,251,31.41,565,64.24,"182,853",19.39,136,43.16,293,49.49,"47,168",80.29,115,19.79,272,83.78,"135,685",6.84
2013M09,215,0.94,407,-0.73,"198,057",42.13,106,-8.62,265,7.72,"32,845",-15.07,109,12.37,142,-13.41,"165,212",64.10
2013M10,259,15.62,447,-0.89,"224,188",6.92,115,9.52,278,5.70,"39,504",-2.70,144,21.01,169,-10.11,"184,684",9.23
2013M11,238,6.25,451,0.67,"148,341",-13.86,135,28.57,327,4.14,"42,315",-15.43,103,-13.45,124,-7.46,"106,026",-13.22
2013M12,257,24.76,772,64.96,"271,144",44.79,137,42.71,632,88.10,"87,214",97.15,120,9.09,140,6.06,"183,930",28.60
2014M01,216,-15.95,346,14.95,"158,513",-5.34,98,-23.44,173,1.76,"30,747",16.64,118,-8.53,173,32.06,"127,766",-9.44
2014M02,156,21.88,499,191.81,"103,760",-25.35,88,46.67,412,285.05,"45,974",124.23,68,0.00,87,35.94,"57,786",-51.23
2014M03,205,-8.07,350,-29.29,"122,138",-46.11,114,10.68,195,-41.96,"35,066",-21.77,91,-24.17,155,-2.52,"87,072",-52.11
2014M04,238,-9.16,548,17.09,"152,600",-23.62,131,-10.27,432,42.57,"54,736",-22.22,107,-7.76,116,-29.70,"97,864",-24.39
2014M05,238,-11.85,632,4.81,"189,265",-30.88,111,-24.49,440,6.28,"52,300",-10.27,127,3.25,192,1.59,"136,965",-36.45
2014M06,249,16.90,611,84.59,"252,912",66.66,135,35.00,461,121.63,"58,916",51.50,114,0.88,150,21.95,"193,996",71.88
2014M07,257,-16.83,424,-35.56,"213,604",-11.55,122,-9.63,272,-31.66,"41,760",-26.54,135,-22.41,152,-41.54,"171,844",-6.93
