期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
2010M01,"936,490",-1.43,"9,570,616",29.72,"316,587",2.81,"2,616,785",29.62,"6,637,244",31.40,"18,963,879",-3.49,"11,619,781",-6.47,"2,382,574",4.11,"4,466,664",3.16,"204,449",5.27,"288,554",-29.78,"1,857",-30.84,"3,869,862",18.10,"10,507,106",26.17,"29,470,985",5.34,"934,240",-14.31,"9,600,448",29.86,"357,310",13.55,"2,643,479",36.42,"6,599,659",28.38,"18,919,156",-3.54,"11,623,526",-6.21,"2,316,301",3.00,"4,461,284",2.01,"211,106",10.05,"305,151",-24.45,"1,788",-34.98,"3,935,029",17.72,"10,534,688",24.18,"29,453,844",4.83
2010M02,"1,102,448",14.56,"9,525,760",26.64,"313,845",14.49,"2,573,885",27.46,"6,638,030",26.97,"18,951,529",-3.87,"11,643,947",-5.75,"2,281,843",-4.17,"4,506,535",2.48,"208,599",9.67,"308,778",-20.55,"1,827",-29.57,"3,990,178",22.55,"10,628,208",25.27,"29,579,737",4.90,"1,059,437",16.77,"9,539,057",25.11,"338,349",7.69,"2,568,138",25.84,"6,632,570",25.87,"18,993,735",-3.70,"11,651,703",-5.71,"2,290,119",-5.23,"4,531,394",3.29,"205,708",9.23,"312,963",-16.10,"1,848",-29.81,"3,965,924",21.57,"10,598,494",24.22,"29,592,229",4.73
2010M03,"1,013,605",11.42,"9,499,149",22.76,"292,831",8.33,"2,548,039",22.57,"6,658,279",23.56,"19,078,992",-3.09,"11,671,306",-5.22,"2,353,159",-1.76,"4,534,530",3.07,"202,352",11.69,"315,814",-19.81,"1,831",-33.00,"3,854,475",18.28,"10,512,754",21.57,"29,591,746",4.44,"976,618",10.16,"9,550,251",20.02,"311,338",9.76,"2,607,256",19.76,"6,631,657",20.65,"19,056,243",-2.97,"11,698,905",-4.70,"2,322,002",-3.02,"4,515,731",3.13,"199,206",14.19,"318,486",-23.13,"1,913",-31.53,"3,895,212",16.37,"10,526,869",19.03,"29,583,112",3.86
2010M04,"990,333",10.26,"9,591,378",18.78,"297,929",9.69,"2,580,600",18.71,"6,712,849",19.24,"19,123,280",-2.39,"11,698,805",-4.48,"2,369,096",1.03,"4,528,220",3.11,"204,654",13.03,"320,469",-24.32,"2,036",-30.27,"3,868,862",15.71,"10,581,711",17.92,"29,704,991",3.99,"967,240",10.30,"9,671,106",18.14,"312,366",11.00,"2,649,222",18.36,"6,709,518",18.41,"19,041,790",-2.50,"11,712,009",-3.99,"2,279,532",-2.42,"4,504,537",3.03,"221,102",17.81,"322,451",-25.52,"2,159",-20.97,"3,928,828",15.67,"10,638,346",17.38,"29,680,136",3.80
2010M05,"983,812",10.27,"9,642,052",15.13,"312,457",10.88,"2,672,836",18.79,"6,656,759",13.93,"19,111,078",-1.98,"11,739,186",-3.33,"2,289,306",-1.77,"4,510,313",2.66,"238,327",9.51,"332,010",-19.12,"1,936",-17.97,"3,969,105",15.92,"10,625,864",14.67,"29,736,942",3.38,"963,640",9.56,"9,566,016",13.51,"326,461",5.35,"2,665,796",20.30,"6,573,759",11.39,"19,117,067",-1.47,"11,760,524",-2.55,"2,267,566",-2.05,"4,491,782",2.51,"254,475",3.56,"340,972",-12.49,"1,748",-14.98,"3,955,897",16.17,"10,529,656",13.14,"29,646,723",3.27
2010M06,"984,149",11.21,"9,580,114",13.43,"312,482",13.36,"2,674,190",17.78,"6,593,442",11.76,"19,151,616",-0.94,"11,775,312",-2.07,"2,274,161",-1.50,"4,504,324",2.69,"252,277",12.48,"343,670",-11.59,"1,872",-1.89,"3,970,821",15.73,"10,564,263",13.22,"29,715,879",3.67,"965,773",11.13,"9,678,966",13.02,"334,761",9.96,"2,754,467",15.42,"6,589,738",12.20,"19,116,790",-0.60,"11,807,275",-1.63,"2,227,332",-1.92,"4,483,951",2.70,"250,081",23.27,"346,367",-10.68,"1,784",-10.84,"4,055,001",13.90,"10,644,739",12.84,"29,761,529",3.82
2010M07,"983,900",10.80,"9,678,584",12.67,"318,757",14.09,"2,699,000",16.89,"6,660,827",10.98,"19,187,307",-0.15,"11,820,217",-1.31,"2,243,412",-0.26,"4,532,175",2.53,"251,690",24.01,"338,043",-7.07,"1,770",-11.90,"4,001,657",15.11,"10,662,484",12.49,"29,849,791",4.03,"964,717",10.42,"9,819,881",12.48,"369,810",27.92,"2,699,402",14.33,"6,750,669",11.02,"19,165,102",0.05,"11,789,697",-1.30,"2,256,129",0.42,"4,534,155",2.63,"253,201",24.69,"330,238",-3.21,"1,682",-12.12,"4,033,929",14.47,"10,784,598",12.29,"29,949,700",4.14
2010M08,"982,031",9.83,"9,881,826",12.54,"326,677",11.34,"2,723,757",14.27,"6,831,392",11.92,"19,224,429",0.70,"11,777,797",-0.54,"2,315,871",1.87,"4,532,280",2.31,"274,519",30.00,"322,284",-3.02,"1,678",-12.83,"4,032,465",12.92,"10,863,857",12.29,"30,088,286",4.60,"961,496",9.58,"9,971,651",12.52,"336,640",9.81,"2,838,832",15.00,"6,796,179",11.65,"19,129,185",0.87,"11,751,278",-0.08,"2,255,425",0.55,"4,511,584",2.18,"294,505",34.62,"314,827",-2.82,"1,566",-19.49,"4,136,968",13.26,"10,933,147",12.25,"30,062,332",4.73
2010M09,"986,428",10.57,"9,997,858",12.31,"315,746",9.91,"2,752,809",16.33,"6,929,303",10.90,"19,169,669",0.81,"11,725,558",-0.23,"2,328,262",2.80,"4,527,900",2.01,"287,982",26.34,"298,378",-9.46,"1,589",-18.68,"4,054,983",14.36,"10,984,286",12.15,"30,153,955",4.67,"968,511",10.13,"10,023,756",11.95,"321,247",7.14,"2,728,374",13.65,"6,974,135",11.53,"19,172,167",1.08,"11,707,009",0.06,"2,384,986",4.92,"4,515,387",2.15,"281,458",18.70,"281,928",-15.88,"1,399",-39.01,"4,018,132",12.24,"10,992,267",11.79,"30,164,434",4.73
2010M10,"989,329",9.95,"10,020,712",10.06,"316,367",9.84,"2,735,033",11.81,"6,969,312",9.39,"19,348,401",2.12,"11,761,246",0.83,"2,490,018",8.99,"4,532,099",2.18,"268,206",21.80,"295,080",-13.12,"1,752",-26.60,"4,040,729",11.19,"11,010,041",10.05,"30,358,442",4.86,"973,089",9.81,"10,077,747",8.74,"359,949",9.64,"2,733,391",7.21,"6,984,407",9.31,"19,385,665",2.86,"11,797,652",1.44,"2,505,382",11.83,"4,517,742",2.08,"255,780",25.17,"307,410",-10.59,"1,699",-30.74,"4,066,429",8.03,"11,050,836",8.84,"30,436,501",4.95
