期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--對政府放款及墊款_原始值,資產--對政府放款及墊款_年增率(%),資產--公開市場操作買入有價證券-計_原始值,資產--公開市場操作買入有價證券-計_年增率(%),資產--公開市場操作買入有價證券-政府機構_原始值,資產--公開市場操作買入有價證券-政府機構_年增率(%),資產--公開市場操作買入有價證券-公營事業_原始值,資產--公開市場操作買入有價證券-公營事業_年增率(%),資產--公開市場操作買入有價證券-民營企業_原始值,資產--公開市場操作買入有價證券-民營企業_年增率(%),資產--公開市場操作買入有價證券-金融機構_原始值,資產--公開市場操作買入有價證券-金融機構_年增率(%),資產--對金融機構債權-計_原始值,資產--對金融機構債權-計_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他貨幣機構-本國銀行_原始值,資產--對金融機構債權-其他貨幣機構-本國銀行_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--政府存款-計_原始值,負債與淨值--政府存款-計_年增率(%),負債與淨值--政府存款-經理國庫存款_原始值,負債與淨值--政府存款-經理國庫存款_年增率(%),負債與淨值--政府存款-機關存款_原始值,負債與淨值--政府存款-機關存款_年增率(%),負債與淨值--金融機構存款-準備性存款-計_原始值,負債與淨值--金融機構存款-準備性存款-計_年增率(%),負債與淨值--金融機構存款-其他存款-國庫存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-國庫存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-定期存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-定期存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_原始值,負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-其他_原始值,負債與淨值--金融機構存款-其他存款-其他_年增率(%),負債與淨值--央行發行單券-國庫券_原始值,負債與淨值--央行發行單券-國庫券_年增率(%),負債與淨值--央行發行單券-定期存單_原始值,負債與淨值--央行發行單券-定期存單_年增率(%),負債與淨值--央行發行單券-儲蓄券_原始值,負債與淨值--央行發行單券-儲蓄券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2007M05,"9,952,797",10.44,"8,912,768",4.69,-,-,-,-,-,-,-,-,-,-,-,-,"488,935",62.28,"479,435",59.12,"307,763",8.40,"9,500",-,313,20.38,"550,781",180.13,"465,485",113.16,"979,738",2.92,"175,543",-15.99,"41,147",-44.57,"134,396",-0.25,"1,072,276",12.23,"16,201",-13.43,"472,700",-3.90,"1,499,656",1.53,1,-75.00,-,-,"3,404,050",-5.14,-,-,"544,237",153.11,"1,322,910",49.32
2007M06,"10,206,464",11.76,"8,895,673",3.39,-,-,-,-,-,-,-,-,-,-,-,-,"446,346",67.97,"439,346",65.33,"269,087",10.31,"7,000",-,223,-27.12,"864,222",229.09,"410,971",59.54,"975,515",3.50,"292,318",8.63,"157,590",14.04,"134,728",2.91,"968,732",1.61,"16,834",-19.30,"474,200",-2.00,"1,511,806",2.10,12,200.00,-,-,"3,396,325",-1.73,-,-,"844,029",220.50,"1,315,722",30.89
2007M07,"10,097,054",7.63,"8,892,742",2.42,-,-,-,-,-,-,-,-,-,-,-,-,"402,719",1.87,"396,619",0.33,"245,923",-33.64,"6,100",-,335,39.58,"801,258",164.86,"336,294",-5.12,"952,476",1.34,"288,851",11.97,"149,972",23.18,"138,879",1.96,"1,055,925",8.99,"16,769",-33.19,"484,000",5.01,"1,581,771",6.78,1,-98.72,-,-,"3,281,595",-7.80,-,-,"720,617",235.47,"1,378,755",23.25
2007M08,"9,511,406",0.60,"8,796,756",0.64,-,-,-,-,-,-,-,-,-,-,-,-,"305,929",-30.22,"300,229",-31.52,"261,251",-36.45,"5,700",-,277,1.09,"408,444",48.26,"85,688",-78.32,"941,179",1.39,"226,695",18.74,"81,069",61.54,"145,626",3.48,"1,057,530",3.02,"17,086",-22.55,"465,800",2.73,"1,581,609",6.74,3,-50.00,-,-,"3,333,655",-6.22,-,-,"338,660",61.24,"1,463,501",22.78
2007M09,"9,643,768",-0.71,"8,718,678",-0.90,-,-,-,-,-,-,-,-,-,-,-,-,"358,700",-42.01,"353,000",-42.93,"290,250",-47.08,"5,700",-,307,15.85,"566,083",91.13,"101,062",-83.36,"947,583",1.58,"228,066",15.97,"74,369",37.16,"153,697",7.91,"1,085,717",7.17,"17,339",-13.86,"474,300",5.38,"1,581,421",6.71,2,-75.00,-,-,"3,268,230",-7.99,-,-,"488,102",111.17,"1,451,946",18.31
2007M10,"9,729,501",1.52,"8,771,799",-0.97,-,-,-,-,-,-,-,-,-,-,-,-,"406,449",-6.58,"402,599",-7.46,"280,117",-13.58,"3,850",-,237,-22.55,"551,016",89.50,"101,153",-74.26,"938,726",0.11,"217,881",7.71,"66,823",8.06,"151,058",7.55,"1,062,202",10.01,"17,836",-16.88,"472,200",2.47,"1,581,282",6.69,2,-33.33,-,-,"3,411,035",-5.30,-,-,"470,275",122.09,"1,456,909",11.46
2007M11,"9,767,971",3.44,"8,866,569",0.99,-,-,-,-,-,-,-,-,-,-,-,-,"342,721",-5.56,"339,471",-6.45,"279,429",11.18,"3,250",-,238,-17.07,"558,443",85.74,"81,388",-73.00,"945,904",0.88,"213,365",13.25,"63,034",27.68,"150,331",8.12,"1,057,123",9.17,"18,554",-28.31,"476,400",3.77,"1,581,282",6.68,3,50.00,-,-,"3,422,880",-5.76,-,-,"486,421",100.45,"1,484,651",23.18
2007M12,"9,672,904",2.36,"8,933,980",1.03,-,-,-,-,-,-,-,-,-,-,-,-,"331,535",-24.60,"329,435",-25.07,"297,895",-4.24,"2,100",-,268,8.06,"407,121",143.57,"101,228",-70.24,"961,715",0.20,"186,123",0.35,"38,147",-6.68,"147,976",2.34,"1,064,311",14.90,"17,697",-8.72,"475,300",2.52,"1,581,280",6.34,2,-33.33,-,-,"3,460,300",-7.87,-,-,"463,344",106.21,"1,361,604",25.18
2008M01,"9,726,397",2.88,"8,932,477",0.21,-,-,-,-,-,-,-,-,-,-,-,-,"386,003",4.04,"383,203",6.14,"315,291",9.49,"2,800",-72.00,421,29.54,"407,496",140.67,"68,841",-77.12,"1,232,499",23.82,"185,166",-8.68,"43,753",-27.20,"141,413",-0.87,"1,047,816",13.66,"20,125",3.43,"477,600",3.76,"1,581,102",6.05,10,900.00,-,-,"3,355,750",-9.83,-,-,"440,004",136.22,"1,317,484",14.08
2008M02,"9,658,989",1.86,"8,702,276",-3.09,-,-,-,-,-,-,-,-,-,-,-,-,"520,088",46.75,"519,788",50.93,"439,413",94.97,300,-97.00,321,-10.08,"436,304",194.50,"41,598",-83.44,"1,078,992",-14.86,"184,223",19.29,"34,571",59.00,"149,652",12.78,"1,021,098",14.62,"18,622",1.42,"477,600",3.76,"1,580,998",5.87,1,0.00,-,-,"3,786,840",6.58,-,-,"516,291",179.14,"952,726",-21.15
