期間,當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%)
1966,"127,675",11.64,-97,--,"127,578",11.75,"6,803",13.29,-,--,"120,775",11.66,-,-,"17,336",--,"103,439",10.96,"120,775",11.66,947,--,"121,722",11.19,"100,479",9.12,"21,243",22.12,"28,046",19.85,21.98,--,"697,100",8.72,-570,--,"696,530",8.83,"21,247",13.89,-,--,"675,283",8.67,"31,969",-,"76,802",--,"630,450",8.39,"707,252",9.18,"5,615",--,"712,867",8.71,"624,753",6.79,"88,114",24.64,"109,361",22.40,15.70,--,18.32,2.75,--,--,18.32,2.69,32.02,-0.53,--,--,17.89,2.76,-,-,22.57,--,16.41,2.37,17.08,2.28,--,--,17.07,2.28,16.08,2.16,24.11,-2.03,25.65,-2.06,--,--
1967,"147,463",15.50,-323,--,"147,140",15.33,"8,085",18.84,-,--,"139,055",15.14,-,-,"20,053",--,"119,002",15.05,"139,055",15.14,975,--,"140,030",15.04,"114,465",13.92,"25,565",20.35,"33,650",19.98,22.87,--,"769,666",10.41,"-1,847",--,"767,819",10.23,"25,330",19.22,-,--,"742,489",9.95,"38,542",-,"83,548",--,"697,483",10.63,"781,031",10.43,"5,579",--,"786,610",10.34,"685,712",9.76,"100,898",14.51,"126,228",15.42,16.44,--,19.16,4.59,--,--,19.16,4.59,31.92,-0.31,--,--,18.73,4.70,-,-,24.00,--,17.06,3.96,17.80,4.22,--,--,17.80,4.28,16.69,3.79,25.34,5.10,26.66,3.94,--,--
1968,"171,817",16.52,-458,--,"171,359",16.46,"9,773",20.88,-,--,"161,586",16.20,-,-,"25,095",--,"136,491",14.70,"161,586",16.20,644,--,"162,230",15.85,"133,885",16.97,"28,345",10.87,"38,118",13.28,22.24,--,"838,906",9.00,"-2,413",--,"836,493",8.94,"30,079",18.75,-,--,"806,414",8.61,"48,856",-,"95,963",--,"759,307",8.86,"855,270",9.51,"3,398",--,"858,668",9.16,"749,534",9.31,"109,134",8.16,"139,213",10.29,16.64,--,20.48,6.89,--,--,20.49,6.94,32.49,1.79,--,--,20.04,6.99,-,-,26.15,--,17.98,5.39,18.89,6.12,--,--,18.89,6.12,17.86,7.01,25.97,2.49,27.38,2.70,--,--
1969,"199,154",15.91,-247,--,"198,907",16.08,"11,943",22.20,-,--,"186,964",15.71,-,-,"32,348",--,"154,616",13.28,"186,964",15.71,313,--,"187,277",15.44,"152,132",13.63,"35,145",23.99,"47,088",23.53,23.67,--,"911,591",8.66,"-1,253",--,"910,338",8.83,"35,789",18.98,-,--,"874,549",8.45,"68,409",-,"121,721",--,"821,237",8.16,"942,958",10.25,"1,563",--,"944,521",10.00,"813,486",8.53,"131,035",20.07,"166,824",19.83,18.33,--,21.85,6.69,--,--,21.85,6.64,33.37,2.71,--,--,21.38,6.69,-,-,26.58,--,18.83,4.73,19.83,4.98,--,--,19.83,4.98,18.70,4.70,26.82,3.27,28.23,3.10,--,--
1970,"229,390",15.18,-412,--,"228,978",15.12,"13,633",14.15,-,--,"215,345",15.18,-,-,"34,732",--,"180,613",16.81,"215,345",15.18,557,--,"215,902",15.28,"171,357",12.64,"44,545",26.75,"58,178",23.55,25.41,--,"1,008,247",10.60,"-1,994",--,"1,006,253",10.54,"42,450",18.61,-,--,"963,803",10.21,"83,895",-,"124,764",--,"922,934",12.38,"1,047,698",11.11,"2,739",--,"1,050,437",11.21,"890,806",9.50,"159,631",21.82,"202,081",21.13,20.08,--,22.75,4.12,--,--,22.76,4.16,32.12,-3.75,--,--,22.34,4.49,-,-,27.84,--,19.57,3.93,20.55,3.63,--,--,20.55,3.63,19.24,2.89,27.90,4.03,28.79,1.98,--,--
1971,"266,594",16.22,-122,--,"266,472",16.37,"16,263",19.29,-,--,"250,209",16.19,-,-,"37,483",--,"212,726",17.78,"250,209",16.19,456,--,"250,665",16.10,"190,672",11.27,"59,993",34.68,"76,256",31.07,28.62,--,"1,133,818",12.45,-588,--,"1,133,230",12.62,"50,515",19.00,-,--,"1,082,715",12.34,"94,564",-,"128,628",--,"1,048,651",13.62,"1,177,279",12.37,"2,178",--,"1,179,457",12.28,"974,026",9.34,"205,431",28.69,"255,946",26.66,22.59,--,23.51,3.34,--,--,23.51,3.30,32.19,0.22,--,--,23.11,3.45,-,-,29.14,--,20.29,3.68,21.25,3.41,--,--,21.25,3.41,19.58,1.77,29.20,4.66,29.79,3.47,--,--
1972,"319,573",19.87,68,--,"319,641",19.95,"20,716",27.38,-,--,"298,925",19.47,-,-,"45,837",--,"253,088",18.97,"298,925",19.47,698,--,"299,623",19.53,"218,305",14.49,"81,318",35.55,"102,034",33.80,31.92,--,"1,282,919",13.15,309,--,"1,283,228",13.24,"61,150",21.05,-,--,"1,222,078",12.87,"107,262",-,"146,941",--,"1,182,399",12.75,"1,329,340",12.92,"3,235",--,"1,332,575",12.98,"1,071,867",10.05,"260,708",26.91,"321,858",25.75,25.08,--,24.91,5.95,--,--,24.91,5.95,33.88,5.25,--,--,24.46,5.84,-,-,31.19,--,21.40,5.47,22.49,5.84,--,--,22.48,5.79,20.37,4.03,31.19,6.82,31.70,6.41,--,--
1973,"415,111",29.90,-116,--,"414,995",29.83,"29,822",43.96,-,--,"385,173",28.85,-,-,"60,168",--,"325,005",28.42,"385,173",28.85,10,--,"385,183",28.56,"273,396",25.24,"111,787",37.47,"141,609",38.79,34.12,--,"1,434,647",11.83,-594,--,"1,434,053",11.75,"72,812",19.07,-,--,"1,361,241",11.39,"120,181",-,"159,398",--,"1,322,024",11.81,"1,481,422",11.44,53,--,"1,481,475",11.17,"1,188,438",10.88,"293,037",12.40,"365,849",13.67,25.51,--,28.93,16.14,--,--,28.94,16.18,40.96,20.90,--,--,28.30,15.70,-,-,37.75,--,24.58,14.86,26.00,15.61,--,--,26.00,15.66,23.00,12.91,38.15,22.31,38.71,22.11,--,--
1974,"556,303",34.01,-177,--,"556,126",34.01,"47,640",59.75,-,--,"508,486",32.01,-,-,"79,353",--,"429,133",32.04,"508,486",32.01,481,--,"508,967",32.14,"382,744",40.00,"126,223",12.91,"173,863",22.78,31.26,--,"1,461,291",1.86,-541,--,"1,460,750",1.86,"85,723",17.73,-,--,"1,375,027",1.01,"84,296",-,"147,317",--,"1,312,006",-0.76,"1,459,323",-1.49,"1,362",--,"1,460,685",-1.40,"1,209,984",1.81,"250,701",-14.45,"336,424",-8.04,23.03,--,38.07,31.59,--,--,38.07,31.55,55.57,35.67,--,--,36.98,30.67,-,-,53.87,--,32.71,33.08,34.84,34.00,--,--,34.84,34.00,31.63,37.52,50.35,31.98,51.68,33.51,--,--
1975,"597,660",7.43,"-3,344",--,"594,316",6.87,"55,843",17.22,-,--,"538,473",5.90,-,-,"88,589",--,"449,884",4.84,"538,473",5.90,288,--,"538,761",5.85,"436,800",14.12,"101,961",-19.22,"157,804",-9.24,26.55,--,"1,540,574",5.43,"-9,133",--,"1,531,441",4.84,"100,103",16.77,-,--,"1,431,338",4.10,"95,565",-,"174,054",--,"1,352,849",3.11,"1,526,903",4.63,813,--,"1,527,716",4.59,"1,291,815",6.76,"235,901",-5.90,"336,004",-0.12,21.94,--,38.79,1.89,--,--,38.81,1.94,55.79,0.40,--,--,37.62,1.73,-,-,50.90,--,33.25,1.65,35.27,1.23,--,--,35.27,1.23,33.81,6.89,43.22,-14.16,46.96,-9.13,--,--
