期間,收受部門--中央銀行,收受部門--存款貨幣機構,收受部門--其他金融機構,存款部門--政府
1997,"138,931","694,765","3,927","837,623"
1998,"127,704","691,401","4,922","824,027"
1999,"180,976","744,156","5,309","930,441"
2000,"141,164","790,814","6,759","938,737"
2001,"113,616","828,807","6,977","949,400"
2002,"140,071","745,550","4,534","890,155"
2003,"156,452","767,336","5,909","929,697"
2004,"177,637","741,516","6,131","925,284"
