期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2001M05,"20,609,793",5.71,"903,147",70.29,"12,592,749",1.82,"2,021,579",13.57,"362,731",3.73,"10,208,439",-0.29,"1,959,536",-4.45,"723,937",10.26,"54,898",-18.14,"1,180,701",-11.03,"112,744",-21.50,"45,784",0.01,"1,531,452",-11.62,"301,490",143.76,"39,766",45.07,"130,420",-0.35,"2,992,705",27.70,"124,944",-44.92,"12,446,047",5.78,"210,229",-15.56,"714,549",-11.08,"2,209,229",-2.83,"2,418,798",-4.52,"248,943",15.96,"5,698,157",10.01,"946,142",84.79,"691,596",-3.97,"279,201",-17.40,"2,699,839",4.29,"1,571,330",8.43,"336,436",12.51,"107,035",23.66,"2,332,412",21.06,"1,592,283",3.08
2001M06,"20,997,836",7.69,"972,640",74.71,"12,691,649",1.53,"2,039,788",12.95,"366,497",1.25,"10,285,364",-0.45,"1,936,272",-0.84,"714,501",9.21,"54,810",-15.28,"1,166,961",-5.41,"126,965",-8.43,"45,626",-0.33,"1,507,960",-12.23,"329,158",137.58,"44,344",43.30,"124,992",-2.15,"3,218,230",40.54,"124,043",-42.74,"12,724,605",7.00,"260,388",-0.32,"758,319",-10.23,"2,300,667",1.44,"2,387,503",-5.73,"271,194",22.01,"5,733,561",10.06,"1,012,973",82.86,"694,658",-2.68,"272,743",-12.49,"2,753,601",5.52,"1,586,511",9.62,"331,078",10.29,"105,876",26.33,"2,404,126",31.69,"1,587,106",2.67
2001M07,"21,113,210",7.98,"1,051,399",112.40,"12,636,872",0.68,"2,025,306",10.54,"420,081",12.04,"10,191,485",-1.47,"2,068,792",6.29,"752,746",19.94,"57,404",-13.70,"1,258,642",0.51,"138,709",0.12,"45,626",-0.33,"1,534,399",-7.10,"295,472",72.42,"42,201",34.61,"129,780",-3.71,"3,169,960",32.80,"134,245",-32.78,"12,669,964",6.84,"331,075",36.12,"688,432",-12.72,"2,237,409",-0.71,"2,370,493",-5.85,"250,693",10.77,"5,762,377",9.47,"1,029,485",82.14,"706,509",-2.34,"326,294",5.96,"2,755,273",5.21,"1,590,650",8.87,"342,632",11.35,"108,889",34.16,"2,472,501",30.74,"1,596,903",2.08
2001M08,"21,068,119",7.51,"1,180,160",134.68,"12,468,246",-0.19,"1,969,127",8.73,"411,744",15.96,"10,087,375",-2.31,"2,116,224",5.76,"787,812",25.52,"53,718",-18.90,"1,274,694",-2.48,"149,793",-2.38,"45,627",-0.33,"1,703,875",3.85,"214,813",29.16,"43,415",40.43,"125,076",-5.00,"3,020,890",24.20,"173,598",-2.64,"12,722,887",6.44,"209,081",-13.42,"765,977",-7.44,"2,296,216",2.64,"2,391,600",-4.69,"247,671",3.89,"5,827,587",9.84,"984,755",65.82,"699,503",-2.10,"277,128",-4.97,"2,750,486",5.92,"1,596,412",9.86,"319,178",4.70,"125,965",61.53,"2,412,804",27.12,"1,586,570",0.33
2001M09,"21,423,546",9.32,"1,178,369",110.18,"12,555,460",0.13,"2,002,790",9.50,"407,731",14.47,"10,144,939",-2.02,"2,036,651",5.37,"784,413",24.67,"53,323",-18.29,"1,198,915",-3.20,"136,946",-0.12,"45,627",-0.33,"1,779,885",14.72,"251,418",35.74,"45,542",50.76,"122,809",-6.43,"3,270,839",31.69,"168,449",-10.11,"12,914,107",8.20,"246,044",9.26,"747,782",-4.68,"2,363,310",8.94,"2,391,005",-5.06,"243,638",0.12,"5,992,574",12.32,"929,754",40.96,"730,888",3.66,"313,727",7.28,"2,733,286",5.12,"1,592,162",8.94,"320,055",8.08,"147,158",104.26,"2,510,661",30.78,"1,585,215",-0.25
2001M10,"21,311,324",8.11,"1,169,364",107.74,"12,460,480",-1.44,"2,022,488",6.86,"401,050",11.98,"10,036,942",-3.41,"2,082,432",14.42,"836,933",29.10,"52,749",-7.77,"1,192,750",7.03,"129,092",1.25,"45,627",-0.33,"1,786,171",16.39,"204,879",-7.86,"51,128",65.97,"126,931",-3.45,"3,255,220",25.46,"163,829",8.34,"12,886,882",7.41,"210,815",-7.70,"751,346",-2.44,"2,400,753",11.64,"2,356,559",-5.73,"235,891",-6.75,"6,009,494",12.46,"922,024",22.48,"708,781",2.57,"301,717",3.08,"2,720,184",4.61,"1,585,253",8.73,"318,770",12.19,"154,774",106.56,"2,462,664",21.51,"1,593,723",0.03
2001M11,"21,369,541",7.21,"1,112,285",64.53,"12,404,805",-2.17,"2,042,250",4.48,"398,672",11.17,"9,963,883",-3.88,"2,086,827",11.61,"836,588",26.03,"52,003",-9.65,"1,198,236",4.34,"137,073",3.39,"45,627",-0.33,"1,900,716",29.34,"189,849",-24.22,"47,202",36.49,"126,623",-4.10,"3,318,534",25.65,"157,676",-13.19,"12,945,974",6.69,"208,749",-10.04,"749,773",-1.93,"2,519,578",15.68,"2,333,967",-6.27,"223,897",-17.19,"6,015,529",12.31,"894,481",6.10,"720,284",3.41,"291,644",3.59,"2,693,948",3.45,"1,574,603",7.36,"315,361",11.88,"183,839",121.97,"2,470,841",18.97,"1,589,974",-0.13
2001M12,"21,701,912",6.18,"1,176,305",52.79,"12,715,129",-1.40,"2,132,692",3.47,"459,956",20.77,"10,122,481",-3.17,"2,021,947",10.73,"837,085",22.20,"52,185",-2.10,"1,132,677",4.13,"132,047",-8.63,"45,623",-0.33,"1,974,949",38.41,"212,418",-30.77,"48,109",32.37,"128,336",-6.16,"3,247,049",13.97,"158,123",-18.11,"13,279,838",6.97,"255,453",-13.97,"900,712",7.89,"2,732,406",23.19,"2,275,311",-7.98,"219,968",-22.00,"5,998,467",11.39,"897,521",-3.00,"764,115",6.75,"285,135",1.00,"2,704,711",0.02,"1,552,016",2.01,"320,505",14.27,"202,611",121.03,"2,420,541",10.89,"1,566,333",-0.43
2002M01,"21,606,390",6.40,"1,225,037",59.12,"12,628,834",-1.53,"2,220,778",5.40,"464,473",18.08,"9,943,583",-3.69,"2,045,219",8.92,"836,821",20.62,"58,865",-4.30,"1,149,533",2.41,"134,955",-6.84,"45,624",-0.34,"1,917,609",44.71,"179,054",-12.54,"47,218",18.10,"224,600",25.61,"3,158,240",9.13,"168,945",25.05,"13,264,526",7.11,"228,326",1.84,"846,522",16.43,"2,875,415",22.77,"2,196,030",-9.73,"216,420",-25.09,"5,990,449",9.72,"911,364",0.29,"692,948",3.27,"308,225",8.94,"2,679,569",0.84,"1,533,014",-1.01,"312,418",9.38,"212,479",123.80,"2,390,352",8.30,"1,576,928",-0.74
2002M02,"21,561,235",5.74,"1,247,405",61.16,"12,540,834",-1.55,"2,219,999",4.56,"469,258",25.91,"9,851,577",-3.82,"2,071,093",5.51,"839,222",18.23,"56,806",-14.06,"1,175,065",-1.01,"132,569",-17.57,"45,624",-0.34,"1,902,601",34.44,"156,577",-23.66,"47,286",16.05,"143,793",6.63,"3,273,453",12.38,"151,499",19.49,"13,301,669",6.38,"249,359",-3.63,"801,575",12.19,"2,921,005",25.84,"2,164,064",-12.26,"214,131",-28.70,"6,010,593",8.07,"940,942",6.84,"658,723",0.06,"275,086",-1.98,"2,678,499",0.83,"1,532,674",-1.03,"289,833",-3.33,"218,961",124.82,"2,418,540",11.35,"1,568,425",-1.69
