期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
2001M05,"541,280",-1.56,"3,752,185",-5.66,"218,503",-11.15,"918,770",-7.61,"2,614,912",-4.46,"14,734,282",9.14,"10,190,099",4.17,"1,104,614",67.67,"2,987,585",13.41,"86,276",-7.92,"365,708",10.53,-,-,"1,678,553",-6.24,"4,293,465",-5.16,"19,027,747",5.55,"516,517",-1.57,"3,724,275",-5.67,"229,412",-15.28,"924,310",-9.16,"2,570,553",-3.36,"14,768,689",9.30,"10,172,203",3.64,"1,164,342",77.51,"2,971,059",12.92,"84,889",-3.97,"376,196",16.78,-,-,"1,670,239",-7.88,"4,240,792",-5.19,"19,009,481",5.69
2001M06,"536,831",-1.74,"3,757,280",-4.56,"219,491",-11.17,"909,699",-8.40,"2,628,090",-2.53,"14,828,668",9.29,"10,177,836",3.78,"1,199,726",71.89,"2,996,435",12.82,"86,441",2.89,"368,230",13.92,-,-,"1,666,021",-6.75,"4,294,111",-4.21,"19,122,779",5.94,"527,685",-0.22,"3,931,101",-1.85,"284,402",0.22,"970,147",-8.84,"2,676,552",0.72,"14,881,461",9.19,"10,195,720",3.52,"1,230,784",73.70,"3,006,700",12.68,"87,993",10.51,"360,264",11.08,-,-,"1,782,234",-5.04,"4,458,786",-1.66,"19,340,247",6.48
2001M07,"536,518",-1.49,"3,797,604",-2.89,"227,411",-9.68,"925,956",-7.47,"2,644,237",-0.52,"14,951,061",9.16,"10,198,846",3.64,"1,251,808",71.70,"3,046,611",12.41,"90,250",10.57,"363,546",8.51,-,-,"1,689,885",-5.97,"4,334,122",-2.72,"19,285,183",6.24,"516,428",-0.90,"3,867,118",-0.76,"362,002",36.28,"899,085",-10.22,"2,606,031",-0.90,"14,928,331",8.91,"10,183,043",3.46,"1,249,320",70.98,"3,036,981",12.25,"92,364",10.63,"366,623",6.33,-,-,"1,777,515",-0.60,"4,383,546",-0.78,"19,311,877",6.55
2001M08,"531,280",-1.71,"3,829,009",-1.41,"220,048",-8.87,"921,137",-6.67,"2,687,824",1.23,"14,972,895",8.89,"10,226,810",3.90,"1,207,409",59.49,"3,057,526",12.14,"92,566",17.37,"388,584",12.90,-,-,"1,672,465",-5.45,"4,360,289",-1.44,"19,333,184",6.38,"513,323",-1.32,"3,868,250",-1.22,"228,554",-13.32,"975,779",-6.33,"2,663,917",2.05,"14,998,133",8.86,"10,258,538",3.75,"1,190,523",57.33,"3,054,132",12.45,"92,755",24.43,"402,185",17.15,-,-,"1,717,656",-5.91,"4,381,573",-1.23,"19,379,706",6.40
2001M09,"531,444",-1.26,"3,860,641",0.51,"224,999",-6.82,"936,099",-6.11,"2,699,543",3.72,"14,938,895",7.91,"10,232,303",3.34,"1,144,779",45.28,"3,063,282",12.03,"96,818",10.63,"401,713",20.85,-,-,"1,692,542",-4.74,"4,392,085",0.29,"19,330,980",6.08,"531,163",3.15,"3,920,274",3.75,"266,765",8.54,"947,314",-5.05,"2,706,195",6.75,"14,942,086",7.24,"10,257,945",3.29,"1,128,384",33.01,"3,060,622",12.01,"100,881",0.39,"394,254",22.63,-,-,"1,745,242",-0.75,"4,451,437",3.68,"19,393,523",6.40
2001M10,"530,801",0.16,"3,883,062",3.76,"220,064",-6.11,"926,270",-4.28,"2,736,728",7.73,"14,921,889",6.54,"10,230,022",3.02,"1,131,529",24.28,"3,065,210",11.75,"98,781",5.59,"396,347",20.45,-,-,"1,677,135",-3.17,"4,413,863",3.31,"19,335,752",5.78,"512,805",0.47,"3,932,516",4.92,"228,423",-8.51,"953,352",-3.00,"2,750,741",9.35,"14,903,862",6.00,"10,220,935",2.88,"1,136,673",17.32,"3,051,130",11.58,"96,814",11.22,"398,310",18.51,-,-,"1,694,580",-2.78,"4,445,321",4.39,"19,349,183",5.62
2001M11,"530,204",-0.18,"3,979,403",5.73,"213,218",-7.72,"934,525",-2.90,"2,831,660",10.18,"14,855,527",5.06,"10,188,993",2.54,"1,121,559",10.28,"3,062,342",10.83,"95,360",6.70,"387,273",15.82,-,-,"1,677,947",-2.71,"4,509,607",5.00,"19,365,134",5.04,"514,657",0.78,"4,057,805",7.51,"226,069",-10.44,"954,049",-2.58,"2,877,687",13.17,"14,810,680",4.20,"10,188,804",2.41,"1,102,572",3.00,"3,049,112",10.10,"93,908",2.41,"376,284",13.11,-,-,"1,694,775",-2.73,"4,572,462",6.70,"19,383,142",4.78
2001M12,"531,793",-0.48,"4,240,742",12.30,"226,990",-5.04,"990,552",1.63,"3,023,200",17.97,"14,722,402",2.76,"10,122,265",1.79,"1,090,238",-4.42,"3,053,159",8.62,"94,141",8.75,"362,599",5.11,-,-,"1,749,335",0.07,"4,772,535",10.72,"19,494,937",4.60,"525,659",-0.40,"4,500,201",13.52,"274,532",-14.54,"1,118,498",6.15,"3,107,171",19.99,"14,686,637",1.95,"10,099,932",1.40,"1,101,348",-6.42,"3,041,226",7.48,"94,361",15.42,"349,770",-1.94,-,-,"1,918,689",0.84,"5,025,860",11.88,"19,712,497",4.31
2002M01,"547,240",-16.64,"4,485,968",15.63,"232,046",-7.65,"1,037,795",9.12,"3,216,127",20.13,"14,698,343",1.54,"10,054,703",0.77,"1,110,000",-4.30,"3,082,900",5.77,"95,373",13.27,"355,367",5.05,-,-,"1,817,081",-2.24,"5,033,208",10.96,"19,731,551",3.79,"547,635",-20.40,"4,576,001",16.79,"246,319",0.36,"1,065,290",12.07,"3,264,392",19.92,"14,673,774",1.07,"10,009,551",0.05,"1,124,993",-2.69,"3,082,296",4.45,"96,321",11.37,"360,613",12.32,-,-,"1,859,244",-1.31,"5,123,636",11.24,"19,797,410",3.52
2002M02,"686,122",11.55,"4,555,537",16.51,"237,966",3.63,"992,301",6.65,"3,325,270",20.93,"14,736,350",0.75,"9,989,912",-1.07,"1,157,068",2.23,"3,135,676",5.12,"95,403",9.53,"358,291",9.74,-,-,"1,916,389",7.96,"5,241,659",15.84,"19,978,009",4.32,"610,967",7.90,"4,608,348",17.71,"272,791",-3.61,"1,016,153",8.88,"3,319,404",23.00,"14,743,741",0.53,"10,007,785",-1.42,"1,154,206",3.29,"3,131,795",5.17,"94,344",7.43,"355,611",7.67,-,-,"1,899,911",6.59,"5,219,315",16.47,"19,963,056",4.26
2002M03,"585,241",3.53,"4,619,509",19.63,"223,568",-2.87,"1,010,453",8.74,"3,385,488",25.30,"14,740,794",0.32,"9,970,739",-1.72,"1,179,545",4.53,"3,133,304",4.62,"95,719",7.24,"361,487",7.49,-,-,"1,819,262",5.48,"5,204,750",17.58,"19,945,544",4.31,"559,425",2.97,"4,685,310",19.38,"257,843",-6.29,"1,039,562",10.66,"3,387,905",25.00,"14,740,660",0.31,"9,984,393",-1.75,"1,186,154",6.87,"3,113,059",4.13,"97,009",7.07,"360,045",5.29,-,-,"1,856,830",5.63,"5,244,735",17.38,"19,985,395",4.29
2002M04,"564,130",2.08,"4,651,014",21.78,"216,523",-3.61,"1,023,040",11.70,"3,411,451",27.36,"14,724,698",0.10,"9,961,745",-2.06,"1,180,374",6.75,"3,117,210",4.04,"101,139",13.41,"364,230",4.59,-,-,"1,803,693",6.53,"5,215,144",19.29,"19,939,842",4.50,"540,339",2.19,"4,679,480",22.92,"238,572",-3.38,"1,068,721",14.33,"3,372,187",28.45,"14,664,915",-0.10,"9,964,840",-2.04,"1,130,182",4.80,"3,096,208",3.66,"105,271",19.96,"368,414",3.91,-,-,"1,847,632",8.02,"5,219,819",20.39,"19,884,734",4.57
2002M05,"551,477",1.88,"4,634,816",23.52,"223,088",2.10,"1,053,603",14.68,"3,358,125",28.42,"14,660,515",-0.50,"9,953,630",-2.32,"1,131,934",2.47,"3,093,504",3.55,"107,600",24.72,"373,847",2.23,-,-,"1,828,168",8.91,"5,186,293",20.80,"19,846,808",4.30,"532,305",3.06,"4,620,462",24.06,"232,917",1.53,"1,084,434",17.32,"3,303,111",28.50,"14,616,200",-1.03,"9,961,566",-2.07,"1,094,049",-6.04,"3,071,860",3.39,"109,785",29.33,"378,940",0.73,-,-,"1,849,656",10.74,"5,152,767",21.50,"19,768,967",4.00
