期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
2011M01,"3,466,094","19,770","30,713","501,190","85,000","19,049","13,369","425,228","70,524","1,937,041","2,228","361,982"
2011M02,"1,564,540",0,"68,945","285,171","61,439","3,878","30,460","42,581",0,"987,071",0,"84,995"
2011M03,"3,042,205","18,811","47,961","702,751","118,864","14,107","9,867","188,685","4,626","1,607,776","1,392","327,365"
2011M04,"2,794,425",47,"14,986","532,204","29,981","17,462","36,561","94,259","1,802","1,901,021",654,"165,448"
2011M05,"2,368,589",483,"99,836","383,016","112,600","5,244","12,954","124,310","14,282","1,503,438",210,"112,216"
2011M06,"3,335,375","499,436","98,267","539,015","56,743","10,859","14,702","227,597","2,347","1,754,431","4,220","127,758"
2011M07,"2,648,001",444,"22,205","487,060","158,623","5,314","14,520","52,803","29,836","1,476,261","1,536","399,399"
2011M08,"2,831,907","44,318","194,275","611,522","64,776","4,629","15,355","154,157","19,903","1,432,543","1,350","289,079"
2011M09,"2,894,439","1,128","55,775","383,760","236,715","30,966","63,524","117,586","15,381","1,801,496",269,"187,839"
2011M10,"2,385,675","1,480","24,878","481,503","87,940","3,672","18,576","178,421","26,280","1,407,044","8,616","147,265"
2011M11,"2,845,576","89,411","52,123","534,704","127,541","9,969","12,074","214,764","20,418","1,594,644","5,460","184,468"
2011M12,"3,971,597","1,853","47,512","690,864","147,381","21,902","29,236","255,788","3,724","2,384,165",521,"388,651"
2012M01,"2,663,062","8,561","157,781","450,561","104,646","15,155","11,452","81,782","17,795","1,621,347","1,936","192,046"
2012M02,"1,894,132","18,797","29,882","293,398","46,789","7,242","11,319","91,924","3,820","1,252,474","7,909","130,578"
2012M03,"3,399,511","9,655","17,021","804,690","70,559","28,533","95,623","149,884","8,061","1,828,429",522,"386,534"
2012M04,"2,424,294","2,840","32,427","360,611","58,616","10,135","14,275","209,953","24,262","1,478,202","3,548","229,425"
2012M05,"3,092,232",626,"46,776","629,667","215,123","33,920","26,590","121,642","2,735","1,817,494","8,440","189,219"
2012M06,"2,961,669","1,812","103,362","331,491","68,961","12,209","23,759","125,738","12,149","2,054,575","1,192","226,421"
2012M07,"2,336,790",0,"122,435","388,681","19,232","25,297","11,140","136,423","20,696","1,314,738","1,068","297,080"
2012M08,"2,433,032","6,864","90,685","400,353","118,305","17,945","15,696","99,375","22,001","1,533,121","2,716","125,971"
2012M09,"2,295,485","1,789","230,839","382,280","59,566","5,430","12,616","158,868","13,160","1,191,874","1,725","237,338"
2012M10,"2,819,513",572,"39,335","658,884","61,048","6,334","18,714","345,887","5,348","1,338,790",230,"344,371"
2012M11,"3,307,703","44,821","54,611","418,690","193,847","29,838","29,206","219,647","14,307","2,129,341","7,676","165,719"
2012M12,"3,255,516",515,"139,832","497,640","161,678","22,233","239,067","232,492","34,604","1,759,074",326,"168,055"
2013M01,"3,806,945","2,513","183,197","548,188","117,949","33,712","37,715","72,936","33,275","2,488,116","1,299","288,045"
2013M02,"2,273,367","3,315","45,238","396,540","50,826","24,499","22,499","52,520","23,396","1,500,115",643,"153,776"
2013M03,"2,740,039","21,694","65,467","366,128","56,898","13,391","81,259","147,730","4,420","1,696,923","12,800","273,329"
2013M04,"3,540,828","7,096","116,184","513,746","31,959","4,807","96,212","373,187","5,492","2,231,334","2,427","158,384"
2013M05,"3,837,357","3,985","56,856","725,930","98,582","10,488","58,983","118,370","6,427","2,447,946","3,213","306,577"
2013M06,"2,700,716","3,275","4,525","423,930","80,320","23,632","27,464","166,724","24,426","1,731,647","2,668","212,105"
2013M07,"3,224,244",384,"134,249","596,304","175,259","21,336","98,699","178,930","48,270","1,697,576",331,"272,906"
2013M08,"3,668,138","3,841","230,488","469,095","38,200","23,618","9,603","258,605","19,954","2,402,129",502,"212,103"
2013M09,"3,690,842","2,063","457,289","344,534","109,126","13,005","22,421","76,387","34,989","2,420,215",61,"210,752"
2013M10,"3,863,898","2,919","57,630","466,700","80,792","23,527","21,173","236,024","2,818","2,714,875",700,"256,740"
2013M11,"2,517,726","1,272","135,808","435,388","90,884","11,628","31,405","164,828",0,"1,502,485","4,159","139,869"
2013M12,"3,896,395","3,151","152,886","552,854","163,539","9,482","47,806","136,476","3,408","2,583,421","2,204","241,168"
2014M01,"3,736,260","15,372","162,894","563,798","83,133","36,230","32,787","154,088","33,795","2,303,990","6,343","343,830"
2014M02,"2,604,344","3,599","148,421","281,622","55,902","16,827","42,661","184,736","62,228","1,641,909","3,188","163,251"
2014M03,"3,265,982",549,"391,588","576,781","22,318","11,671","27,983","59,445","10,638","1,827,307","7,210","330,492"
2014M04,"3,650,640",129,"48,151","580,367","112,625","11,855","15,528","133,599","3,359","2,413,397","1,311","330,319"
2014M05,"3,026,395","44,837","304,308","445,045","49,173","5,400","12,041","132,340","61,038","1,776,426","7,924","187,863"
2014M06,"3,251,804",403,"144,133","448,262","102,033","9,436","2,488","219,578","21,957","1,791,461","3,904","508,149"
2014M07,"3,351,495",0,"118,445","705,405","46,282","16,553","49,325","354,452","5,735","1,757,485",949,"296,864"
