期間,受理件數(件)_原始值,受理件數(件)_年增率(%),受理件數(件)-初次認定申請件數_原始值,受理件數(件)-初次認定申請件數_年增率(%),受理件數(件)-再次認定申請件數_原始值,受理件數(件)-再次認定申請件數_年增率(%),核付件數(件)_原始值,核付件數(件)_年增率(%),核付件數(件)-初次認定核付件數_原始值,核付件數(件)-初次認定核付件數_年增率(%),核付件數(件)-再次認定核付件數_原始值,核付件數(件)-再次認定核付件數_年增率(%),核付金額(千元)_原始值,核付金額(千元)_年增率(%),推介就業人數(人)_原始值,推介就業人數(人)_年增率(%),安排職訓人數(人)_原始值,安排職訓人數(人)_年增率(%)
2010M07,"37,293",-64.21,"6,449",-56.01,"30,844",-65.55,"37,478",-67.02,"6,063",-60.13,"31,415",-68.09,"755,183",-65.98,"5,011",-37.45,"1,393",-50.62
2010M08,"38,102",-56.85,"8,785",-35.73,"29,317",-60.72,"37,156",-57.43,"8,089",-36.06,"29,067",-61.06,"757,488",-55.59,"5,208",-28.11,"1,614",-44.78
2010M09,"34,518",-58.42,"6,847",-40.98,"27,671",-61.26,"33,408",-61.82,"6,565",-41.26,"26,843",-64.83,"680,170",-60.43,"6,476",-13.71,"1,857",-34.27
2010M10,"32,400",-55.39,"5,929",-39.26,"26,471",-57.89,"34,038",-54.83,"5,839",-37.13,"28,199",-57.31,"688,525",-53.47,"4,748",-20.54,783,-61.39
2010M11,"32,854",-47.94,"5,867",-31.08,"26,987",-50.57,"31,453",-48.42,"5,751",-29.36,"25,702",-51.36,"630,663",-47.29,"4,702",-16.13,787,-61.48
2010M12,"32,772",-50.43,"5,381",-42.04,"27,391",-51.80,"35,354",-48.80,"5,535",-39.28,"29,819",-50.25,"715,840",-47.61,"4,855",-6.76,827,-54.16
2011M01,"29,843",-43.20,"6,082",-27.41,"23,761",-46.19,"29,253",-42.69,"5,489",-27.72,"23,764",-45.31,"592,202",-41.42,"3,640",-14.35,641,-50.58
2011M02,"25,474",-48.48,"4,984",-47.35,"20,490",-48.75,"23,117",-36.66,"4,899",-9.01,"18,218",-41.44,"467,324",-34.83,"4,235",-1.47,809,-32.97
2011M03,"30,991",-44.60,"6,315",-22.35,"24,676",-48.39,"31,425",-55.56,"5,460",-53.48,"25,965",-55.97,"637,830",-54.33,"6,412",-14.58,"1,414",-37.90
2011M04,"21,240",-53.21,"4,531",-47.27,"16,709",-54.60,"23,785",-47.52,"5,254",-39.40,"18,531",-49.44,"484,043",-46.48,"5,126",-26.24,800,-55.65
2011M05,"25,733",-38.20,"4,720",-31.28,"21,013",-39.57,"22,716",-45.93,"4,230",-35.54,"18,486",-47.86,"464,005",-44.72,"3,881",-32.23,"1,075",-33.52
2011M06,"21,473",-45.45,"4,310",-29.22,"17,163",-48.42,"21,777",-46.05,"3,989",-35.95,"17,788",-47.89,"448,910",-44.90,"3,538",-32.76,"1,254",-33.12
2011M07,"21,224",-43.09,"4,988",-22.65,"16,236",-47.36,"21,227",-43.36,"5,009",-17.38,"16,218",-48.37,"440,719",-41.64,"3,781",-24.55,996,-28.50
2011M08,"25,949",-31.90,"8,519",-3.03,"17,430",-40.55,"25,396",-31.65,"7,767",-3.98,"17,629",-39.35,"537,378",-29.06,"4,587",-11.92,"1,173",-27.32
2011M09,"21,460",-37.83,"5,162",-24.61,"16,298",-41.10,"21,856",-34.58,"5,532",-15.73,"16,324",-39.19,"457,206",-32.78,"4,766",-26.41,"1,167",-37.16
2011M10,"20,801",-35.80,"5,281",-10.93,"15,520",-41.37,"20,303",-40.35,"4,999",-14.39,"15,304",-45.73,"423,364",-38.51,"3,410",-28.18,769,-1.79
2011M11,"22,933",-30.20,"6,122",4.35,"16,811",-37.71,"22,371",-28.87,"5,522",-3.98,"16,849",-34.44,"468,748",-25.67,"3,408",-27.52,958,21.73
2011M12,"23,692",-27.71,"5,820",8.16,"17,872",-34.75,"23,300",-34.10,"5,887",6.36,"17,413",-41.60,"488,123",-31.81,"3,022",-37.75,672,-18.74
2012M01,"24,879",-16.63,"7,146",17.49,"17,733",-25.37,"18,434",-36.98,"4,024",-26.69,"14,410",-39.36,"385,572",-34.89,"2,241",-38.43,285,-55.54
2012M02,"25,258",-0.85,"6,422",28.85,"18,836",-8.07,"28,713",24.21,"8,139",66.14,"20,574",12.93,"602,466",28.92,"3,684",-13.01,639,-21.01
2012M03,"27,743",-10.48,"6,691",5.95,"21,052",-14.69,"29,168",-7.18,"7,654",40.18,"21,514",-17.14,"617,519",-3.18,"5,743",-10.43,809,-42.79
2012M04,"24,879",17.13,"5,521",21.85,"19,358",15.85,"23,297",-2.05,"4,948",-5.82,"18,349",-0.98,"493,952",2.05,"4,231",-17.46,708,-11.50
2012M05,"25,676",-0.22,"5,560",17.80,"20,116",-4.27,"26,534",16.81,"5,806",37.26,"20,728",12.13,"563,745",21.50,"4,540",16.98,605,-43.72
2012M06,"22,097",2.91,"4,544",5.43,"17,553",2.27,"21,811",0.16,"4,455",11.68,"17,356",-2.43,"463,670",3.29,"3,563",0.71,689,-45.06
2012M07,"24,231",14.17,"5,604",12.35,"18,627",14.73,"23,997",13.05,"5,219",4.19,"18,778",15.78,"511,000",15.95,"3,494",-7.59,568,-42.97
2012M08,"27,960",7.75,"9,148",7.38,"18,812",7.93,"27,720",9.15,"8,466",9.00,"19,254",9.22,"604,470",12.49,"4,240",-7.56,728,-37.94
2012M09,"22,462",4.67,"5,705",10.52,"16,757",2.82,"21,838",-0.08,"5,728",3.54,"16,110",-1.31,"468,799",2.54,"5,350",12.25,781,-33.08
2012M10,"27,122",30.39,"6,858",29.86,"20,264",30.57,"26,851",32.25,"7,067",41.37,"19,784",29.27,"573,599",35.49,"4,033",18.27,407,-47.07
2012M11,"27,568",20.21,"7,560",23.49,"20,008",19.02,"27,032",20.84,"7,099",28.56,"19,933",18.30,"575,149",22.70,"3,851",13.00,529,-44.78
2012M12,"27,157",14.63,"6,699",15.10,"20,458",14.47,"29,243",25.51,"7,216",22.58,"22,027",26.50,"631,725",29.42,"3,590",18.80,656,-2.38
2013M01,"34,416",38.33,"8,252",15.48,"26,164",47.54,"30,202",63.84,"7,214",79.27,"22,988",59.53,"649,593",68.48,"3,948",76.17,432,51.58
2013M02,"26,863",6.35,"6,588",2.58,"20,275",7.64,"24,569",-14.43,"6,565",-19.34,"18,004",-12.49,"528,012",-12.36,"3,150",-14.50,430,-32.71
