期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2012M07,387,15.52,32,60.00,4,300.00,0,--,20,233.33,5,0.00,4,300.00,4,0.00,8,60.00,6,-45.45,0,--,5,-16.67,12,50.00,0,--,9,125.00,35,29.63,14,-36.36,7,-12.50,95,13.10,17,-34.62,9,-57.14,15,7.14,46,24.32,12,71.43,5,150.00,7,250.00,16,14.29,214,0.94,9,0.00,2,0.00,0,--,9,-25.00,4,300.00,0,-100.00,3,--,2,-33.33,14,55.56,0,--,5,150.00,4,-50.00,1,0.00,0,-100.00,17,6.25,6,200.00,0,-100.00,43,19.44,19,18.75,12,-33.33,10,42.86,35,-20.45,3,-57.14,1,-50.00,4,0.00,11,175.00
2012M08,420,14.75,33,83.33,1,0.00,0,--,15,25.00,5,-50.00,3,0.00,4,33.33,11,22.22,10,25.00,0,-100.00,7,600.00,9,-47.06,2,0.00,2,-50.00,28,-15.15,13,62.50,6,-33.33,144,63.64,15,-25.00,15,25.00,18,-18.18,48,-18.64,10,25.00,6,100.00,5,--,10,-33.33,245,26.29,19,375.00,2,100.00,0,--,15,7.14,3,50.00,0,--,2,-33.33,6,100.00,7,40.00,1,--,2,0.00,6,200.00,1,0.00,1,-66.67,17,-5.56,6,0.00,6,20.00,45,45.16,21,75.00,14,-12.50,9,-30.77,39,14.71,4,0.00,2,-50.00,4,100.00,13,44.44
2012M09,355,19.53,22,-4.35,2,-66.67,0,--,10,42.86,5,0.00,0,--,8,166.67,3,-50.00,5,-28.57,0,--,3,-62.50,6,-25.00,1,--,8,700.00,36,89.47,12,71.43,8,100.00,110,37.50,15,15.38,10,-33.33,8,-20.00,52,13.04,8,60.00,5,25.00,6,0.00,12,-14.29,171,-6.56,9,80.00,0,-100.00,0,--,12,100.00,3,0.00,0,-100.00,2,-50.00,3,50.00,6,-33.33,0,-100.00,4,100.00,8,100.00,1,--,1,-50.00,9,-50.00,5,25.00,4,-33.33,28,-22.22,12,0.00,12,-25.00,9,50.00,30,30.43,3,-57.14,2,-60.00,2,0.00,6,20.00
2012M10,404,24.31,32,33.33,2,0.00,0,--,13,18.18,5,400.00,2,-50.00,8,166.67,2,-66.67,9,80.00,1,--,4,-50.00,11,37.50,0,--,7,16.67,43,138.89,16,45.45,5,-16.67,106,0.95,25,0.00,11,10.00,9,-10.00,54,28.57,10,150.00,3,200.00,7,133.33,19,58.33,232,17.17,13,85.71,2,--,0,--,12,20.00,4,--,3,-25.00,3,50.00,4,33.33,7,0.00,0,--,0,-100.00,4,-33.33,0,-100.00,2,-50.00,23,130.00,6,200.00,4,-42.86,47,46.88,23,27.78,17,-5.56,10,25.00,35,2.94,2,-75.00,3,200.00,1,-50.00,7,-30.00
2012M11,406,15.67,39,69.57,2,-50.00,0,--,17,21.43,2,-71.43,3,50.00,4,--,8,700.00,7,-12.50,0,-100.00,4,0.00,2,-85.71,3,--,2,-60.00,30,3.45,14,133.33,3,-62.50,124,27.84,16,-50.00,11,57.14,12,-7.69,62,37.78,12,50.00,5,0.00,11,175.00,13,8.33,184,-22.03,8,-46.67,2,100.00,0,--,7,-22.22,2,100.00,3,50.00,0,-100.00,2,--,9,28.57,0,--,2,0.00,6,-40.00,0,--,0,-100.00,18,-30.77,4,-66.67,5,400.00,27,-38.64,20,11.11,6,-14.29,13,85.71,33,-32.65,1,-80.00,1,-66.67,5,150.00,10,0.00
2012M12,404,14.77,40,66.67,2,-33.33,0,--,14,55.56,6,-25.00,3,-40.00,3,200.00,7,250.00,6,50.00,1,-50.00,1,-88.89,9,-25.00,0,--,5,0.00,37,19.35,15,36.36,8,60.00,115,21.05,8,-57.89,16,60.00,15,15.38,55,-3.51,12,9.09,8,166.67,7,133.33,11,10.00,217,-77.16,9,-82.35,0,-100.00,0,--,8,-82.22,1,-94.44,2,-89.47,5,-82.76,5,-61.54,7,-81.08,0,-100.00,1,-90.91,9,-47.06,2,-60.00,2,-71.43,22,-75.56,5,-83.87,5,-44.44,39,-77.46,18,-52.63,11,-69.44,12,-75.00,33,-81.36,5,-77.27,4,-69.23,2,-91.67,10,-66.67
2013M01,427,55.27,33,26.92,5,25.00,0,--,19,90.00,2,-33.33,2,--,6,100.00,8,33.33,5,0.00,0,-100.00,5,-16.67,9,125.00,2,100.00,3,-40.00,34,61.90,9,0.00,8,100.00,129,81.69,20,33.33,8,0.00,10,0.00,63,80.00,12,140.00,10,233.33,14,133.33,11,-21.43,253,61.15,10,66.67,1,-66.67,0,--,11,10.00,6,500.00,1,-50.00,1,0.00,5,150.00,10,233.33,1,--,4,--,4,33.33,0,-100.00,6,--,17,70.00,8,60.00,3,-40.00,51,121.74,21,10.53,6,-25.00,10,66.67,53,65.63,4,-33.33,5,150.00,5,66.67,10,66.67
2013M02,262,-4.03,22,100.00,0,--,0,--,6,-33.33,3,-40.00,3,--,5,150.00,5,66.67,5,-50.00,2,--,2,-50.00,4,0.00,1,-50.00,6,20.00,15,-21.05,8,-27.27,5,-37.50,81,2.53,5,-66.67,7,-12.50,10,25.00,42,-8.70,5,-37.50,1,-80.00,8,700.00,11,10.00,123,-59.80,3,-90.32,1,-80.00,0,--,4,-60.00,1,-90.00,1,--,0,-100.00,2,-60.00,1,-83.33,1,--,1,-75.00,3,-75.00,0,-100.00,2,-60.00,4,-76.47,2,-71.43,6,0.00,26,-52.73,8,-57.89,11,83.33,6,-60.00,23,-60.34,7,16.67,3,-40.00,5,0.00,2,-81.82
2013M03,422,15.30,23,-23.33,2,-60.00,0,--,17,-5.56,4,-33.33,2,-33.33,3,50.00,10,66.67,5,66.67,0,--,0,-100.00,6,-45.45,0,-100.00,7,-22.22,39,95.00,16,100.00,8,300.00,133,27.88,14,-30.00,18,28.57,14,-12.50,72,50.00,10,0.00,7,16.67,6,0.00,6,-45.45,189,2.16,10,11.11,5,66.67,0,--,12,9.09,3,0.00,2,-60.00,1,-66.67,3,--,6,20.00,0,--,2,100.00,4,-20.00,0,-100.00,4,100.00,14,40.00,8,60.00,5,25.00,38,18.75,16,23.08,7,-46.15,8,-27.27,34,13.33,4,33.33,0,-100.00,1,-80.00,2,-71.43
2013M04,451,30.35,33,6.45,2,--,0,--,18,80.00,3,-57.14,2,0.00,9,80.00,8,100.00,6,-60.00,1,0.00,2,-71.43,5,-70.59,1,-50.00,6,200.00,46,119.05,7,-41.67,4,-42.86,148,66.29,16,-23.81,16,33.33,11,-35.29,58,41.46,12,100.00,4,0.00,12,500.00,21,90.91,182,-1.62,6,-45.45,2,--,0,--,6,-25.00,2,-50.00,3,0.00,2,100.00,3,--,6,-25.00,0,--,1,-50.00,2,-33.33,0,-100.00,4,--,21,50.00,6,20.00,2,0.00,39,5.41,25,31.58,10,-28.57,4,-42.86,25,-13.79,5,66.67,1,-66.67,5,66.67,2,-75.00
2013M05,537,39.84,45,60.71,6,50.00,0,--,17,41.67,11,120.00,2,-60.00,10,233.33,10,25.00,11,83.33,0,-100.00,4,-42.86,7,-36.36,1,-50.00,6,-25.00,38,22.58,16,14.29,13,333.33,189,58.82,10,-44.44,18,80.00,14,-17.65,70,66.67,12,300.00,4,-33.33,10,25.00,13,0.00,168,-22.58,6,-53.85,0,-100.00,0,--,8,-46.67,4,300.00,0,-100.00,1,-75.00,3,--,2,-75.00,0,--,3,-25.00,4,-42.86,0,-100.00,1,-66.67,11,-26.67,5,-50.00,6,500.00,33,-2.94,16,0.00,10,-50.00,6,-40.00,31,14.81,6,20.00,3,0.00,3,0.00,6,-45.45
2013M06,436,40.65,13,-56.67,0,--,0,--,16,45.45,11,266.67,2,100.00,5,0.00,15,200.00,4,-20.00,0,-100.00,4,33.33,15,50.00,1,--,6,50.00,44,91.30,9,-10.00,13,85.71,132,67.09,18,-10.00,13,18.18,13,44.44,57,29.55,16,23.08,9,200.00,5,150.00,15,36.36,256,34.03,11,120.00,2,0.00,0,--,15,50.00,3,50.00,4,300.00,3,--,4,-20.00,13,333.33,0,--,4,0.00,10,233.33,0,--,5,66.67,21,16.67,6,100.00,5,0.00,46,39.39,20,-9.09,20,11.11,12,140.00,36,-7.69,5,66.67,4,0.00,1,-66.67,6,--
2013M07,547,41.34,37,15.63,0,-100.00,1,--,21,5.00,7,40.00,1,-75.00,12,200.00,4,-50.00,6,0.00,2,--,3,-40.00,10,-16.67,3,--,6,-33.33,50,42.86,10,-28.57,12,71.43,175,84.21,12,-29.41,10,11.11,16,6.67,82,78.26,25,108.33,12,140.00,15,114.29,15,-6.25,262,22.43,18,100.00,5,150.00,0,--,14,55.56,5,25.00,3,--,3,0.00,2,0.00,6,-57.14,1,--,1,-80.00,6,50.00,1,0.00,2,--,17,0.00,6,0.00,4,--,46,6.98,18,-5.26,22,83.33,8,-20.00,38,8.57,11,266.67,4,300.00,4,0.00,17,54.55
2013M08,481,14.52,40,21.21,4,300.00,0,--,18,20.00,7,40.00,5,66.67,8,100.00,12,9.09,8,-20.00,0,--,2,-71.43,5,-44.44,2,0.00,6,200.00,37,32.14,14,7.69,5,-16.67,163,13.19,18,20.00,12,-20.00,11,-38.89,60,25.00,12,20.00,6,0.00,11,120.00,15,50.00,240,-2.04,12,-36.84,1,-50.00,0,--,10,-33.33,0,-100.00,2,--,0,-100.00,2,-66.67,14,100.00,0,-100.00,0,-100.00,11,83.33,1,0.00,3,200.00,19,11.76,8,33.33,4,-33.33,44,-2.22,15,-28.57,15,7.14,13,44.44,41,5.13,8,100.00,3,50.00,4,0.00,10,-23.08
