期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998Q1,0,...,"1,269",...,927,...,927,...,0,...,0,...,0,...,0,...,"3,123",...
1998Q2,0,...,"1,912",...,503,...,503,...,0,...,0,...,0,...,0,...,"2,918",...
1998Q3,0,...,"1,912",...,196,...,196,...,0,...,0,...,0,...,0,...,"2,304",...
1998Q4,0,...,"1,785",...,183,...,183,...,0,...,0,...,0,...,0,...,"2,151",...
1999Q1,0,--,840,-33.81,188,-79.72,188,-79.72,0,--,0,--,0,--,0,--,"1,216",-61.06
1999Q2,0,--,"2,005",4.86,"1,919",281.51,"1,919",281.51,0,--,0,--,0,--,0,--,"5,843",100.24
1999Q3,0,--,"3,345",74.95,"4,504","2,197.96","4,504","2,197.96",0,--,0,--,0,--,0,--,"12,353",436.15
1999Q4,0,--,"3,627",103.19,"4,455","2,334.43","4,455","2,334.43",0,--,0,--,0,--,0,--,"12,537",482.85
2000Q1,0,--,"4,119",390.36,"6,933","3,587.77","6,933","3,587.77",0,--,0,--,0,--,0,--,"17,985","1,379.03"
2000Q2,0,--,"5,327",165.69,"6,365",231.68,"6,365",231.68,0,--,0,--,0,--,0,--,"18,057",209.04
2000Q3,0,--,"5,934",77.40,"16,711",271.03,"16,711",271.03,0,--,0,--,0,--,0,--,"39,356",218.59
2000Q4,0,--,"4,514",24.46,"21,541",383.52,"21,541",383.52,0,--,0,--,0,--,0,--,"47,596",279.64
2001Q1,155,--,"3,568",-13.38,"18,867",172.13,"18,867",172.13,0,--,0,--,0,--,0,--,"41,457",130.51
2001Q2,81,--,"3,507",-34.17,"21,232",233.57,"21,232",233.57,0,--,0,--,0,--,0,--,"46,052",155.04
2001Q3,0,--,"6,375",7.43,"19,853",18.80,"19,854",18.81,0,--,0,--,0,--,0,--,"46,082",17.09
2001Q4,0,--,"3,762",-16.66,"21,685",0.67,"21,685",0.67,0,--,0,--,0,--,0,--,"47,132",-0.97
