期間,垃圾產生量(公噸)-總計_原始值,垃圾產生量(公噸)-總計_年增率(%),垃圾產生量(公噸)-焚化_原始值,垃圾產生量(公噸)-焚化_年增率(%),垃圾產生量(公噸)-衛生掩埋_原始值,垃圾產生量(公噸)-衛生掩埋_年增率(%),垃圾產生量(公噸)-巨大垃圾回收再利用_原始值,垃圾產生量(公噸)-巨大垃圾回收再利用_年增率(%),垃圾產生量(公噸)-廚餘回收_原始值,垃圾產生量(公噸)-廚餘回收_年增率(%),垃圾產生量(公噸)-資源回收_原始值,垃圾產生量(公噸)-資源回收_年增率(%),垃圾產生量(公噸)-其他_原始值,垃圾產生量(公噸)-其他_年增率(%),平均每人每日垃圾產生量(公斤)_原始值,平均每人每日垃圾產生量(公斤)_年增率(%),平均每人每日垃圾清運量(公斤)_原始值,平均每人每日垃圾清運量(公斤)_年增率(%),垃圾妥善處理率(%)_原始值,垃圾妥善處理率(%)_年增率(%),垃圾回收率(%)-總計_原始值,垃圾回收率(%)-總計_年增率(%),垃圾回收率(%)-巨大垃圾回收再利用率_原始值,垃圾回收率(%)-巨大垃圾回收再利用率_年增率(%),垃圾回收率(%)-廚餘回收率_原始值,垃圾回收率(%)-廚餘回收率_年增率(%),垃圾回收率(%)-資源回收率_原始值,垃圾回收率(%)-資源回收率_年增率(%)
2007,"7,975,686",3.06,"4,335,770",4.13,"504,944",-40.67,"31,230",9.02,"662,791",16.24,"2,408,429",14.30,"32,523",83.86,0.954,2.581,0.583,-3.636,99.59,-,38.90,-,0.39,-,8.31,-,30.20,-
2008,"7,607,798",-4.61,"4,137,284",-4.58,"236,123",-53.24,"44,466",42.38,"691,194",4.28,"2,497,985",3.72,747,-97.70,0.904,-5.241,0.520,-10.806,99.99,-,42.50,-,0.58,-,9.09,-,32.83,-
2009,"7,729,231",1.60,"4,036,404",-2.44,"185,765",-21.33,"65,473",47.24,"721,472",4.38,"2,718,803",8.84,"1,315",76.04,0.918,1.549,0.501,-3.654,99.98,-,45.36,-,0.85,-,9.33,-,35.18,-
