期間,合計-計_原始值,合計-計_年增率(%),合計-購置不動產_原始值,合計-購置不動產_年增率(%),合計-購置動產_原始值,合計-購置動產_年增率(%),合計-企業投資_原始值,合計-企業投資_年增率(%),合計-週轉金_原始值,合計-週轉金_年增率(%),公、民營企業-小計-計_原始值,公、民營企業-小計-計_年增率(%),公、民營企業-小計-購置不動產_原始值,公、民營企業-小計-購置不動產_年增率(%),公、民營企業-小計-購置動產_原始值,公、民營企業-小計-購置動產_年增率(%),公、民營企業-小計-企業投資_原始值,公、民營企業-小計-企業投資_年增率(%),公、民營企業-小計-週轉金_原始值,公、民營企業-小計-週轉金_年增率(%),公、民營企業-農林漁牧業-計_原始值,公、民營企業-農林漁牧業-計_年增率(%),公、民營企業-農林漁牧業-購置不動產_原始值,公、民營企業-農林漁牧業-購置不動產_年增率(%),公、民營企業-農林漁牧業-購置動產_原始值,公、民營企業-農林漁牧業-購置動產_年增率(%),公、民營企業-農林漁牧業-企業投資_原始值,公、民營企業-農林漁牧業-企業投資_年增率(%),公、民營企業-農林漁牧業-週轉金_原始值,公、民營企業-農林漁牧業-週轉金_年增率(%),公、民營企業-礦業及土石採取業-計_原始值,公、民營企業-礦業及土石採取業-計_年增率(%),公、民營企業-礦業及土石採取業-購置不動產_原始值,公、民營企業-礦業及土石採取業-購置不動產_年增率(%),公、民營企業-礦業及土石採取業-購置動產_原始值,公、民營企業-礦業及土石採取業-購置動產_年增率(%),公、民營企業-礦業及土石採取業-企業投資_原始值,公、民營企業-礦業及土石採取業-企業投資_年增率(%),公、民營企業-礦業及土石採取業-週轉金_原始值,公、民營企業-礦業及土石採取業-週轉金_年增率(%),公、民營企業-製造業-計_原始值,公、民營企業-製造業-計_年增率(%),公、民營企業-製造業-購置不動產_原始值,公、民營企業-製造業-購置不動產_年增率(%),公、民營企業-製造業-購置動產_原始值,公、民營企業-製造業-購置動產_年增率(%),公、民營企業-製造業-企業投資_原始值,公、民營企業-製造業-企業投資_年增率(%),公、民營企業-製造業-週轉金_原始值,公、民營企業-製造業-週轉金_年增率(%),公、民營企業-水電燃氣及污染整治業-計_原始值,公、民營企業-水電燃氣及污染整治業-計_年增率(%),公、民營企業-水電燃氣及污染整治業-購置不動產_原始值,公、民營企業-水電燃氣及污染整治業-購置不動產_年增率(%),公、民營企業-水電燃氣及污染整治業-購置動產_原始值,公、民營企業-水電燃氣及污染整治業-購置動產_年增率(%),公、民營企業-水電燃氣及污染整治業-企業投資_原始值,公、民營企業-水電燃氣及污染整治業-企業投資_年增率(%),公、民營企業-水電燃氣及污染整治業-週轉金_原始值,公、民營企業-水電燃氣及污染整治業-週轉金_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-計_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-計_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-購置不動產_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-購置不動產_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-購置動產_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-購置動產_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-企業投資_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-企業投資_年增率(%),公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-週轉金_原始值,公、民營企業-水電燃氣及污染整治業-用水供應及污染整治業-週轉金_年增率(%),公、民營企業-營造業-計_原始值,公、民營企業-營造業-計_年增率(%),公、民營企業-營造業-購置不動產_原始值,公、民營企業-營造業-購置不動產_年增率(%),公、民營企業-營造業-購置動產_原始值,公、民營企業-營造業-購置動產_年增率(%),公、民營企業-營造業-企業投資_原始值,公、民營企業-營造業-企業投資_年增率(%),公、民營企業-營造業-週轉金_原始值,公、民營企業-營造業-週轉金_年增率(%),公、民營企業-批發及零售業-計_原始值,公、民營企業-批發及零售業-計_年增率(%),公、民營企業-批發及零售業-購置不動產_原始值,公、民營企業-批發及零售業-購置不動產_年增率(%),公、民營企業-批發及零售業-購置動產_原始值,公、民營企業-批發及零售業-購置動產_年增率(%),公、民營企業-批發及零售業-企業投資_原始值,公、民營企業-批發及零售業-企業投資_年增率(%),公、民營企業-批發及零售業-週轉金_原始值,公、民營企業-批發及零售業-週轉金_年增率(%),公、民營企業-住宿及餐飲業-計_原始值,公、民營企業-住宿及餐飲業-計_年增率(%),公、民營企業-住宿及餐飲業-購置不動產_原始值,公、民營企業-住宿及餐飲業-購置不動產_年增率(%),公、民營企業-住宿及餐飲業-購置動產_原始值,公、民營企業-住宿及餐飲業-購置動產_年增率(%),公、民營企業-住宿及餐飲業-企業投資_原始值,公、民營企業-住宿及餐飲業-企業投資_年增率(%),公、民營企業-住宿及餐飲業-週轉金_原始值,公、民營企業-住宿及餐飲業-週轉金_年增率(%),公、民營企業-運輸及倉儲業-計_原始值,公、民營企業-運輸及倉儲業-計_年增率(%),公、民營企業-運輸及倉儲業-購置不動產_原始值,公、民營企業-運輸及倉儲業-購置不動產_年增率(%),公、民營企業-運輸及倉儲業-購置動產_原始值,公、民營企業-運輸及倉儲業-購置動產_年增率(%),公、民營企業-運輸及倉儲業-企業投資_原始值,公、民營企業-運輸及倉儲業-企業投資_年增率(%),公、民營企業-運輸及倉儲業-週轉金_原始值,公、民營企業-運輸及倉儲業-週轉金_年增率(%),公、民營企業-資訊及通訊傳播業-計_原始值,公、民營企業-資訊及通訊傳播業-計_年增率(%),公、民營企業-資訊及通訊傳播業-購置不動產_原始值,公、民營企業-資訊及通訊傳播業-購置不動產_年增率(%),公、民營企業-資訊及通訊傳播業-購置動產_原始值,公、民營企業-資訊及通訊傳播業-購置動產_年增率(%),公、民營企業-資訊及通訊傳播業-企業投資_原始值,公、民營企業-資訊及通訊傳播業-企業投資_年增率(%),公、民營企業-資訊及通訊傳播業-週轉金_原始值,公、民營企業-資訊及通訊傳播業-週轉金_年增率(%),公、民營企業-金融及保險業-計_原始值,公、民營企業-金融及保險業-計_年增率(%),公、民營企業-金融及保險業-購置不動產_原始值,公、民營企業-金融及保險業-購置不動產_年增率(%),公、民營企業-金融及保險業-購置動產_原始值,公、民營企業-金融及保險業-購置動產_年增率(%),公、民營企業-金融及保險業-企業投資_原始值,公、民營企業-金融及保險業-企業投資_年增率(%),公、民營企業-金融及保險業-週轉金_原始值,公、民營企業-金融及保險業-週轉金_年增率(%),公、民營企業-不動產業-計_原始值,公、民營企業-不動產業-計_年增率(%),公、民營企業-不動產業-購置不動產_原始值,公、民營企業-不動產業-購置不動產_年增率(%),公、民營企業-不動產業-購置動產_原始值,公、民營企業-不動產業-購置動產_年增率(%),公、民營企業-不動產業-企業投資_原始值,公、民營企業-不動產業-企業投資_年增率(%),公、民營企業-不動產業-週轉金_原始值,公、民營企業-不動產業-週轉金_年增率(%),公、民營企業-服務業-計_原始值,公、民營企業-服務業-計_年增率(%),公、民營企業-服務業-購置不動產_原始值,公、民營企業-服務業-購置不動產_年增率(%),公、民營企業-服務業-購置動產_原始值,公、民營企業-服務業-購置動產_年增率(%),公、民營企業-服務業-企業投資_原始值,公、民營企業-服務業-企業投資_年增率(%),公、民營企業-服務業-週轉金_原始值,公、民營企業-服務業-週轉金_年增率(%),政府機關-計_原始值,政府機關-計_年增率(%),政府機關-購置不動產_原始值,政府機關-購置不動產_年增率(%),政府機關-購置動產_原始值,政府機關-購置動產_年增率(%),政府機關-企業投資_原始值,政府機關-企業投資_年增率(%),政府機關-週轉金_原始值,政府機關-週轉金_年增率(%),社會保險、退休基金及非營利團體-計_原始值,社會保險、退休基金及非營利團體-計_年增率(%),社會保險、退休基金及非營利團體-購置不動產_原始值,社會保險、退休基金及非營利團體-購置不動產_年增率(%),社會保險、退休基金及非營利團體-購置動產_原始值,社會保險、退休基金及非營利團體-購置動產_年增率(%),社會保險、退休基金及非營利團體-企業投資_原始值,社會保險、退休基金及非營利團體-企業投資_年增率(%),社會保險、退休基金及非營利團體-週轉金_原始值,社會保險、退休基金及非營利團體-週轉金_年增率(%),個人-計_原始值,個人-計_年增率(%),個人-購置不動產_原始值,個人-購置不動產_年增率(%),個人-購置動產_原始值,個人-購置動產_年增率(%),個人-企業投資_原始值,個人-企業投資_年增率(%),個人-週轉金_原始值,個人-週轉金_年增率(%)
2005M02,"14,913,350",9.36,"5,159,332",11.58,"1,022,842",11.54,"249,174",14.45,"8,482,002",7.67,"5,906,566",5.17,"792,086",7.95,"645,812",6.71,"227,510",16.93,"4,241,158",3.88,"19,631",-2.81,"1,275",-5.90,"1,896",-50.71,900,76.13,"15,560",7.41,"6,561",-1.93,625,-5.73,205,-26.79,216,5.88,"5,515",-0.51,"2,685,222",5.31,"303,459",-1.08,"396,145",9.13,"60,379",-5.98,"1,925,239",6.02,"283,352",21.20,"23,457",-26.18,"99,937",-4.28,"19,183",-24.59,"140,775",95.06,-,-,-,-,-,-,-,-,-,-,"381,762",9.87,"64,618",30.30,"4,297",-1.31,"9,421",23.65,"303,426",6.13,"874,199",9.02,"114,458",8.75,"28,687",24.71,"10,640",-7.48,"720,414",8.81,"61,709",5.62,"20,309",5.19,"1,599",9.00,"6,235",20.83,"33,566",3.31,"502,962",12.43,"54,884",0.26,"78,472",16.79,"85,131",71.31,"284,475",3.17,-,-,-,-,-,-,-,-,-,-,"389,605",-21.22,"7,149",28.97,"10,099",-15.10,"12,224",2.65,"360,133",-22.59,"369,170",10.16,"148,882",37.02,"1,126",31.08,"12,251",34.27,"206,911",-4.42,"332,393",3.60,"52,970",5.78,"23,349",-6.19,"10,930",18.83,"245,144",3.57,"1,989,082",-3.23,"157,430",-33.61,"155,479",-13.83,723,69.72,"1,675,450",2.31,"121,204",33.21,"17,019",-5.11,"3,656",48.44,420,-27.46,"100,109",43.00,"6,896,498",17.41,"4,192,797",15.35,"217,895",68.97,"20,521",-7.30,"2,465,285",18.09
2005M03,"15,130,497",10.07,"5,237,234",11.88,"1,047,581",12.52,"252,941",18.46,"8,592,741",8.48,"5,991,874",5.82,"806,741",8.99,"675,403",9.01,"231,074",21.83,"4,278,656",4.04,"19,782",-6.32,"1,278",-6.65,"1,843",-51.26,905,17.23,"15,756",3.69,"6,456",-3.73,614,-7.11,214,-17.37,215,6.97,"5,413",-3.08,"2,717,775",5.78,"309,992",0.19,"423,856",12.50,"65,348",9.35,"1,918,579",5.22,"277,882",17.74,"23,154",-25.58,"97,172",-2.20,"18,774",-23.78,"138,782",71.54,-,-,-,-,-,-,-,-,-,-,"390,217",9.58,"66,603",29.01,"4,270",-1.77,"9,784",13.24,"309,560",6.20,"876,648",8.44,"115,640",9.69,"27,051",20.25,"11,383",0.52,"722,574",7.98,"63,110",6.34,"20,970",9.81,"1,745",3.19,"6,228",11.97,"34,167",3.53,"512,030",15.99,"54,680",0.20,"82,153",12.39,"84,205",69.98,"290,992",10.12,-,-,-,-,-,-,-,-,-,-,"407,984",-19.93,"7,422",35.39,"12,619",14.26,"11,638",-6.51,"376,305",-21.70,"373,576",11.62,"151,370",36.69,"1,120",-17.53,"12,042",34.94,"209,044",-2.17,"346,414",8.45,"55,018",8.53,"23,360",-8.09,"10,552",34.25,"257,484",9.35,"2,024,589",-0.23,"161,160",-34.05,"148,936",-14.33,708,-15.01,"1,713,785",6.44,"121,256",32.53,"16,682",-5.26,"3,572",-17.07,408,-28.30,"100,594",45.77,"6,992,778",17.26,"4,252,651",15.60,"219,670",64.88,"20,751",-7.63,"2,499,706",17.40
2005M04,"15,108,676",8.76,"5,267,446",11.18,"1,050,875",10.97,"251,665",17.83,"8,538,690",6.83,"5,956,953",4.20,"811,547",9.32,"680,356",7.95,"228,843",20.42,"4,236,207",1.97,"20,042",2.09,"1,330",-14.85,"2,010",-1.86,899,17.06,"15,803",3.61,"6,538",5.21,737,11.84,408,65.18,214,8.63,"5,179",1.33,"2,697,448",3.41,"309,808",0.91,"423,949",11.04,"64,872",9.09,"1,898,819",2.08,"280,679",22.36,"23,088",-25.60,"97,027",-2.86,"18,654",-24.85,"141,910",92.71,-,-,-,-,-,-,-,-,-,-,"391,024",9.46,"66,460",24.02,"4,217",-4.89,"10,136",8.20,"310,211",7.02,"875,418",5.58,"115,474",8.19,"27,105",0.34,"11,227",-3.16,"721,612",5.53,"63,016",5.16,"20,913",8.57,"1,737",1.46,"6,209",16.34,"34,157",1.62,"515,987",16.32,"54,886",1.40,"87,589",16.81,"84,213",70.64,"289,299",9.12,-,-,-,-,-,-,-,-,-,-,"392,060",-22.66,"7,425",17.95,"12,294",13.88,"11,203",-3.10,"361,138",-24.49,"374,817",12.46,"156,320",40.20,"1,057",-22.68,"11,942",26.08,"205,498",-2.58,"339,924",5.18,"55,106",8.94,"22,963",-11.58,"9,274",14.52,"252,581",5.89,"1,965,481",-2.39,"139,171",-43.05,"146,498",-14.54,"2,384",190.02,"1,677,428",5.03,"122,203",18.09,"16,715",-7.10,"3,621",-18.13,404,-40.06,"101,463",26.21,"7,064,039",16.62,"4,300,013",15.18,"220,400",56.44,"20,034",-9.13,"2,523,592",16.77
2005M05,"15,283,823",8.42,"5,332,085",11.11,"1,036,690",7.08,"252,488",19.83,"8,662,560",6.69,"6,050,759",4.05,"828,085",10.14,"693,493",8.90,"228,865",22.12,"4,300,316",1.44,"20,345",0.82,"1,390",-6.33,"1,919",-4.95,890,18.98,"16,146",1.37,"6,374",2.99,746,7.96,403,65.16,214,-8.94,"5,011",-0.16,"2,743,554",2.89,"309,913",1.99,"424,944",9.86,"65,224",11.86,"1,943,473",1.35,"296,930",22.30,"23,064",-28.38,"104,792",4.96,"18,616",-21.74,"150,458",73.02,-,-,-,-,-,-,-,-,-,-,"396,325",9.85,"68,621",24.06,"4,176",-4.24,"10,086",6.91,"313,442",7.46,"885,477",4.09,"117,427",8.30,"27,525",8.82,"9,859",-14.70,"730,666",3.58,"65,111",8.69,"21,415",9.69,"2,686",54.63,"6,287",23.01,"34,723",3.55,"530,756",16.33,"58,634",-0.44,"93,428",20.43,"87,733",87.24,"290,961",6.61,-,-,-,-,-,-,-,-,-,-,"381,283",-20.37,"7,619",20.25,"10,924",-6.61,"11,449",-13.79,"351,291",-21.50,"382,475",13.04,"163,133",44.30,"1,084",-21.73,"11,057",13.60,"207,201",-3.26,"342,129",2.22,"56,123",7.87,"21,612",-16.47,"7,450",-10.85,"256,944",3.42,"1,945,150",-2.93,"139,194",-36.59,"118,124",-29.66,"3,169",287.88,"1,684,663",4.27,"133,181",18.10,"16,959",-5.59,"3,353",-22.28,399,-40.54,"112,470",25.22,"7,154,733",16.05,"4,347,847",14.13,"221,720",39.37,"20,055",-8.02,"2,565,111",17.96
2005M06,"15,439,755",9.15,"5,400,609",11.57,"1,036,052",6.31,"252,413",17.98,"8,750,681",7.82,"6,180,567",5.67,"835,941",9.60,"703,798",11.02,"228,976",19.82,"4,411,852",3.54,"20,492",4.88,"1,383",-6.30,"1,909",-6.47,911,19.87,"16,289",6.74,"6,528",3.11,703,3.99,315,59.09,173,-25.11,"5,337",2.12,"2,767,856",3.94,"312,747",1.91,"428,474",11.07,"66,181",13.99,"1,960,454",2.52,"310,327",22.91,"23,002",-29.00,"113,158",15.49,"18,443",-23.56,"155,724",58.93,-,-,-,-,-,-,-,-,-,-,"402,552",10.06,"69,755",22.09,"4,250",12.05,"10,347",6.44,"318,200",7.83,"910,023",5.28,"118,559",8.49,"27,591",0.90,"9,614",-21.85,"754,259",5.42,"65,678",9.68,"21,226",12.11,"2,668",54.13,"6,312",22.73,"35,472",4.11,"538,533",14.61,"58,582",-4.34,"91,056",19.66,"87,657",80.00,"301,238",6.12,-,-,-,-,-,-,-,-,-,-,"425,308",-9.37,"7,643",16.79,"11,843",4.79,"11,262",-15.69,"394,560",-9.94,"387,454",13.27,"165,725",43.90,"1,079",-22.93,"10,619",5.84,"210,031",-2.53,"345,816",2.87,"56,616",6.76,"21,455",-18.38,"7,457",-13.90,"260,288",4.88,"1,883,292",-0.79,"140,969",-30.94,"105,657",-37.08,"3,113",285.75,"1,633,553",7.09,"128,849",5.63,"16,078",-10.22,"3,082",-30.57,396,-20.80,"109,293",10.25,"7,247,047",15.47,"4,407,621",14.32,"223,515",32.86,"19,928",-7.54,"2,595,983",16.39
2005M07,"15,438,195",8.59,"5,450,879",12.05,"1,038,444",5.37,"265,117",23.85,"8,683,755",6.51,"6,154,094",5.38,"848,042",11.49,"707,757",11.86,"235,713",22.85,"4,362,582",2.53,"19,798",5.45,"1,236",-7.62,"1,810",-11.10,896,24.79,"15,856",7.99,"6,655",6.57,738,12.33,313,65.61,174,-23.68,"5,430",5.01,"2,755,328",3.49,"312,673",4.05,"426,657",11.02,"68,723",19.75,"1,947,275",1.41,"318,390",18.48,"22,745",-29.67,"123,519",26.04,"18,126",-24.74,"154,000",34.74,-,-,-,-,-,-,-,-,-,-,"398,543",9.07,"70,750",23.59,"4,208",6.26,"10,704",12.34,"312,881",6.18,"905,121",4.90,"118,756",9.52,"27,413",1.82,"10,709",-12.89,"748,243",4.62,"65,766",10.56,"21,665",15.97,"2,240",29.55,"6,009",15.51,"35,852",5.85,"533,120",14.83,"60,752",-2.20,"88,863",15.16,"90,808",76.50,"292,697",7.00,-,-,-,-,-,-,-,-,-,-,"416,372",-7.59,"7,162",1.73,"11,958",4.03,"11,483",-10.76,"385,769",-7.97,"390,755",13.46,"171,527",43.34,"1,075",-17.94,"10,338",5.06,"207,815",-2.70,"344,246",2.15,"60,038",14.15,"19,701",-22.97,"7,743",-6.33,"256,764",2.47,"1,855,966",-2.29,"143,285",-22.99,"105,649",-37.09,"8,129",921.23,"1,598,903",3.51,"125,830",-3.95,"13,262",-25.76,"3,242",-26.49,490,-4.11,"108,836",0.56,"7,302,305",15.07,"4,446,290",14.01,"221,796",22.90,"20,785",-0.54,"2,613,434",16.42
2005M08,"15,498,318",8.66,"5,520,506",12.45,"1,031,213",4.38,"265,457",23.85,"8,681,142",6.49,"6,215,110",6.00,"863,725",11.19,"702,751",12.78,"241,255",25.14,"4,407,379",3.21,"19,754",6.10,"1,219",-7.79,"1,852",-7.35,908,25.41,"15,775",8.24,"6,466",3.13,710,4.26,304,55.90,184,-17.86,"5,268",1.90,"2,792,824",4.87,"315,938",3.54,"425,771",11.55,"72,221",25.26,"1,978,894",3.13,"327,288",22.86,"22,387",-30.57,"119,325",26.02,"17,960",-24.87,"167,616",45.05,-,-,-,-,-,-,-,-,-,-,"394,184",6.92,"70,530",20.45,"4,343",11.33,"10,369",2.17,"308,942",4.34,"910,979",3.22,"120,085",9.62,"27,259",-0.08,"10,901",-10.82,"752,734",2.62,"66,366",10.67,"22,872",21.23,"2,283",30.53,"6,091",12.40,"35,120",3.50,"534,946",13.77,"60,685",-2.93,"89,035",19.56,"90,617",76.78,"294,609",4.49,-,-,-,-,-,-,-,-,-,-,"408,523",-7.12,"9,217",11.17,"13,582",16.38,"13,451",11.34,"372,273",-8.71,"413,123",17.19,"180,037",40.48,"1,115",-10.94,"10,262",-5.79,"221,709",4.47,"340,657",1.75,"60,045",16.57,"17,882",-26.24,"8,291",0.42,"254,439",1.45,"1,827,011",-1.63,"143,192",-18.88,"105,630",-37.09,"3,104",294.91,"1,575,085",4.17,"105,289",-6.40,"12,843",-27.85,"3,261",-25.70,487,-3.94,"88,698",-1.22,"7,350,908",14.31,"4,500,746",14.28,"219,571",14.09,"20,611",1.73,"2,609,980",14.49
2005M09,"15,693,025",9.48,"5,556,543",12.27,"1,014,026",2.71,"280,513",28.87,"8,841,943",8.08,"6,363,550",8.26,"871,651",10.74,"700,383",11.64,"257,865",31.95,"4,533,651",6.22,"20,120",5.55,"1,218",-8.21,"1,803",-7.40,909,28.21,"16,190",7.37,"6,523",-3.86,680,-2.44,310,60.62,187,-15.38,"5,346",-5.78,"2,827,176",6.16,"317,680",2.72,"427,570",10.66,"75,621",27.37,"2,006,305",5.14,"333,135",25.39,"22,312",-30.08,"115,543",26.93,"18,475",-19.68,"176,805",47.67,-,-,-,-,-,-,-,-,-,-,"399,810",7.57,"71,696",22.58,"4,634",12.45,"10,643",3.78,"312,837",4.69,"922,844",3.96,"120,352",9.35,"26,773",-3.12,"12,580",2.95,"763,139",3.43,"67,020",11.26,"23,352",21.56,"2,375",37.76,"6,057",11.51,"35,236",4.04,"534,927",12.02,"61,268",-3.94,"88,643",17.38,"98,109",83.72,"286,907",0.74,-,-,-,-,-,-,-,-,-,-,"491,349",14.66,"9,078",23.59,"13,266",-0.89,"13,179",8.51,"455,826",15.21,"415,871",16.10,"183,505",39.49,"1,257",11.93,"13,074",24.50,"218,035",1.41,"344,775",1.62,"60,510",13.20,"18,209",-25.07,"9,031",10.48,"257,025",1.46,"1,807,584",-1.10,"144,628",-14.07,"90,974",-43.61,898,15.72,"1,571,084",4.94,"113,237",-3.90,"12,923",-28.20,"3,212",-14.85,"1,121",122.86,"95,981",0.45,"7,408,654",13.78,"4,527,341",13.88,"219,457",12.68,"20,629",-1.56,"2,641,227",13.85
2005M10,"15,631,581",8.72,"5,608,733",12.06,"1,012,041",2.42,"284,016",31.07,"8,726,791",6.84,"6,337,990",8.37,"871,030",10.59,"702,195",12.40,"261,039",34.04,"4,503,726",6.19,"20,264",4.14,"1,209",-6.64,"1,790",-8.77,890,11.39,"16,375",6.31,"6,443",-4.53,669,1.67,301,59.26,229,3.15,"5,244",-7.68,"2,837,411",6.86,"315,754",2.99,"428,356",11.22,"76,265",31.46,"2,017,036",5.85,"331,801",26.23,"21,289",-28.21,"118,053",32.61,"17,722",-15.10,"174,737",41.72,-,-,-,-,-,-,-,-,-,-,"405,368",7.78,"72,553",24.95,"4,605",12.23,"10,632",3.94,"317,578",4.57,"924,815",5.19,"119,042",7.04,"27,169",-1.87,"11,930",4.09,"766,674",5.19,"67,436",9.77,"23,679",15.05,"2,401",39.76,"6,025",9.05,"35,331",5.12,"536,453",10.59,"62,886",-2.44,"87,388",14.18,"100,275",78.03,"285,904",-0.65,-,-,-,-,-,-,-,-,-,-,"442,752",9.01,"9,027",33.83,"13,356",2.16,"13,478",15.50,"406,891",8.60,"422,797",17.83,"186,734",39.13,"1,312",33.33,"14,706",30.06,"220,045",3.64,"342,450",1.54,"58,188",7.44,"17,464",-28.11,"8,887",6.87,"257,911",2.97,"1,720,223",-5.97,"143,759",-19.47,"89,643",-43.57,892,17.37,"1,485,929",-0.36,"113,358",-5.32,"12,759",-27.46,"3,103",-16.90,"1,096",156.07,"96,400",-1.61,"7,460,010",13.37,"4,581,185",13.92,"217,100",8.09,"20,989",1.11,"2,640,736",12.97
2005M11,"15,778,699",8.02,"5,662,875",12.97,"1,020,915",1.47,"288,427",28.31,"8,806,482",5.30,"6,401,409",8.49,"875,813",13.15,"714,605",11.27,"263,327",29.64,"4,547,664",6.23,"20,297",5.91,"1,370",1.03,"1,701",-13.13,892,11.22,"16,334",8.54,"6,586",-1.26,658,-0.60,307,52.74,219,-0.45,"5,402",-3.31,"2,843,667",5.59,"314,525",4.53,"428,781",7.96,"77,217",31.29,"2,023,144",4.49,"338,824",31.95,"21,172",-17.17,"129,448",38.56,"17,741",-14.99,"170,463",45.79,-,-,-,-,-,-,-,-,-,-,"408,513",6.27,"73,029",18.44,"4,582",4.28,"10,483",-1.92,"320,419",4.14,"927,760",5.76,"119,191",6.85,"26,947",-4.55,"11,906",4.26,"769,716",6.02,"67,775",10.51,"23,853",12.79,"2,333",40.54,"6,010",8.96,"35,579",7.80,"545,027",9.89,"64,357",-3.42,"89,658",15.73,"101,763",63.74,"289,249",-0.16,-,-,-,-,-,-,-,-,-,-,"461,265",14.27,"9,193",33.87,"12,394",-3.10,"12,989",4.77,"426,689",14.82,"435,109",18.07,"190,160",53.46,"1,373",36.89,"15,123",29.51,"228,453",-1.50,"346,586",3.91,"58,305",8.38,"17,081",-28.58,"8,984",4.81,"262,216",6.05,"1,742,910",-8.35,"142,049",-8.75,"88,473",-43.07,"3,386",351.47,"1,509,002",-5.09,"121,966",-5.17,"12,893",-26.78,"3,066",-18.35,"1,096",160.33,"104,911",-1.80,"7,512,414",12.52,"4,632,120",13.94,"214,771",4.87,"20,618",0.56,"2,644,905",10.87
