期間,經常帳,A. 商品,貸方,一般商品：出口 f.o.b,加工處理的商品：出口 f.o.b.,修理的商品,港口商品,非貨幣性黃金,借方,一般商品：進口 f.o.b.,加工處理的商品：進口 f.o.b.,修理的商品,港口商品,非貨幣性黃金,B. 服務,貸方總計,借方總計,"運輸, 貸方",客運,貨運,其他,"海運, 客運","海運, 貨運","海運, 其他","空運, 客運","空運, 貨運","空運, 其他","其他運輸, 客運","其他運輸, 貨運","其他運輸, 其他","運輸, 借方",客運,貨運,其他,"海運, 客運","海運, 貨運","海運, 其他","空運, 客運","空運, 貨運","空運, 其他","其他運輸, 客運","其他運輸, 貨運","其他運輸, 其他","旅行, 貸方",商務,個人,"旅行, 借方",商務,個人,"其他服務, 貸方",通訊,營建,保險,金融,電腦與資訊,專利權、商標等使用費,其他事務服務,個人、文化與休閒服務,不包括在其他項目的政府服務,"其他服務, 借方",通訊,營建,保險,金融,電腦與資訊,專利權、商標等使用費,其他事務服務,個人、文化與休閒服務,不包括在其他項目的政府服務,C. 所得,貸方總計,借方總計,"薪資, 貸方","薪資, 借方","投資所得, 貸方",直接投資,股利及已分配分支機構利潤,盈餘轉增資及未分配分支機構利潤,債權所得(利息),證券投資,股權所得(股利,債券與票券,貨幣市場工具,其他投資,"投資所得, 借方",直接投資,股利及已分配分支機構利潤,盈餘轉增資及未分配分支機構利潤.,債權所得(利息),證券投資,股權所得(股利),債券與票券.,貨幣市場工具,其他投資,D. 經常移轉,貸方,政府,其他部門,工作者的匯款,其他移轉,借方,政府,其他部門,工作者的匯款,其他移轉,資本帳與金融帳,資本帳,貸方總計,借方總計,"資本移轉, 貸方",政府,債務的免除,其他,其他部門,移民移轉,債務的免除,其他,"資本移轉, 借方",政府,債務的免除,其他,其他部門,移民移轉,債務的免除,其他,"非生產性、非金融性資產的取得與處理, 貸方","非生產性、非金融性資產的取得與處理, 借方",金融帳,A.直接投資,對外直接投資,股本投資,再投資收益,其他資本,來台直接投資,股本投資,再投資收益,其他資本,B.證券投資,資產,股權證券,貨幣當局,政府,銀行,其他部門,債權證券,債券與票券,貨幣當局,政府,銀行,其他部門,貨幣市場工具,貨幣當局,政府,銀行,其他部門,負債,股權證券,銀行,其他部門,債權證券,債券與票券,貨幣當局,政府,銀行,其他部門,貨幣市場工具,貨幣當局,政府,銀行,其他部門,C.衍生性金融商品,貨幣當局,政府,銀行,其他部門,資產,貨幣當局,政府,銀行,其他部門,負債,貨幣當局,政府,銀行,其他部門,D.其他投資,資產,貿易信用,政府：長期,政府：短期,其他部門：長期,其他部門：短期,貸款,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,現金與存款,貨幣當局,政府,銀行,其他部門,其他資產…,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,負債,貿易信用,政府：長期,政府：短期,其他部門：長期,其他部門：短期,借款,基金信用的使用及自基金的借款,貨幣當局：其他長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,現金與存款,貨幣當局,政府,銀行,其他部門,其他負債,貨幣當局：長期,貨幣當局：短期,政府：長期,政府：短期,銀行：長期,銀行：短期,其他部門：長期,其他部門：短期,E.準備資產,貨幣用黃金,特別提款權,在基金的準備部位,外匯,其他債權,誤差與遺漏淨額
1991Q3,"2,727","4,006","20,336","20,259",...,2,75,-,"-16,330","-15,980",...,-,-112,-238,"-2,564","2,203","-4,767",665,55,548,62,...,494,44,55,54,18,...,...,...,"-1,161",-282,-565,-314,...,-489,-271,-282,-76,-43,...,...,...,554,128,426,"-1,689",-330,"-1,359",984,93,31,49,...,...,51,744,...,16,"-1,917",-82,-77,-88,-64,-5,-235,"-1,014",-17,-335,"1,245","1,835",-590,34,-32,"1,801",21,...,...,...,...,...,...,...,"1,780",-558,-228,...,...,...,-,...,...,...,-330,40,446,...,446,...,446,-406,-2,-404,...,-404,"-2,974",-128,...,-128,...,...,...,...,...,...,...,...,-128,...,...,...,-128,-128,...,...,...,...,"-2,846",-146,-536,-489,-,-47,390,262,108,20,145,-169,-114,...,-,...,...,-55,...,...,-,...,...,...,...,-,...,...,314,250,...,...,64,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,-476,"-1,495",-145,-,-,-5,-140,77,...,...,-,...,...,...,...,77,-441,...,-,...,-441,-986,...,...,-,...,...,-125,-550,-311,"1,019",245,-,-,-3,248,-273,-,...,...,-7,...,16,...,-60,-222,-,...,-,...,...,"1,047",...,...,-,-,...,864,13,170,"-2,369",-,-,-,"-2,369",...,247
1991Q4,"4,292","4,811","19,960","19,869",...,10,81,-,"-15,149","-14,637",...,-,-124,-388,"-2,017","2,244","-4,261",769,70,631,68,...,564,50,70,67,18,...,...,...,"-1,107",-217,-559,-331,...,-436,-295,-217,-123,-36,...,...,...,513,122,391,"-1,365",-356,"-1,009",962,101,12,66,...,...,63,694,...,26,"-1,789",-88,-87,-139,-4,-7,-209,"-1,071",-24,-160,"1,478","1,996",-518,32,-20,"1,964",31,...,...,...,...,...,...,...,"1,933",-498,-109,...,...,...,-,...,...,...,-389,20,478,...,478,...,478,-458,-16,-442,...,-442,"-3,887",-133,...,-133,...,...,...,...,...,...,...,...,-133,...,...,...,-133,-133,...,...,...,...,"-3,754",-265,-542,-520,-,-22,277,227,30,20,8,-231,-179,...,-,...,...,-52,...,...,-,...,...,...,...,-,...,...,239,160,...,...,79,...,...,...,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,...,...,-,...,...,71,"-2,562",-144,-,-,-3,-141,92,...,...,-1,...,...,...,...,93,-718,...,-,...,-718,"-1,792",...,...,-,...,...,-721,-711,-360,"2,633","1,000",-,-,-24,"1,024",-332,-,...,...,-12,...,-6,...,-61,-253,-,...,-,...,...,"1,965",...,...,-,-,...,"1,777",11,177,"-3,568",-,-,-,"-3,568",...,-405
1992Q1,"2,479","3,259","19,206","19,123",...,5,78,-,"-15,947","-15,235",...,-,-92,-620,"-2,099","2,286","-4,385",580,68,441,71,...,380,51,68,61,20,...,...,...,"-1,008",-247,-564,-197,...,-480,-150,-247,-84,-47,...,...,...,617,148,469,"-1,645",-402,"-1,243","1,089",97,20,118,...,...,69,765,...,20,"-1,732",-87,-122,-140,-517,-8,-247,-424,-26,-161,"1,262","1,705",-443,35,-31,"1,670",63,...,...,...,...,...,...,...,"1,607",-412,-88,...,...,...,-,...,...,...,-324,57,496,...,496,...,496,-439,-17,-422,...,-422,"-2,663",-90,...,-90,...,...,...,...,...,...,...,...,-90,...,...,...,-90,-90,...,...,...,...,"-2,573",-168,-244,-216,-6,-22,76,19,26,31,20,-171,-118,...,-,...,...,-53,...,...,-,...,...,...,...,-,...,...,191,191,...,...,-,...,...,...,...,...,...,...,-,...,...,-2,...,-,...,-2,-,...,-,...,-,-2,...,-,...,-2,100,-279,182,-,-,-15,197,33,...,...,-15,...,...,...,...,48,-583,...,-,...,-583,89,...,...,-,...,...,"1,021",-652,-280,379,647,-,-,-10,657,-316,-,...,...,-8,...,177,...,-12,-473,-,...,-,...,...,48,...,...,-,-,...,-108,11,145,"-2,523",-,-,-,"-2,523",...,184
1992Q2,"1,860","3,452","20,975","20,870",...,4,101,-,"-17,523","-16,816",...,-,-108,-599,"-2,571","2,355","-4,926",723,67,557,99,...,486,80,67,71,19,...,...,...,"-1,146",-264,-592,-290,...,-477,-220,-264,-115,-70,...,...,...,613,169,444,"-1,879",-476,"-1,403","1,019",90,13,49,...,...,89,756,...,22,"-1,901",-86,-63,-72,-,-9,-293,"-1,132",-29,-217,964,"1,807",-843,34,-25,"1,773",44,...,...,...,...,...,...,...,"1,729",-818,-384,...,...,...,-,...,...,...,-434,15,537,...,537,...,537,-522,-29,-493,...,-493,"-1,795",-112,...,-112,...,...,...,...,...,...,...,...,-112,...,...,...,-112,-112,...,...,...,...,"-1,683",-271,-533,-507,-,-26,262,112,127,23,407,-156,-171,...,-,...,...,15,...,...,-,...,...,...,...,-,...,...,563,439,...,...,124,...,...,...,...,...,...,...,-,...,...,-1,...,-,...,-1,-,...,-,...,-,-1,...,-,...,-1,-141,"-1,391",-47,-,-,-62,15,60,...,...,-5,...,...,...,...,65,-718,...,-,...,-718,-686,...,...,-,...,...,409,-804,-291,"1,250",831,-,-,71,760,-323,-,...,...,-11,...,-6,...,-34,-272,-,...,-,...,...,742,...,...,-,-,...,548,12,182,"-1,677",-,-,-,"-1,677",...,-65
1992Q3,"1,531","2,975","20,849","20,748",...,2,99,-,"-17,874","-17,370",...,-,-124,-380,"-2,630","2,538","-5,168",683,52,547,84,...,481,64,52,66,20,...,...,...,"-1,227",-316,-581,-330,...,-478,-250,-316,-103,-80,...,...,...,645,169,476,"-2,045",-476,"-1,569","1,210",116,9,55,...,...,80,932,...,18,"-1,896",-103,-62,-106,-,-9,-250,"-1,103",-31,-232,"1,127","1,802",-675,33,-26,"1,769",25,...,...,...,...,...,...,...,"1,744",-649,-323,...,...,...,-,...,...,...,-326,59,578,...,578,...,578,-519,-2,-517,...,-517,"-1,609",-100,...,-100,...,...,...,...,...,...,...,...,-100,...,...,...,-100,-100,...,...,...,...,"-1,509",-3,-391,-370,-,-21,388,229,155,4,24,-169,-204,...,-,...,...,35,...,...,-,...,...,...,...,-,...,...,193,91,...,...,102,...,...,...,...,...,...,...,-,...,...,37,...,-,...,37,38,...,-,...,38,-1,...,-,...,-1,"-1,184","-3,674",-921,-,-,-4,-917,104,...,...,-1,...,...,...,...,105,-239,...,-,...,-239,"-2,618",...,...,-,...,...,"-1,538",-739,-341,"2,490","1,136",-,-,-,"1,136",-247,-,...,...,-7,...,12,...,-10,-242,-,...,-,...,...,"1,601",...,...,-,-,...,"1,393",12,196,-383,-,-,-,-383,...,78
1992Q4,"2,680","3,032","21,103","20,980",...,2,121,-,"-18,071","-17,519",...,-,-137,-415,"-1,828","3,039","-4,867",742,58,623,61,...,548,41,58,75,20,...,...,...,"-1,230",-216,-661,-353,...,-153,-286,-216,-508,-67,...,...,...,574,164,410,"-1,710",-517,"-1,193","1,723",123,45,62,...,...,84,"1,391",...,18,"-1,927",-103,-64,-109,-,-11,-226,"-1,228",-39,-147,"1,446","2,153",-707,38,-37,"2,115",21,...,...,...,...,...,...,...,"2,094",-670,-153,...,...,...,-,...,...,...,-517,30,589,...,589,...,589,-559,-16,-543,...,-543,"-2,603",-91,...,-91,...,...,...,...,...,...,...,...,-91,...,...,...,-91,-91,...,...,...,...,"-2,512",-646,-799,-770,-,-29,153,96,56,1,-39,-241,-281,...,-,...,...,40,...,...,-,...,...,...,...,-,...,...,202,94,...,...,108,...,...,...,...,...,...,...,-,...,...,-2,...,-,...,-2,-,...,-,...,-,-2,...,-,...,-2,"-5,041","-1,715","-1,863",-,-,-10,"-1,853",94,...,...,-12,...,...,...,...,106,-556,...,-,...,-556,610,...,...,-,...,...,"1,916",-886,-420,"-3,326","-1,031",-,-,-4,"-1,027",-295,-,...,...,6,...,85,...,-231,-155,-,...,-,...,...,"-2,000",...,...,-,-,...,"-2,211",12,199,"3,216",-,-,-,"3,216",...,-77
1993Q1,"1,718","2,287","20,240","20,134",...,7,99,-,"-17,953","-17,207",...,-,-118,-628,"-1,723","3,122","-4,845",634,116,454,64,...,325,47,116,129,17,...,...,...,"-1,200",-231,-682,-287,...,-607,-223,-231,-75,-64,...,...,...,691,191,500,"-1,764",-485,"-1,279","1,797",112,26,52,...,...,99,"1,490",...,18,"-1,881",-101,-65,-104,-,-11,-218,"-1,149",-36,-197,"1,335","1,780",-445,33,-33,"1,747",37,...,...,...,...,...,...,...,"1,710",-412,-137,...,...,...,-,...,...,...,-275,-181,415,...,415,...,415,-596,-11,-585,-13,-572,"-1,600",-76,...,-76,...,...,...,...,...,...,...,...,-76,...,...,...,-76,-76,...,...,...,...,"-1,524",-470,-689,-644,-,-45,219,148,72,-1,-124,-253,-253,...,-,...,...,-,...,...,-,...,...,...,...,-,...,...,129,103,...,...,26,...,...,...,...,...,...,...,-,...,...,-4,...,-,...,-4,-,...,-,...,-,-4,...,-,...,-4,-681,"-3,911",-57,-,-,2,-59,107,...,...,-1,...,...,...,...,108,-326,...,-,...,-326,"-3,635",...,...,-,...,...,"-2,545",-679,-411,"3,230","1,200",-,-,-1,"1,201",-387,-,...,...,-6,...,54,...,4,-439,-,...,-,...,...,"2,417",...,...,-,-,...,"2,177",8,232,-245,-,-,-,-245,...,-118
1993Q2,"1,721","2,831","22,133","22,018",...,4,111,-,"-19,302","-18,801",...,-,-146,-355,"-1,945","3,425","-5,370",815,113,615,87,...,220,69,113,395,18,...,...,...,"-1,347",-244,-736,-367,...,-653,-293,-244,-83,-74,...,...,...,697,197,500,"-1,930",-557,"-1,373","1,913",116,51,57,...,...,93,"1,574",...,22,"-2,093",-100,-124,-97,-,-10,-217,"-1,276",-35,-234,"1,039","1,740",-701,34,-31,"1,706",117,...,...,...,...,...,...,...,"1,589",-670,-331,...,...,...,-,...,...,...,-339,-204,424,...,424,...,424,-628,-24,-604,-18,-586,"-1,303",-93,...,-93,...,...,...,...,...,...,...,...,-93,...,...,...,-93,-93,...,...,...,...,"-1,210",-882,-933,-838,-57,-38,51,-37,69,19,-17,-226,-218,...,-,...,...,-8,...,...,-,...,...,...,...,-,...,...,209,104,...,...,105,...,...,...,...,...,...,...,-,...,...,-2,...,-,...,-2,-,...,-,...,-,-2,...,-,...,-2,346,"1,471",-159,-,-,4,-163,197,...,...,5,...,...,...,...,192,-355,...,-,...,-355,"1,788",...,...,-,...,...,"3,118",-768,-562,"-1,125",860,-,-,-87,947,-331,-,...,...,-6,...,-48,...,-21,-256,-,...,-,...,...,"-1,654",...,...,-,-,...,"-1,840",10,176,-655,-,-,-,-655,...,-418
1993Q3,"1,594","3,146","21,507","21,396",...,5,106,-,"-18,361","-18,007",...,-,-142,-212,"-2,159","3,428","-5,587",826,116,620,90,...,432,71,116,188,19,...,...,...,"-1,323",-288,-698,-337,...,-621,-274,-288,-77,-63,...,...,...,823,227,596,"-2,153",-573,"-1,580","1,779",114,30,62,...,...,65,"1,486",...,22,"-2,111",-111,-103,-121,-,-10,-207,"-1,361",-35,-163,858,"1,588",-730,34,-33,"1,554",39,...,...,...,...,...,...,...,"1,515",-697,-332,...,...,...,-,...,...,...,-365,-251,451,...,451,...,451,-702,-5,-697,-42,-655,"-1,846",-96,...,-96,...,...,...,...,...,...,...,...,-96,...,...,...,-96,-96,...,...,...,...,"-1,750",-3,-378,-338,-8,-32,375,229,119,27,101,-285,-231,...,-,...,...,-54,...,...,-,...,...,...,...,-,...,...,386,341,...,...,45,...,...,...,...,...,...,...,-,...,...,-3,...,-,...,-3,-,...,-,...,-,-3,...,-,...,-3,"-2,217","-3,623",-652,-,-,41,-693,132,...,...,1,...,...,...,...,131,16,...,-,...,16,"-3,119",...,...,-,...,...,"-2,087",-614,-418,"1,406",102,-,-,-10,112,-406,-,...,...,-5,...,-24,...,22,-399,-,...,-,...,...,"1,710",...,...,-,-,...,"1,645",8,57,372,-,-,-,372,...,252
1993Q4,"2,009","3,186","22,093","21,976",...,3,114,-,"-18,907","-18,399",...,-,-180,-328,"-2,069","3,339","-5,408",871,132,646,93,...,439,72,132,207,21,...,...,...,"-1,397",-255,-695,-447,...,-619,-376,-255,-76,-71,...,...,...,731,218,513,"-1,738",-552,"-1,186","1,737",115,16,232,...,...,75,"1,276",...,23,"-2,273",-107,-47,-220,-,-11,-218,"-1,486",-37,-147,"1,090","1,694",-604,27,-45,"1,667",32,...,...,...,...,...,...,...,"1,635",-559,-128,...,...,...,-,...,...,...,-431,-198,541,...,541,...,541,-739,-13,-726,-81,-645,"-1,749",-63,...,-63,...,...,...,...,...,...,...,...,-63,...,...,...,-63,-63,...,...,...,...,"-1,686",-339,-611,-566,-,-45,272,213,23,36,"1,117",-558,-367,...,-,...,...,-191,...,...,-,...,...,...,...,-,...,...,"1,675","1,633",...,...,42,...,...,...,...,...,...,...,-,...,...,-1,...,-,...,-1,-,...,-,...,-,-1,...,-,...,-1,"-1,450","-1,185","-1,068",-,-,5,"-1,073",204,...,...,-6,...,...,...,...,210,149,...,-,...,149,-470,...,...,-,...,...,405,-499,-376,-265,466,-,-,41,425,-154,-,...,...,-6,...,-15,...,-35,-98,-,...,-,...,...,-577,...,...,-,-,...,-640,12,51,"-1,013",-,-,-,"-1,013",...,-260
