期間,存款--收受部門--存款貨幣機構,存款--存款部門--其他金融機構,融通--授信部門--存款貨幣機構,融通--受信部門--其他金融機構
1982,"76,348","76,348","9,941","9,941"
1983,"148,147","148,147","11,299","11,299"
1984,"220,415","220,415","16,244","16,244"
1985,"297,974","297,974","43,171","43,171"
1986,"339,476","339,476","36,998","36,998"
