期間,消費者貸款--小計_原始值,消費者貸款--小計_年增率(%),消費者貸款--購置住宅貸款_原始值,消費者貸款--購置住宅貸款_年增率(%),消費者貸款--房屋修繕貸款_原始值,消費者貸款--房屋修繕貸款_年增率(%),消費者貸款--汽車貸款_原始值,消費者貸款--汽車貸款_年增率(%),消費者貸款--機關團體職工福利貸款_原始值,消費者貸款--機關團體職工福利貸款_年增率(%),消費者貸款--其他個人消費性貸款_原始值,消費者貸款--其他個人消費性貸款_年增率(%),消費者貸款--信用卡循環信用餘額_原始值,消費者貸款--信用卡循環信用餘額_年增率(%),建築貸款_原始值,建築貸款_年增率(%)
2001M05,"4,288,667",4.79,"2,654,500",3.95,"812,439",-0.24,"55,386",15.36,"71,183",3.16,"497,392",10.77,"197,767",24.93,"527,598",-8.57
2001M06,"4,291,480",4.26,"2,655,117",3.68,"805,534",-1.95,"56,068",16.14,"71,375",-1.14,"502,272",11.75,"201,114",22.66,"518,236",-11.24
2001M07,"4,288,701",3.40,"2,646,151",2.81,"798,222",-3.31,"56,897",17.11,"70,976",-2.67,"505,220",9.61,"211,235",27.29,"512,067",-12.06
2001M08,"4,290,638",3.34,"2,642,488",2.72,"791,152",-4.30,"58,192",20.01,"69,994",-2.23,"506,522",9.38,"222,290",31.20,"503,116",-13.11
2001M09,"4,276,447",2.24,"2,634,448",1.83,"784,069",-5.49,"58,680",19.84,"69,700",-5.57,"506,830",7.98,"222,720",28.15,"500,749",-12.85
2001M10,"4,250,899",0.43,"2,618,621",0.10,"787,874",-5.58,"60,226",19.47,"69,247",-9.12,"490,424",2.81,"224,507",25.59,"515,797",-9.42
2001M11,"4,265,385",-0.07,"2,633,945",-0.04,"781,030",-7.70,"61,969",21.26,"69,345",-9.13,"491,478",2.64,"227,618",25.77,"512,432",-9.32
2001M12,"4,270,124",-0.61,"2,623,276",-1.07,"780,717",-8.11,"63,520",23.08,"73,354",-4.41,"495,968",3.22,"233,289",25.24,"507,837",-9.07
2002M01,"4,283,820",-0.40,"2,638,405",-0.65,"771,579",-8.44,"64,742",21.91,"74,733",-1.42,"496,188",2.71,"238,173",25.00,"486,733",-11.29
2002M02,"4,262,433",-0.75,"2,637,723",-0.64,"753,133",-9.95,"63,939",19.55,"74,650",0.08,"485,922",0.68,"247,066",28.02,"484,067",-10.98
2002M03,"4,246,812",-1.00,"2,636,522",-0.64,"745,631",-10.02,"63,693",18.79,"75,253",2.41,"485,126",-0.17,"240,587",23.73,"474,114",-12.77
2002M04,"4,264,862",-0.51,"2,650,578",-0.24,"739,648",-9.79,"63,341",16.90,"78,121",8.31,"487,024",-0.72,"246,150",27.58,"462,650",-12.66
2002M05,"4,295,094",0.15,"2,667,613",0.49,"735,780",-9.44,"64,013",15.58,"81,024",13.82,"495,236",-0.43,"251,428",27.13,"450,108",-14.69
2002M06,"4,309,584",0.42,"2,682,307",1.02,"728,802",-9.53,"64,918",15.78,"81,544",14.25,"492,942",-1.86,"259,071",28.82,"452,131",-12.76
2002M07,"4,325,535",0.86,"2,689,687",1.65,"721,703",-9.59,"65,658",15.40,"83,048",17.01,"500,396",-0.95,"265,043",25.47,"440,796",-13.92
2002M08,"4,334,613",1.02,"2,697,379",2.08,"713,507",-9.81,"65,654",12.82,"86,729",23.91,"501,140",-1.06,"270,204",21.55,"434,392",-13.66
2002M09,"4,348,220",1.68,"2,706,505",2.74,"711,140",-9.30,"65,298",11.28,"86,244",23.74,"499,036",-1.54,"279,997",25.72,"430,885",-13.95
2002M10,"4,369,860",2.80,"2,721,496",3.93,"708,036",-10.13,"65,904",9.43,"87,918",26.96,"502,768",2.52,"283,738",26.38,"426,148",-17.38
2002M11,"4,391,274",2.95,"2,741,355",4.08,"701,574",-10.17,"67,019",8.15,"88,032",26.95,"507,690",3.30,"285,604",25.48,"416,906",-18.64
2002M12,"4,442,484",4.04,"2,768,188",5.52,"695,283",-10.94,"69,299",9.10,"90,908",23.93,"527,988",6.46,"290,818",24.66,"418,809",-17.53
2003M01,"4,422,361",3.23,"2,771,963",5.06,"703,717",-8.80,"71,690",10.73,"90,895",21.63,"485,895",-2.07,"298,201",25.20,"406,553",-16.47
2003M02,"4,422,806",3.76,"2,769,515",5.00,"699,357",-7.14,"70,930",10.93,"91,374",22.40,"487,520",0.33,"304,110",23.09,"401,955",-16.96
2003M03,"4,441,018",4.57,"2,780,267",5.45,"695,643",-6.70,"71,055",11.56,"97,539",29.61,"495,567",2.15,"300,947",25.09,"400,426",-15.54
2003M04,"4,485,949",5.18,"2,794,538",5.43,"694,369",-6.12,"71,689",13.18,"116,348",48.93,"500,574",2.78,"308,431",25.30,"400,160",-13.51
2003M05,"4,534,103",5.56,"2,811,011",5.38,"694,165",-5.66,"72,061",12.57,"126,851",56.56,"514,562",3.90,"315,453",25.46,"389,828",-13.39
2003M06,"4,595,520",6.63,"2,835,738",5.72,"694,671",-4.68,"73,082",12.58,"135,311",65.94,"535,381",8.61,"321,337",24.03,"397,120",-12.17
2003M07,"4,654,571",7.61,"2,857,916",6.25,"705,516",-2.24,"74,491",13.45,"139,196",67.61,"548,980",9.71,"328,472",23.93,"395,690",-10.23
2003M08,"4,707,664",8.61,"2,879,683",6.76,"710,645",-0.40,"74,871",14.04,"147,049",69.55,"556,535",11.05,"338,881",25.42,"396,429",-8.74
2003M09,"4,768,921",9.68,"2,903,432",7.28,"710,352",-0.11,"75,834",16.14,"157,307",82.40,"568,351",13.89,"353,645",26.30,"399,657",-7.25
2003M10,"4,822,504",10.36,"2,927,819",7.58,"712,845",0.68,"76,888",16.67,"161,114",83.25,"584,240",16.20,"359,598",26.74,"399,961",-6.15
2003M11,"4,880,970",11.15,"2,979,364",8.68,"693,955",-1.09,"78,375",16.94,"163,564",85.80,"596,868",17.57,"368,844",29.15,"420,116",0.77
2003M12,"4,969,421",11.86,"3,038,881",9.78,"690,016",-0.76,"80,452",16.09,"172,455",89.70,"613,140",16.13,"374,477",28.77,"420,396",0.38
2004M01,"5,014,195",13.38,"3,071,398",10.80,"683,285",-2.90,"81,897",14.24,"171,256",88.41,"621,943",28.00,"384,416",28.91,"418,443",2.92
2004M02,"5,041,786",14.00,"3,093,510",11.70,"681,784",-2.51,"82,574",16.42,"172,196",88.45,"622,211",27.63,"389,511",28.08,"416,008",3.50
2004M03,"5,107,512",15.01,"3,127,725",12.50,"687,185",-1.22,"83,769",17.89,"175,202",79.62,"641,889",29.53,"391,742",30.17,"425,790",6.33
2004M04,"5,205,109",16.03,"3,180,954",13.83,"687,826",-0.94,"84,759",18.23,"178,249",53.20,"677,430",35.33,"395,891",28.36,"439,041",9.72
2004M05,"5,308,634",17.08,"3,224,569",14.71,"690,911",-0.47,"87,149",20.94,"180,553",42.33,"722,133",40.34,"403,319",27.85,"450,089",15.46
2004M06,"5,396,906",17.44,"3,263,001",15.07,"694,249",-0.06,"90,276",23.53,"181,445",34.09,"754,583",40.94,"413,352",28.64,"452,712",14.00
2004M07,"5,473,510",17.59,"3,295,179",15.30,"695,371",-1.44,"94,707",27.14,"184,059",32.23,"783,822",42.78,"420,372",27.98,"463,314",17.09
2004M08,"5,548,033",17.85,"3,322,618",15.38,"699,580",-1.56,"97,406",30.10,"183,203",24.59,"819,356",47.22,"425,870",25.67,"470,440",18.67
2004M09,"5,616,951",17.78,"3,351,580",15.44,"702,612",-1.09,"96,064",26.68,"181,892",15.63,"855,456",50.52,"429,347",21.41,"483,544",20.99
2004M10,"5,677,423",17.73,"3,393,476",15.90,"705,155",-1.08,"100,250",30.38,"181,559",12.69,"881,645",50.90,"415,338",15.50,"488,823",22.22
2004M11,"5,758,806",17.98,"3,430,332",15.14,"707,242",1.91,"104,007",32.70,"181,766",11.13,"913,647",53.07,"421,812",14.36,"503,808",19.92
2004M12,"5,861,529",17.95,"3,482,662",14.60,"710,373",2.95,"109,471",36.07,"181,936",5.50,"952,118",55.29,"424,969",13.48,"508,638",20.99
2005M01,"5,919,046",18.05,"3,539,074",15.23,"687,742",0.65,"116,368",42.09,"179,908",5.05,"965,616",55.26,"430,338",11.95,"515,047",23.09
2005M02,"5,937,054",17.76,"3,547,054",14.66,"686,797",0.74,"117,571",42.38,"177,277",2.95,"973,112",56.40,"435,243",11.74,"524,354",26.04
2005M03,"6,038,387",18.23,"3,594,975",14.94,"690,592",0.50,"120,507",43.86,"176,989",1.02,"1,009,722",57.30,"445,602",13.75,"536,192",25.93
2005M04,"6,134,715",17.86,"3,625,532",13.98,"707,080",2.80,"123,384",45.57,"175,627",-1.47,"1,055,660",55.83,"447,432",13.02,"545,037",24.14
2005M05,"6,209,473",16.97,"3,661,193",13.54,"710,039",2.77,"126,274",44.89,"174,046",-3.60,"1,093,612",51.44,"444,309",10.16,"560,097",24.44
2005M06,"6,285,133",16.46,"3,706,865",13.60,"712,554",2.64,"129,619",43.58,"172,918",-4.70,"1,115,760",47.86,"447,417",8.24,"578,177",27.71
2005M07,"6,338,986",15.81,"3,736,757",13.40,"716,702",3.07,"133,291",40.74,"171,252",-6.96,"1,126,808",43.76,"454,176",8.04,"581,430",25.49
