期間,垃圾產生量(公噸)-總計_原始值,垃圾產生量(公噸)-總計_年增率(%),垃圾產生量(公噸)-焚化_原始值,垃圾產生量(公噸)-焚化_年增率(%),垃圾產生量(公噸)-衛生掩埋_原始值,垃圾產生量(公噸)-衛生掩埋_年增率(%),垃圾產生量(公噸)-巨大垃圾回收再利用_原始值,垃圾產生量(公噸)-巨大垃圾回收再利用_年增率(%),垃圾產生量(公噸)-廚餘回收_原始值,垃圾產生量(公噸)-廚餘回收_年增率(%),垃圾產生量(公噸)-資源回收_原始值,垃圾產生量(公噸)-資源回收_年增率(%),垃圾產生量(公噸)-其他_原始值,垃圾產生量(公噸)-其他_年增率(%),平均每人每日垃圾產生量(公斤)_原始值,平均每人每日垃圾產生量(公斤)_年增率(%),平均每人每日垃圾清運量(公斤)_原始值,平均每人每日垃圾清運量(公斤)_年增率(%),垃圾妥善處理率(%)_原始值,垃圾妥善處理率(%)_年增率(%),垃圾回收率(%)-總計_原始值,垃圾回收率(%)-總計_年增率(%),垃圾回收率(%)-巨大垃圾回收再利用率_原始值,垃圾回收率(%)-巨大垃圾回收再利用率_年增率(%),垃圾回收率(%)-廚餘回收率_原始值,垃圾回收率(%)-廚餘回收率_年增率(%),垃圾回收率(%)-資源回收率_原始值,垃圾回收率(%)-資源回收率_年增率(%)
2001M01,"745,443",...,"295,355",...,"337,321",...,0,...,0,...,"53,257",...,"59,510",...,1.090,...,1.013,...,92.02,-,7.14,-,0.00,-,0.00,-,7.14,-
2001M02,"599,888",...,"248,283",...,"255,058",...,0,...,0,...,"47,071",...,"49,476",...,0.971,...,0.895,...,91.75,-,7.85,-,0.00,-,0.00,-,7.85,-
2001M03,"629,134",...,"271,344",...,"263,322",...,0,...,0,...,"44,979",...,"49,489",...,0.919,...,0.854,...,92.13,-,7.15,-,0.00,-,0.00,-,7.15,-
2001M04,"619,872",...,"279,304",...,"249,064",...,0,...,0,...,"43,784",...,"47,720",...,0.933,...,0.868,...,92.30,-,7.06,-,0.00,-,0.00,-,7.06,-
2001M05,"662,750",...,"326,336",...,"244,265",...,0,...,0,...,"47,404",...,"44,745",...,0.963,...,0.894,...,93.25,-,7.15,-,0.00,-,0.00,-,7.15,-
2001M06,"649,190",...,"326,309",...,"235,250",...,0,...,0,...,"47,371",...,"40,260",...,0.974,...,0.903,...,93.80,-,7.30,-,0.00,-,0.00,-,7.30,-
2001M07,"656,248",...,"356,180",...,"205,500",...,0,...,0,...,"49,689",...,"44,879",...,0.953,...,0.880,...,93.16,-,7.57,-,0.00,-,0.00,-,7.57,-
2001M08,"645,799",...,"345,400",...,"210,367",...,0,...,0,...,"52,028",...,"38,004",...,0.938,...,0.862,...,94.12,-,8.06,-,0.00,-,0.00,-,8.06,-
2001M09,"753,463",...,"362,212",...,"302,449",...,0,...,0,...,"48,267",...,"40,535",...,1.131,...,1.059,...,94.62,-,6.41,-,0.00,-,0.00,-,6.41,-
2001M10,"675,543",...,"315,929",...,"269,255",...,0,...,0,...,"52,789",...,"37,570",...,0.982,...,0.905,...,94.44,-,7.82,-,0.00,-,0.00,-,7.82,-
2001M11,"603,466",...,"285,575",...,"235,414",...,0,...,0,...,"48,597",...,"33,880",...,0.904,...,0.832,...,94.40,-,8.06,-,0.00,-,0.00,-,8.06,-
2001M12,"598,378",...,"324,664",...,"189,540",...,0,...,0,...,"49,096",...,"35,078",...,0.868,...,0.796,...,94.15,-,8.22,-,0.00,-,0.00,-,8.22,-
2002M01,"640,590",-14.07,"345,423",16.95,"197,032",-41.59,0,-,0,-,"66,769",25.37,"31,366",-47.29,0.928,-14.862,0.832,-17.868,95.19,-,10.51,-,0.00,-,0.00,-,10.51,-
2002M02,"640,420",6.76,"353,357",42.32,"197,185",-22.69,0,-,0,-,"64,793",37.65,"25,085",-49.30,1.026,5.664,0.922,3.017,96.15,-,10.19,-,0.00,-,0.00,-,10.19,-
2002M03,"611,691",-2.77,"341,310",25.78,"181,112",-31.22,0,-,0,-,"63,384",40.92,"25,885",-47.70,0.885,-3.700,0.793,-7.143,95.89,-,10.48,-,0.00,-,0.00,-,10.48,-
2002M04,"634,658",2.39,"363,248",30.05,"179,897",-27.77,0,-,0,-,"67,447",54.04,"24,066",-49.57,0.948,1.608,0.847,-2.419,96.26,-,10.68,-,0.00,-,0.00,-,10.68,-
2002M05,"661,994",-0.11,"380,665",16.65,"188,053",-23.01,0,-,0,-,"72,090",52.08,"21,186",-52.65,0.957,-0.623,0.852,-4.698,96.84,-,10.93,-,0.00,-,0.00,-,10.93,-
2002M06,"646,325",-0.44,"373,761",14.54,"174,986",-25.62,0,-,0,-,"69,405",46.51,"28,173",-30.02,0.968,-0.616,0.864,-4.319,95.68,-,10.78,-,0.00,-,0.00,-,10.78,-
2002M07,"664,639",1.28,"390,520",9.64,"169,793",-17.38,0,-,0,-,"77,751",56.48,"26,575",-40.79,0.967,1.469,0.854,-2.955,96.00,-,11.70,-,0.00,-,0.00,-,11.70,-
2002M08,"647,278",0.23,"382,647",10.78,"162,512",-22.75,0,-,0,-,"76,184",46.43,"25,935",-31.76,0.941,0.320,0.830,-3.712,96.01,-,11.79,-,0.00,-,0.00,-,11.79,-
2002M09,"623,979",-17.19,"359,563",-0.73,"164,280",-45.68,0,-,0,-,"78,228",62.07,"21,908",-45.95,0.939,-16.976,0.821,-22.474,96.52,-,12.57,-,0.00,-,0.00,-,12.57,-
2002M10,"636,860",-5.73,"343,218",8.64,"184,630",-31.43,0,-,0,-,"80,426",52.35,"28,586",-23.91,0.927,-5.601,0.810,-10.497,95.58,-,12.69,-,0.00,-,0.00,-,12.69,-
2002M11,"582,614",-3.46,"328,965",15.19,"155,399",-33.99,0,-,0,-,"79,103",62.77,"19,147",-43.49,0.875,-3.208,0.756,-9.135,96.74,-,13.60,-,0.00,-,0.00,-,13.60,-
2002M12,"610,910",2.09,"353,371",8.84,"161,497",-14.80,0,-,0,-,"82,739",68.52,"13,303",-62.08,0.887,2.189,0.767,-3.643,97.86,-,13.58,-,0.00,-,0.00,-,13.58,-
2003M01,"678,568",5.93,"397,700",15.13,"173,006",-12.19,0,-,"8,904",-,"84,135",26.01,"14,823",-52.74,0.980,5.603,0.846,1.683,97.82,-,13.71,-,0.00,-,1.31,-,12.40,-
2003M02,"532,079",-16.92,"316,461",-10.44,"122,256",-38.00,0,-,"10,089",-,"72,934",12.56,"10,339",-58.78,0.849,-17.251,0.716,-22.343,98.06,-,15.61,-,0.00,-,1.90,-,13.71,-
