期間,期中人口(人)_原始值,期中人口(人)_年增率(%),平均匯率(元/美元)_原始值,平均匯率(元/美元)_年增率(%),經濟成長(%)_原始值,經濟成長(%)_年增率(%),國內生產毛額(名目值，百萬元)_原始值,國內生產毛額(名目值，百萬元)_年增率(%),國內生產毛額(名目值，百萬美元)_原始值,國內生產毛額(名目值，百萬美元)_年增率(%),平均每人GDP(名目值，元)_原始值,平均每人GDP(名目值，元)_年增率(%),平均每人GDP(名目值，美元)_原始值,平均每人GDP(名目值，美元)_年增率(%),國民生產毛額(名目值，百萬元)_原始值,國民生產毛額(名目值，百萬元)_年增率(%),國民生產毛額(名目值，百萬美元)_原始值,國民生產毛額(名目值，百萬美元)_年增率(%),平均每人GNP(名目值，元)_原始值,平均每人GNP(名目值，元)_年增率(%),平均每人GNP(名目值，美元)_原始值,平均每人GNP(名目值，美元)_年增率(%),國民所得(名目值，百萬元)_原始值,國民所得(名目值，百萬元)_年增率(%),國民所得(名目值，百萬美元)_原始值,國民所得(名目值，百萬美元)_年增率(%),平均每人所得(名目值，元)_原始值,平均每人所得(名目值，元)_年增率(%),平均每人所得(名目值，美元)_原始值,平均每人所得(名目值，美元)_年增率(%)
1981,"18,029,982",1.84,36.79,-2.15,6.46,-,"1,810,829",19.14,"49,221",16.58,"100,434",16.99,"2,730",14.47,"1,801,176",18.67,"48,958",16.12,"99,899",16.52,"2,715",14.03,"1,628,368",18.85,"44,261",16.30,"90,314",16.71,"2,455",14.19
1982,"18,354,855",1.80,39.12,-5.96,3.97,-,"1,941,169",7.20,"49,621",0.81,"105,758",5.30,"2,703",-0.99,"1,940,487",7.73,"49,603",1.32,"105,721",5.83,"2,702",-0.48,"1,755,122",7.78,"44,865",1.36,"95,622",5.88,"2,444",-0.45
1983,"18,653,146",1.63,40.06,-2.35,8.32,-,"2,168,143",11.69,"54,122",9.07,"116,235",9.91,"2,902",7.36,"2,171,399",11.90,"54,204",9.28,"116,409",10.11,"2,906",7.55,"1,954,550",11.36,"48,791",8.75,"104,784",9.58,"2,616",7.04
1984,"18,929,866",1.48,39.62,1.11,9.32,-,"2,414,377",11.36,"60,938",12.59,"127,543",9.73,"3,219",10.92,"2,444,352",12.57,"61,695",13.82,"129,127",10.93,"3,259",12.15,"2,210,405",13.09,"55,790",14.34,"116,768",11.44,"2,947",12.65
1985,"19,191,510",1.38,39.86,-0.60,4.07,-,"2,517,129",4.26,"63,149",3.63,"131,158",2.83,"3,290",2.21,"2,564,283",4.91,"64,332",4.27,"133,615",3.48,"3,352",2.85,"2,329,374",5.38,"58,439",4.75,"121,375",3.95,"3,045",3.33
1986,"19,411,454",1.15,37.85,5.31,11.00,-,"2,943,997",16.96,"77,781",23.17,"151,663",15.63,"4,007",21.79,"3,020,959",17.81,"79,814",24.07,"155,628",16.47,"4,112",22.67,"2,766,094",18.75,"73,080",25.05,"142,498",17.40,"3,765",23.65
1987,"19,617,046",1.06,31.87,18.76,10.68,-,"3,291,857",11.82,"103,290",32.80,"167,806",10.64,"5,265",31.40,"3,365,208",11.40,"105,592",32.30,"171,545",10.23,"5,383",30.91,"3,093,077",11.82,"97,053",32.80,"157,673",10.65,"4,947",31.39
1988,"19,839,704",1.14,28.61,11.39,5.57,-,"3,488,550",5.98,"121,935",18.05,"175,837",4.79,"6,146",16.73,"3,585,924",6.56,"125,338",18.70,"180,745",5.36,"6,318",17.37,"3,376,379",9.16,"118,014",21.60,"170,183",7.93,"5,948",20.23
1989,"20,055,492",1.09,26.41,8.33,10.28,-,"4,003,227",14.75,"151,580",24.31,"199,608",13.52,"7,558",22.97,"4,103,996",14.45,"155,396",23.98,"204,632",13.22,"7,748",22.63,"3,778,844",11.92,"143,084",21.24,"188,419",10.72,"7,134",19.94
1990,"20,278,946",1.11,26.89,-1.79,6.87,-,"4,430,055",10.66,"164,747",8.69,"218,456",9.44,"8,124",7.49,"4,547,362",10.80,"169,110",8.83,"224,241",9.58,"8,339",7.63,"4,159,304",10.07,"154,678",8.10,"205,105",8.86,"7,628",6.92
1991,"20,503,568",1.11,26.82,0.26,7.88,-,"4,958,220",11.92,"184,870",12.21,"241,822",10.70,"9,016",10.98,"5,093,770",12.02,"189,924",12.31,"248,433",10.79,"9,263",11.08,"4,659,322",12.02,"173,726",12.31,"227,244",10.79,"8,473",11.08
1992,"20,704,227",0.98,25.16,6.60,7.56,-,"5,534,544",11.62,"219,974",18.99,"267,315",10.54,"10,625",17.85,"5,655,306",11.02,"224,774",18.35,"273,147",9.95,"10,856",17.20,"5,127,513",10.05,"203,796",17.31,"247,655",8.98,"9,843",16.17
1993,"20,899,019",0.94,26.39,-4.66,6.73,-,"6,110,101",10.40,"231,531",5.25,"292,363",9.37,"11,079",4.27,"6,224,145",10.06,"235,852",4.93,"297,820",9.03,"11,285",3.95,"5,649,742",10.18,"214,086",5.05,"270,335",9.16,"10,244",4.07
1994,"21,086,645",0.90,26.46,-0.26,7.59,-,"6,685,505",9.42,"252,665",9.13,"317,049",8.44,"11,982",8.15,"6,793,022",9.14,"256,728",8.85,"322,148",8.17,"12,175",7.89,"6,175,452",9.31,"233,388",9.02,"292,861",8.33,"11,068",8.04
1995,"21,267,653",0.86,26.49,-0.11,6.38,-,"7,277,545",8.86,"274,728",8.73,"342,188",7.93,"12,918",7.81,"7,388,464",8.77,"278,915",8.64,"347,404",7.84,"13,115",7.72,"6,693,956",8.40,"252,697",8.27,"314,748",7.47,"11,882",7.35
