期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2005M04,"22,747,901",2.44,"3,164,008",0.56,"11,931,546",-1.46,"1,897,165",3.69,"3,730,216",-6.58,"907,812",194.95,"447,446",47.12,"669,708",29.82,"16,437,067",5.30,"2,515,765",1.31,"8,507,027",0.86,"313,777",16.79,"3,328,575",-4.20,"663,434",385.46,"441,547",48.44,"666,942",29.49,"6,310,834",-4.32,"648,243",-2.28,"3,424,519",-6.80,"1,583,388",1.43,"401,641",-22.56,"244,378",42.80,"5,899",-11.55,"2,766",231.65
2005M05,"23,922,944",-3.10,"3,105,697",-18.11,"12,759,499",-2.35,"1,976,563",7.01,"4,422,758",-1.50,"378,184",-21.92,"489,903",28.22,"790,340",26.33,"17,022,135",-3.85,"2,391,319",-22.21,"9,000,078",-1.97,"210,446",-9.82,"3,955,102",1.29,"191,400",-37.93,"485,101",28.79,"788,689",26.20,"6,900,809",-1.21,"714,378",-0.60,"3,759,421",-3.25,"1,766,117",9.45,"467,656",-20.10,"186,784",6.15,"4,802",-11.42,"1,651",154.78
2005M06,"23,315,890",-4.25,"3,540,493",10.24,"12,248,572",-13.73,"1,868,128",18.85,"4,287,561",8.13,"249,364",-40.55,"402,306",-0.10,"719,466",23.34,"16,410,246",-7.85,"2,854,538",12.87,"8,308,483",-19.85,"307,919",131.49,"3,790,526",9.25,"34,541",-89.62,"395,840",0.20,"718,399",23.30,"6,905,644",5.54,"685,955",0.47,"3,940,089",2.84,"1,560,209",8.43,"497,035",0.29,"214,823",147.77,"6,466",-15.74,"1,067",51.99
2005M07,"21,591,765",-7.18,"2,968,867",-4.50,"11,385,580",-1.50,"1,694,815",-18.55,"3,941,354",-21.97,"556,954",37.56,"355,310",-13.76,"688,885",6.48,"15,215,550",-7.95,"2,332,351",-5.45,"7,919,877",3.13,"179,055",-57.64,"3,464,212",-23.93,"283,639",-19.96,"349,179",-13.93,"687,237",6.36,"6,376,215",-5.30,"636,516",-0.83,"3,465,703",-10.65,"1,515,760",-8.58,"477,142",-3.99,"273,315",441.06,"6,131",-2.82,"1,648",103.46
2005M08,"20,781,525",-12.26,"3,270,389",8.34,"9,973,394",-22.70,"1,842,002",6.04,"4,123,423",-5.62,"666,167",26.62,"192,246",-57.33,"713,904",4.70,"14,438,666",-16.20,"2,642,454",12.11,"6,513,873",-30.16,"290,439",24.18,"3,675,076",-5.13,"418,730",34.11,"186,086",-58.20,"712,008",4.57,"6,342,859",-1.75,"627,935",-5.09,"3,459,521",-3.25,"1,551,563",3.22,"448,347",-9.41,"247,437",15.68,"6,160",13.65,"1,896",97.71
2005M09,"21,529,687",-6.25,"3,428,138",13.59,"10,773,872",-15.33,"1,625,696",-2.74,"3,979,552",-2.17,"686,026",34.21,"168,772",-55.30,"867,631",46.00,"15,115,064",-8.36,"2,787,776",18.42,"7,155,134",-20.69,"106,260",-59.08,"3,554,267",-1.48,"482,448",68.13,"164,183",-55.66,"864,996",45.83,"6,414,623",-0.87,"640,362",-3.53,"3,618,738",-2.26,"1,519,436",7.62,"425,285",-7.62,"203,578",-9.21,"4,589",-36.76,"2,635",136.96
2005M10,"21,904,141",-7.95,"3,298,442",8.10,"10,808,959",-20.12,"1,544,311",-10.41,"4,705,781",14.81,"556,348",44.94,"111,854",-71.73,"878,446",43.66,"15,272,606",-11.41,"2,592,865",7.30,"6,996,400",-28.35,"137,322",-22.66,"4,264,487",18.43,"302,079",8.59,"102,330",-73.74,"877,123",43.60,"6,631,535",1.13,"705,577",11.18,"3,812,559",1.23,"1,406,989",-9.01,"441,294",-11.37,"254,269",140.65,"9,524",59.50,"1,323",96.00
2005M11,"21,252,637",-4.88,"3,177,044",0.88,"10,194,816",-15.42,"1,710,892",-11.48,"4,558,415",27.28,"474,993",-13.91,"136,653",-65.26,"999,824",46.59,"14,589,528",-6.64,"2,467,931",-2.06,"6,568,921",-21.94,"94,852",-67.50,"4,090,995",36.19,"239,155",-26.62,"130,025",-66.64,"997,649",46.52,"6,663,109",-0.80,"709,113",12.64,"3,625,895",-0.35,"1,616,040",-1.51,"467,420",-19.04,"235,838",4.44,"6,628",86.44,"2,175",83.08
2005M12,"21,169,141",-9.73,"2,966,252",-6.50,"11,013,291",-9.71,"1,751,618",-12.36,"3,869,933",-16.70,"488,378",11.95,"108,463",-64.50,"971,206",40.09,"14,600,710",-14.20,"2,318,821",-10.91,"7,325,990",-15.82,"144,643",-30.03,"3,413,722",-18.97,"326,200",8.44,"102,201",-65.76,"969,133",40.11,"6,568,431",2.10,"647,431",13.65,"3,687,301",5.51,"1,606,975",-10.32,"456,211",5.36,"162,178",19.76,"6,262",-10.35,"2,073",31.87
2006M01,"19,640,822",-24.15,"3,098,089",-1.86,"9,621,814",-31.41,"1,602,684",-26.28,"3,571,657",-23.96,"485,786",-22.77,"203,699",-55.63,"1,057,093",40.98,"13,693,617",-27.48,"2,507,312",0.14,"6,447,654",-36.57,"69,142",-82.27,"3,111,557",-25.70,"311,026",-28.68,"195,676",-56.67,"1,051,250",40.39,"5,947,205",-15.18,"590,777",-9.53,"3,174,160",-17.85,"1,533,542",-14.05,"460,100",-9.66,"174,760",-9.39,"8,023",6.32,"5,843",454.89
