期間,可支配所得(億元)_原始值,可支配所得(億元)_年增率(%),平均每戶可支配所得_原始值,平均每戶可支配所得_年增率(%),可支配所得按戶數五等分位組-最低所得組_原始值,可支配所得按戶數五等分位組-最低所得組_年增率(%),可支配所得按戶數五等分位組-次低所得組_原始值,可支配所得按戶數五等分位組-次低所得組_年增率(%),可支配所得按戶數五等分位組-中間所得組_原始值,可支配所得按戶數五等分位組-中間所得組_年增率(%),可支配所得按戶數五等分位組-次高所得組_原始值,可支配所得按戶數五等分位組-次高所得組_年增率(%),可支配所得按戶數五等分位組-最高所得組_原始值,可支配所得按戶數五等分位組-最高所得組_年增率(%),消費支出(億元)_原始值,消費支出(億元)_年增率(%),平均每戶消費支出_原始值,平均每戶消費支出_年增率(%),可支配所得按戶數五等分位組之平均每戶消費支出-最低所得組_原始值,可支配所得按戶數五等分位組之平均每戶消費支出-最低所得組_年增率(%),可支配所得按戶數五等分位組之平均每戶消費支出-次低所得組_原始值,可支配所得按戶數五等分位組之平均每戶消費支出-次低所得組_年增率(%),可支配所得按戶數五等分位組之平均每戶消費支出-中間所得組_原始值,可支配所得按戶數五等分位組之平均每戶消費支出-中間所得組_年增率(%),可支配所得按戶數五等分位組平之均每戶消費支出-次高所得組_原始值,可支配所得按戶數五等分位組平之均每戶消費支出-次高所得組_年增率(%),可支配所得按戶數五等分位組平之均每戶消費支出-最高所得組_原始值,可支配所得按戶數五等分位組平之均每戶消費支出-最高所得組_年增率(%),儲蓄(億元)_原始值,儲蓄(億元)_年增率(%),平均每戶儲蓄_原始值,平均每戶儲蓄_年增率(%),可支配所得按戶數五等分位組之平均每戶儲蓄支出-最低所得組_原始值,可支配所得按戶數五等分位組之平均每戶儲蓄支出-最低所得組_年增率(%),可支配所得按戶數五等分位組之平均每戶儲蓄支出-次低所得組_原始值,可支配所得按戶數五等分位組之平均每戶儲蓄支出-次低所得組_年增率(%),可支配所得按戶數五等分位組之平均每戶儲蓄支出-中間所得組_原始值,可支配所得按戶數五等分位組之平均每戶儲蓄支出-中間所得組_年增率(%),可支配所得按戶數五等分位組平之均每戶儲蓄支出-次高所得組_原始值,可支配所得按戶數五等分位組平之均每戶儲蓄支出-次高所得組_年增率(%),可支配所得按戶數五等分位組平之均每戶儲蓄支出-最高所得組_原始值,可支配所得按戶數五等分位組平之均每戶儲蓄支出-最高所得組_年增率(%),平均每戶儲蓄率(%)_原始值,平均每戶儲蓄率(%)_年增率(%)
2003,"61,377",2.45,"881,662",0.66,"296,297",1.43,"545,465",1.28,"745,231",0.18,"1,021,325",1.60,"1,799,992",0.01,"46,390",0.84,"666,372",-0.93,"294,645",-2.57,"491,137",-1.91,"650,448",0.45,"802,983",-0.13,"1,092,645",-1.42,"14,988",7.80,"215,290",5.90,"1,652",-116.04,"54,328",43.46,"94,783",-1.63,"218,342",8.51,"707,347",2.31,24.42,-
2004,"63,131",2.86,"891,249",1.09,"297,305",0.34,"555,452",1.83,"775,719",4.09,"1,035,972",1.43,"1,791,796",-0.46,"49,063",5.76,"692,648",3.94,"295,476",0.28,"513,243",4.50,"678,420",4.30,"831,215",3.52,"1,144,888",4.78,"14,068",-6.14,"198,600",-7.75,"1,829",10.71,"42,208",-22.31,"97,299",2.65,"204,757",-6.22,"646,909",-8.54,22.28,-
2005,"64,471",2.12,"894,574",0.37,"297,694",0.13,"556,117",0.12,"779,044",0.43,"1,043,131",0.69,"1,796,884",0.28,"50,526",2.98,"701,076",1.22,"299,642",1.41,"516,758",0.68,"688,550",1.49,"861,302",3.62,"1,139,131",-0.50,"13,945",-0.87,"193,497",-2.57,"-1,948",-206.51,"39,360",-6.75,"90,494",-6.99,"181,829",-11.20,"657,753",1.68,21.63,-
2006,"66,729",3.50,"913,092",2.07,"304,274",2.21,"564,865",1.57,"795,427",2.10,"1,073,507",2.91,"1,827,387",1.70,"52,108",3.13,"713,024",1.70,"304,091",1.48,"524,833",1.56,"702,656",2.05,"860,439",-0.10,"1,173,099",2.98,"14,621",4.85,"200,068",3.40,183,-109.39,"40,032",1.71,"92,770",2.52,"213,067",17.18,"654,288",-0.53,21.91,-
2007,"68,499",2.65,"923,874",1.18,"312,145",2.59,"571,128",1.11,"799,418",0.50,"1,069,885",-0.34,"1,866,791",2.16,"53,093",1.89,"716,094",0.43,"313,309",3.03,"530,417",1.06,"699,698",-0.42,"868,505",0.94,"1,168,540",-0.39,"15,405",5.36,"207,780",3.85,"-1,164",-736.07,"40,711",1.70,"99,720",7.49,"201,380",-5.49,"698,251",6.72,22.49,-
2008,"68,934",0.64,"913,687",-1.10,"303,517",-2.76,"564,893",-1.09,"796,225",-0.40,"1,068,804",-0.10,"1,834,994",-1.70,"53,221",0.24,"705,413",-1.49,"309,419",-1.24,"522,744",-1.45,"687,699",-1.71,"849,967",-2.13,"1,157,234",-0.97,"15,713",2.00,"208,274",0.24,"-5,902",407.04,"42,149",3.53,"108,525",8.83,"218,837",8.67,"677,760",-2.93,22.79,-
2009,"68,239",-1.01,"887,605",-2.85,"282,260",-7.00,"544,532",-3.60,"771,572",-3.10,"1,049,242",-1.83,"1,790,418",-2.43,"54,253",1.94,"705,680",0.04,"312,957",1.14,"520,079",-0.51,"674,549",-1.91,"856,788",0.80,"1,164,025",0.59,"13,986",-10.99,"181,925",-12.65,"-30,697",420.11,"24,453",-41.98,"97,023",-10.60,"192,454",-12.06,"626,394",-7.58,20.50,-
2010,"69,733",2.19,"889,353",0.20,"288,553",2.23,"542,741",-0.33,"773,468",0.25,"1,054,693",0.52,"1,787,312",-0.17,"55,066",1.50,"702,292",-0.48,"309,078",-1.24,"508,446",-2.24,"680,747",0.92,"849,369",-0.87,"1,163,820",-0.02,"14,667",4.87,"187,061",2.82,"-20,525",-33.14,"34,295",40.25,"92,720",-4.44,"205,324",6.69,"623,492",-0.46,21.03,-
2011,"72,274",3.64,"907,988",2.10,"296,352",2.70,"546,903",0.77,"786,324",1.66,"1,083,008",2.68,"1,827,354",2.24,"58,028",5.38,"729,010",3.80,"325,660",5.36,"522,084",2.68,"695,209",2.12,"875,496",3.08,"1,226,601",5.39,"14,246",-2.87,"178,978",-4.32,"-29,308",42.79,"24,819",-27.63,"91,114",-1.73,"207,512",1.07,"600,753",-3.65,19.71,-
2012,"74,601",3.22,"923,584",1.72,"301,362",1.69,"566,814",3.64,"810,075",3.02,"1,093,553",0.97,"1,846,116",1.03,"58,778",1.29,"727,693",-0.18,"327,157",0.46,"531,922",1.88,"700,722",0.79,"880,096",0.53,"1,198,566",-2.29,"15,823",11.07,"195,891",9.45,"-25,795",-11.99,"34,891",40.58,"109,353",20.02,"213,457",2.86,"647,550",7.79,21.21,-
