期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2005M09,"28,490,603",8.53,"1,298,347",25.72,"15,390,298",9.32,"1,807,584",-1.10,"538,773",19.33,"13,043,941",10.55,"1,550,285",2.73,"750,150",-3.03,"92,511",40.52,"707,624",5.68,"120,143",15.29,281,0.00,"3,974,631",-2.28,"236,229",17.00,"3,444",-84.02,"157,091",5.39,"5,759,854",13.25,"595,551",68.25,"16,264,940",6.31,"279,765",-0.68,"1,450,065",6.18,"4,191,311",5.01,"2,394,568",11.89,"174,591",-14.46,"6,696,787",5.82,"1,077,853",9.01,"661,907",-7.69,"132,085",-38.46,"2,581,062",-1.22,"1,200,553",-10.33,"164,075",30.06,"784,206",20.73,"5,631,734",17.91,"1,675,043",11.68
2005M10,"28,413,487",7.67,"1,302,985",25.92,"15,325,686",8.61,"1,720,222",-5.97,"540,630",20.77,"13,064,834",10.40,"1,595,210",5.09,"768,762",-3.02,"93,056",34.30,"733,392",11.81,"122,821",16.27,281,0.00,"3,996,796",-1.38,"239,306",21.48,"1,835",-89.93,"156,090",7.79,"5,672,477",8.92,"550,105",55.09,"16,218,073",5.95,"278,551",-8.90,"1,385,088",6.02,"4,161,310",4.23,"2,397,086",12.15,"170,131",-18.82,"6,727,653",5.66,"1,098,254",11.09,"664,466",-7.48,"132,051",-29.92,"2,620,872",-1.26,"1,219,881",-9.61,"165,266",37.70,"785,114",16.80,"5,552,142",14.13,"1,725,398",14.21
2005M11,"28,695,477",8.04,"1,323,854",21.18,"15,448,226",7.65,"1,742,911",-8.35,"544,394",22.25,"13,160,921",9.65,"1,556,559",5.80,"729,710",-3.84,"93,855",31.22,"732,994",14.38,"137,539",36.03,281,0.00,"4,029,501",-1.49,"285,156",65.37,"2,955",-84.32,"157,921",4.67,"5,753,485",12.57,"553,018",56.00,"16,426,218",7.00,"280,762",2.91,"1,414,353",4.46,"4,236,701",6.71,"2,417,468",11.22,"164,432",-27.66,"6,743,922",5.64,"1,168,580",20.52,"667,190",-3.49,"121,845",-42.45,"2,596,517",-1.05,"1,197,363",-11.15,"164,682",22.40,"797,863",17.75,"5,659,773",13.54,"1,708,371",11.72
2005M12,"29,228,583",8.04,"1,514,901",42.07,"15,776,663",8.07,"1,782,204",-7.05,"557,810",22.33,"13,436,649",9.91,"1,544,902",4.29,"725,118",-3.74,"92,900",25.48,"726,884",11.14,"143,132",41.36,281,0.00,"3,960,612",-6.34,"220,075",19.22,"3,185",-84.30,"154,185",3.69,"5,910,647",13.17,"585,674",62.41,"16,847,070",7.11,"354,999",20.27,"1,536,713",4.60,"4,375,701",6.76,"2,443,404",11.03,"162,544",-30.29,"6,773,567",5.64,"1,200,142",17.65,"662,940",-2.85,"119,310",-42.62,"2,525,083",-4.93,"1,189,974",-9.79,"183,832",28.09,"811,192",14.41,"5,825,027",15.83,"1,668,455",8.65
2006M01,"24,964,406",-6.75,"1,377,516",28.49,"15,836,395",8.40,"1,894,509",-2.58,"565,740",24.16,"13,376,146",9.55,"1,684,393",13.98,"764,006",1.23,"87,488",13.35,"832,899",28.95,"119,137",19.69,1,-99.64,"3,736,771",-7.52,"253,614",23.03,316,-98.46,"223,805",-21.03,"1,732,458",-65.08,"546,197",17.89,"16,757,904",6.99,"354,723",13.65,"1,266,246",-7.75,"4,456,118",8.64,"2,470,117",11.04,"192,596",-14.94,"6,809,511",5.83,"1,208,593",21.87,"589,866",-9.45,"115,781",-43.92,"2,576,306",-2.17,"1,205,093",-8.04,"179,889",20.28,"814,232",12.61,"1,636,440",-65.32,"1,747,791",11.91
2006M02,"25,272,852",-5.98,"1,384,084",26.21,"15,837,767",8.15,"1,929,915",-2.97,"569,891",22.74,"13,337,961",9.41,"1,689,129",12.44,"778,842",2.10,"103,499",32.06,"806,788",22.05,"116,812",18.23,1,-99.64,"3,924,544",-5.08,"309,480",92.98,167,-99.20,"172,741",-0.12,"1,838,127",-63.60,"502,701",7.34,"16,893,661",7.51,"321,321",7.48,"1,491,097",16.60,"4,327,605",3.23,"2,463,004",8.29,"204,841",-12.18,"6,851,131",5.77,"1,234,662",28.87,"612,954",-2.58,"114,010",-30.54,"2,562,596",-1.98,"1,168,952",-9.88,"172,876",12.42,"818,567",12.57,"1,878,735",-61.17,"1,716,752",9.22
2006M03,"24,972,540",-7.71,"1,324,320",27.32,"15,794,911",6.51,"1,923,647",-4.99,"565,638",25.22,"13,305,626",7.70,"1,689,282",14.23,"782,580",3.08,"102,775",28.53,"803,927",25.68,"114,918",27.67,1,-99.64,"3,889,141",-8.70,"283,879",28.81,137,-99.36,"158,823",0.79,"1,717,128",-65.38,"462,462",-15.08,"16,852,810",6.33,"270,746",0.16,"1,442,766",4.10,"4,332,154",4.29,"2,443,288",4.39,"208,265",-1.91,"6,869,316",5.21,"1,286,275",34.37,"606,931",-3.35,"108,660",-36.64,"2,512,446",-3.43,"1,161,816",-6.85,"160,403",-2.44,"822,430",12.53,"1,723,646",-63.57,"1,722,752",5.32
2006M04,"25,288,201",-7.41,"1,421,283",23.06,"15,812,668",6.64,"1,921,483",-2.24,"573,106",26.18,"13,318,079",7.34,"1,753,288",16.53,"783,845",-0.03,"100,301",22.40,"869,142",36.11,"125,962",40.29,1,-99.64,"3,943,815",-4.54,"275,394",27.33,126,-99.35,"159,291",3.77,"1,796,373",-65.55,"451,357",-20.67,"16,993,898",7.38,"315,586",3.50,"1,383,968",5.35,"4,435,732",8.07,"2,431,610",2.15,"218,483",4.51,"6,874,984",4.79,"1,333,535",39.89,"612,555",-3.67,"99,418",-43.39,"2,546,835",0.04,"1,164,181",-5.24,"169,907",5.43,"844,959",14.82,"1,843,481",-63.46,"1,725,791",6.81
2006M05,"25,273,773",-7.64,"1,357,681",17.16,"15,857,638",5.74,"1,851,421",-4.82,"584,279",25.42,"13,421,938",6.64,"1,772,295",18.16,"798,014",1.91,"106,024",30.59,"868,257",36.58,"128,229",42.12,1,-99.64,"3,915,256",-5.09,"271,386",19.95,"1,096",-94.55,"157,948",1.17,"1,812,243",-64.40,"444,575",-25.96,"16,939,767",7.20,"319,385",18.84,"1,406,666",7.62,"4,376,838",6.91,"2,434,358",2.62,"226,359",5.38,"6,847,667",4.07,"1,328,494",37.66,"647,720",-1.79,"102,316",-37.61,"2,538,155",1.15,"1,148,970",-6.70,"178,836",9.94,"857,697",15.48,"1,879,405",-63.01,"1,685,302",2.55
2006M06,"25,329,177",-9.47,"1,435,267",21.38,"15,855,699",4.54,"1,714,293",-8.97,"599,624",27.34,"13,541,782",5.69,"1,729,129",12.75,"809,680",4.52,"104,353",25.64,"815,096",20.60,"143,527",30.24,1,-99.64,"3,767,202",-8.14,"318,900",36.89,"4,718",-75.77,"156,243",1.82,"1,918,491",-64.98,"486,296",-19.63,"17,001,833",4.66,"285,730",-0.65,"1,515,913",2.92,"4,303,147",3.32,"2,469,143",0.62,"242,091",6.02,"6,823,201",3.26,"1,362,608",32.43,"644,620",-3.48,"64,073",-52.29,"2,502,481",-0.81,"1,110,935",-8.62,"173,340",7.35,"873,008",12.11,"1,912,342",-63.35,"1,671,184",1.52
