期間,收受部門--中央銀行,存款部門--存款貨幣機構,存款部門--其他金融機構
1982,"104,296","98,974","5,322"
1983,"126,940","113,892","13,048"
1984,"159,639","140,446","19,193"
1985,"205,423","177,132","28,291"
1986,"278,026","235,026","43,000"
