期間,收受部門-中央銀行_原始值,收受部門-中央銀行_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%)
2009,"2,179,545",3.39,"2,166,426",3.40,"12,154",-5.51,965,"48,150.00"
2010,"2,192,061",0.57,"2,180,388",0.64,"11,671",-3.97,2,-99.79
2011,"2,192,153",0.00,"2,179,942",-0.02,"12,211",4.63,-,--
2012,"2,208,359",0.74,"2,196,675",0.77,"11,684",-4.32,-,--
