期間,10天_原始值,10天_年增率(%),10天_原始值,10天_年增率(%),30天_原始值,30天_年增率(%),30天_原始值,30天_年增率(%),60天_原始值,60天_年增率(%),60天_原始值,60天_年增率(%),90天_原始值,90天_年增率(%),90天_原始值,90天_年增率(%),120天_原始值,120天_年增率(%),120天_原始值,120天_年增率(%),180天_原始值,180天_年增率(%),180天_原始值,180天_年增率(%)
1997,32.460,...,32.703,...,32.480,...,32.730,...,32.550,...,32.890,...,32.600,...,32.940,...,32.650,...,33.000,...,32.750,...,33.140,...
1998,32.131,1.02,32.251,1.40,32.134,1.08,32.255,1.47,32.139,1.28,32.275,1.91,32.134,1.45,32.275,2.06,32.134,1.61,32.285,2.21,32.134,1.92,32.305,2.58
1999,31.318,2.60,31.595,2.08,31.356,2.48,31.523,2.32,31.321,2.61,31.523,2.39,31.296,2.68,31.463,2.58,31.258,2.80,31.437,2.70,31.196,3.01,31.385,2.93
2000,32.999,-5.09,33.144,-4.67,32.984,-4.94,33.145,-4.89,32.955,-4.96,33.150,-4.91,32.941,-4.99,33.130,-5.03,32.915,-5.03,33.107,-5.04,32.876,-5.11,33.065,-5.08
