期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2002,"4,317",...,278,...,-,...,120,...,112,...,23,...,25,...,53,...,56,...,162,...,69,...,128,...,16,...,63,...,332,...,105,...,94,...,654,...,857,...,342,...,363,...,162,...,117,...,88,...,98,...,"3,292",...,94,...,-,...,136,...,92,...,26,...,56,...,76,...,57,...,104,...,29,...,65,...,1,...,35,...,279,...,56,...,91,...,571,...,445,...,85,...,55,...,570,...,143,...,64,...,162,...
2003,"5,118",18.55,366,31.65,-,--,125,4.17,133,18.75,48,108.70,44,76.00,74,39.62,92,64.29,200,23.46,53,-23.19,148,15.62,7,-56.25,62,-1.59,424,27.71,111,5.71,116,23.40,791,20.95,"1,126",31.39,362,5.85,314,-13.50,147,-9.26,129,10.26,118,34.09,128,30.61,"6,752",105.10,400,325.53,1,--,359,163.97,247,168.48,102,292.31,169,201.79,167,119.74,114,100.00,250,140.38,59,103.45,122,87.69,13,"1,200.00",78,122.86,477,70.97,166,196.43,137,50.55,997,74.61,"1,002",125.17,259,204.71,200,263.64,545,-4.39,341,138.46,153,139.06,394,143.21
2004,"4,717",-7.84,307,-16.12,-,--,110,-12.00,107,-19.55,28,-41.67,36,-18.18,58,-21.62,70,-23.91,183,-8.50,62,16.98,142,-4.05,9,28.57,53,-14.52,364,-14.15,98,-11.71,115,-0.86,817,3.29,"1,024",-9.06,293,-19.06,357,13.69,139,-5.44,159,23.26,102,-13.56,84,-34.38,"4,371",-35.26,201,-49.75,-,--,190,-47.08,167,-32.39,77,-24.51,115,-31.95,81,-51.50,100,-12.28,143,-42.80,38,-35.59,93,-23.77,8,-38.46,56,-28.21,377,-20.96,168,1.20,105,-23.36,548,-45.04,667,-33.43,322,24.32,281,40.50,192,-64.77,187,-45.16,61,-60.13,194,-50.76
2005,"4,384",-7.06,270,-12.05,-,--,91,-17.27,91,-14.95,19,-32.14,31,-13.89,59,1.72,47,-32.86,160,-12.57,43,-30.65,127,-10.56,5,-44.44,53,0.00,378,3.85,84,-14.29,137,19.13,740,-9.42,978,-4.49,261,-10.92,302,-15.41,115,-17.27,177,11.32,142,39.22,74,-11.90,"3,912",-10.50,196,-2.49,1,--,195,2.63,137,-17.96,71,-7.79,56,-51.30,66,-18.52,73,-27.00,167,16.78,43,13.16,78,-16.13,5,-37.50,41,-26.79,346,-8.22,104,-38.10,83,-20.95,485,-11.50,737,10.49,260,-19.25,277,-1.42,141,-26.56,122,-34.76,95,55.74,133,-31.44
2006,"4,342",-0.96,268,-0.74,-,--,86,-5.49,79,-13.19,22,15.79,39,25.81,82,38.98,49,4.26,113,-29.38,76,76.74,138,8.66,10,100.00,54,1.89,325,-14.02,80,-4.76,133,-2.92,742,0.27,"1,002",2.45,261,0.00,318,5.30,124,7.83,148,-16.38,113,-20.42,80,8.11,"6,868",75.56,281,43.37,2,100.00,253,29.74,181,32.12,186,161.97,219,291.07,158,139.39,107,46.58,200,19.76,47,9.30,96,23.08,10,100.00,71,73.17,700,102.31,120,15.38,108,30.12,958,97.53,"1,424",93.22,376,44.62,281,1.44,277,96.45,327,168.03,95,0.00,391,193.98
