期間,平均_0歲,平均_10歲,平均_20歲,平均_30歲,平均_40歲,平均_50歲,平均_60歲,平均_70歲,平均_80歲,男性_0歲,男性_10歲,男性_20歲,男性_30歲,男性_40歲,男性_50歲,男性_60歲,男性_70歲,男性_80歲,女性_0歲,女性_10歲,女性_20歲,女性_30歲,女性_40歲,女性_50歲,女性_60歲,女性_70歲,女性_80歲
1971,...,...,...,...,...,...,...,...,...,67.19,59.22,49.66,40.51,31.49,22.82,15.15,9.16,4.88,72.08,63.97,54.27,44.74,35.40,26.47,18.25,11.30,6.19
1972,...,...,...,...,...,...,...,...,...,67.57,59.49,49.96,40.79,31.82,23.23,15.60,9.46,5.18,72.30,64.04,54.36,44.87,35.54,26.57,18.24,11.25,5.93
1973,...,...,...,...,...,...,...,...,...,67.57,59.45,49.93,40.73,31.78,23.20,15.57,9.35,4.97,72.48,64.22,54.54,45.02,35.67,26.69,18.38,11.21,6.00
1974,...,...,...,...,...,...,...,...,...,67.80,59.62,50.13,40.96,31.94,23.34,15.67,9.31,4.83,72.77,64.38,54.67,45.12,35.74,26.76,18.46,11.25,5.98
1975,...,...,...,...,...,...,...,...,...,68.27,59.92,50.44,41.30,32.32,23.79,16.10,9.49,4.83,73.42,64.86,55.17,45.61,36.24,27.24,18.94,11.40,6.00
1976,...,...,...,...,...,...,...,...,...,68.70,60.20,50.70,41.49,32.47,23.91,16.13,9.49,4.94,73.60,64.95,55.23,45.66,36.24,27.21,18.83,11.26,5.70
1977,...,...,...,...,...,...,...,...,...,68.69,60.14,50.65,41.49,32.44,23.93,16.20,9.48,4.89,73.85,65.14,55.42,45.84,36.38,27.34,19.02,11.45,5.92
1978,...,...,...,...,...,...,...,...,...,69.15,60.54,51.07,41.89,32.83,24.32,16.60,9.86,5.11,74.32,65.57,55.84,46.23,36.78,27.71,19.44,11.90,6.29
1979,...,...,...,...,...,...,...,...,...,69.36,60.69,51.24,42.07,32.99,24.45,16.70,10.37,5.77,74.47,65.63,55.91,46.32,36.83,27.79,19.39,12.11,6.75
1980,...,...,...,...,...,...,...,...,...,69.57,60.91,51.43,42.23,33.18,24.66,16.86,10.51,5.80,74.55,65.69,55.96,46.37,36.88,27.80,19.49,12.27,6.72
1981,72.01,63.17,53.57,44.20,34.93,26.05,18.06,11.40,6.40,69.74,60.99,51.51,42.34,33.28,24.78,17.01,10.68,5.94,74.64,65.71,55.97,46.37,36.86,27.71,19.27,12.10,6.71
1982,72.10,63.16,53.54,44.13,34.85,26.03,17.98,11.10,6.11,69.84,60.96,51.44,42.22,33.14,24.62,16.80,10.21,5.54,74.86,65.86,56.12,46.49,36.97,27.80,19.31,11.95,6.52
1983,72.16,63.16,53.54,44.13,34.81,25.98,17.88,11.04,6.07,69.90,60.97,51.47,42.24,33.12,24.57,16.71,10.16,5.50,75.08,66.00,56.25,46.63,37.08,27.93,19.42,12.10,6.62
1984,72.57,63.51,53.83,44.39,35.11,26.30,18.18,11.29,6.33,70.46,61.45,51.89,42.63,33.55,25.04,17.18,10.51,5.76,75.53,66.40,56.62,46.98,37.43,28.24,19.67,12.29,6.86
