期間,收受部門-中央銀行_原始值,收受部門-中央銀行_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%)
2006,"926,314",10.59,"926,314",10.59
2007,"1,064,311",14.90,"1,064,311",14.90
2008,"1,075,169",1.02,"1,075,169",1.02
