期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2005M09,"27,486,789",8.36,"1,881,208",32.16,"16,746,382",9.12,"1,807,634",-1.09,"538,917",19.28,"14,399,831",10.20,"2,161,370",2.52,"1,146,999",2.47,"100,228",21.65,"914,143",0.84,"160,666",6.99,"6,335,684",3.59,"5,919",-82.51,281,0.00,"195,279",4.90,"1,584,093",26.64,"22,354,128",6.31,"304,834",-0.73,"1,778,037",6.19,"4,691,365",5.05,"2,777,529",8.87,"184,154",-13.97,"7,689,485",4.75,"1,306,990",9.29,"3,620,995",10.45,739,-,"732,453",-6.52,"133,209",-37.94,"179,159",19.38,"784,206",20.73,"1,908,871",11.04,"-189,330",--
2005M10,"27,496,483",8.50,"1,872,845",27.39,"16,696,237",8.70,"1,720,322",-5.96,"540,694",20.59,"14,435,221",10.34,"2,210,172",4.72,"1,175,812",3.23,"100,773",18.94,"933,587",5.28,"166,823",14.89,"6,353,457",5.10,"4,261",-85.20,281,0.00,"192,407",6.10,"1,562,229",28.37,"22,320,425",6.14,"302,919",-8.74,"1,710,504",6.22,"4,660,598",4.29,"2,774,788",9.04,"179,185",-18.46,"7,719,973",4.91,"1,338,047",11.66,"3,633,680",10.25,731,-56.38,"733,037",-6.32,"133,188",-29.56,"184,943",23.03,"785,114",16.80,"1,961,991",13.24,"-184,444",--
2005M11,"27,700,230",8.08,"1,913,520",22.75,"16,824,053",7.83,"1,742,911",-8.35,"544,449",22.09,"14,536,693",9.67,"2,215,414",9.41,"1,175,764",8.35,"104,490",21.28,"935,160",9.57,"182,473",32.89,"6,364,423",4.48,"5,529",-78.54,281,0.00,"194,537",3.81,"1,542,758",36.48,"22,546,950",6.89,"304,981",2.73,"1,737,408",4.63,"4,742,445",6.61,"2,797,809",8.45,"172,583",-27.70,"7,735,967",4.91,"1,405,302",18.57,"3,649,214",10.31,"1,241",-53.93,"734,096",-2.85,"124,093",-41.70,"184,303",10.76,"797,863",17.75,"1,946,794",11.14,"-176,627",--
2005M12,"28,216,637",7.85,"2,137,639",39.53,"17,158,349",8.13,"1,782,204",-7.05,"557,852",22.30,"14,818,293",9.81,"2,201,547",5.04,"1,182,856",6.27,"103,524",17.42,"915,167",2.28,"192,724",35.95,"6,327,931",0.37,"5,924",-82.98,281,0.00,"192,242",2.86,"1,537,800",23.28,"22,990,663",6.82,"383,098",19.79,"1,869,647",4.55,"4,888,036",6.49,"2,821,596",8.35,"170,404",-30.36,"7,758,841",4.81,"1,437,043",15.45,"3,660,395",10.05,"1,603",7.30,"729,099",-2.47,"121,972",-41.34,"208,622",22.20,"811,192",14.41,"1,893,425",7.86,"-76,136",--
2006M01,"28,204,669",7.23,"1,962,260",24.94,"17,255,743",8.62,"1,894,509",-2.58,"565,780",24.13,"14,795,454",9.71,"2,352,731",11.11,"1,224,602",7.78,"97,775",7.43,"1,030,354",15.74,"169,308",20.44,"6,168,547",-0.81,"3,315",-89.56,1,-99.64,"292,764",-13.46,"1,537,229",12.38,"23,016,776",6.71,"384,148",13.77,"1,592,717",-5.72,"4,962,900",8.03,"2,850,694",8.65,"202,269",-14.91,"7,791,463",4.93,"1,441,596",17.80,"3,788,857",10.25,"2,132",92.77,"649,869",-9.30,"118,437",-42.94,"197,751",6.45,"814,232",12.61,"1,990,717",11.66,"-120,342",--
2006M02,"28,437,912",7.59,"2,012,728",28.65,"17,243,591",8.32,"1,929,915",-2.97,"570,595",22.47,"14,743,081",9.50,"2,352,312",9.97,"1,244,965",8.10,"112,328",22.76,"995,019",11.07,"167,020",17.84,"6,446,813",0.39,"2,264",-91.74,1,-99.64,"213,183",-1.71,"1,501,422",7.47,"23,171,245",6.95,"349,168",7.64,"1,824,344",14.10,"4,833,905",3.01,"2,841,850",6.28,"215,961",-12.29,"7,836,351",4.87,"1,470,771",24.50,"3,796,497",9.27,"2,398",136.49,"675,955",-2.59,"122,710",-25.81,"198,093",6.56,"818,567",12.57,"1,958,878",9.17,"-8,958",--
2006M03,"28,242,992",5.72,"1,924,948",27.27,"17,202,903",6.80,"1,923,647",-4.99,"565,680",25.12,"14,713,576",7.94,"2,345,459",11.07,"1,247,096",9.09,"111,298",22.58,"987,065",12.45,"167,320",30.58,"6,403,690",-3.45,"2,153",-92.26,1,-99.64,"196,518",1.33,"1,442,591",-7.12,"23,151,947",6.18,"293,688",-0.49,"1,777,686",4.36,"4,837,828",4.06,"2,824,388",2.92,"219,389",-1.61,"7,854,457",4.42,"1,520,209",29.20,"3,821,450",9.50,"2,852",206.34,"672,351",-2.79,"114,396",-33.54,"178,910",-7.62,"822,430",12.53,"1,969,400",5.78,"-109,033",--
2006M04,"28,591,952",6.53,"2,046,070",25.57,"17,229,112",6.94,"1,921,483",-2.24,"573,143",26.17,"14,734,486",7.61,"2,443,159",14.34,"1,262,207",8.30,"108,555",17.00,"1,072,397",22.07,"182,542",38.83,"6,488,699",-1.84,"2,126",-91.13,1,-99.64,"200,243",2.10,"1,438,331",-11.59,"23,342,919",7.09,"341,537",3.36,"1,718,132",5.75,"4,947,070",7.56,"2,815,378",1.14,"230,451",4.57,"7,859,922",4.06,"1,582,847",34.56,"3,844,752",9.61,"2,830",232.16,"680,685",-3.13,"114,648",-35.06,"188,197",-2.51,"844,959",14.82,"1,975,159",7.17,"7,054",--
2006M05,"28,694,635",6.36,"2,006,034",23.23,"17,318,088",6.24,"1,858,901",-4.43,"584,294",25.25,"14,874,893",7.09,"2,536,870",21.14,"1,340,688",17.79,"114,074",25.89,"1,082,108",25.04,"187,841",46.68,"6,446,415",-2.47,"3,067",-87.54,1,-99.64,"196,319",1.35,"1,531,488",-4.27,"23,298,329",7.14,"347,942",18.55,"1,740,514",7.77,"4,881,784",6.43,"2,827,539",2.00,"240,703",6.35,"7,831,562",3.43,"1,566,392",33.64,"3,859,129",10.02,"2,764",244.64,"713,837",-1.96,"121,964",-26.05,"204,233",12.78,"857,697",15.48,"1,938,812",3.52,"28,275",--
2006M06,"28,686,273",5.73,"2,091,079",24.42,"17,334,066",5.25,"1,723,580",-8.48,"599,642",27.33,"15,010,844",6.35,"2,530,255",19.63,"1,399,897",22.56,"111,700",23.20,"1,018,658",15.47,"196,120",31.82,"6,333,507",-2.61,"6,756",-71.74,1,-99.64,"194,489",2.56,"1,575,963",3.36,"23,380,143",5.24,"309,207",-1.07,"1,848,984",3.43,"4,806,148",3.10,"2,877,150",1.10,"251,918",4.43,"7,805,885",2.75,"1,604,619",28.69,"3,873,371",9.98,"2,861",269.16,"711,786",-3.57,"85,850",-37.10,"195,406",6.00,"873,008",12.11,"1,916,054",2.56,"-51,937",--
