期間,消費者貸款--小計_原始值,消費者貸款--小計_年增率(%),消費者貸款--購置住宅貸款_原始值,消費者貸款--購置住宅貸款_年增率(%),消費者貸款--房屋修繕貸款_原始值,消費者貸款--房屋修繕貸款_年增率(%),消費者貸款--汽車貸款_原始值,消費者貸款--汽車貸款_年增率(%),消費者貸款--機關團體職工福利貸款_原始值,消費者貸款--機關團體職工福利貸款_年增率(%),消費者貸款--其他個人消費性貸款_原始值,消費者貸款--其他個人消費性貸款_年增率(%),消費者貸款--信用卡循環信用餘額_原始值,消費者貸款--信用卡循環信用餘額_年增率(%),建築貸款_原始值,建築貸款_年增率(%)
2001,"4,270,124",-0.61,"2,623,276",-1.07,"780,717",-8.11,"63,520",23.08,"73,354",-4.41,"495,968",3.22,"233,289",25.24,"507,837",-9.07
2002,"4,442,484",4.04,"2,768,188",5.52,"695,283",-10.94,"69,299",9.10,"90,908",23.93,"527,988",6.46,"290,818",24.66,"418,809",-17.53
2003,"4,969,421",11.86,"3,038,881",9.78,"690,016",-0.76,"80,452",16.09,"172,455",89.70,"613,140",16.13,"374,477",28.77,"420,396",0.38
2004,"5,861,529",17.95,"3,482,662",14.60,"710,373",2.95,"109,471",36.07,"181,936",5.50,"952,118",55.29,"424,969",13.48,"508,638",20.99
