期間,合計_原始值,合計_年增率(%),政府_原始值,政府_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人及其他_原始值,個人及其他_年增率(%)
2005M09,"17,581,655",5.54,"661,907",-7.69,"133,492",-1.87,"3,630,289",3.07,"13,155,967",7.11
2005M10,"17,542,046",5.23,"664,466",-7.48,"128,660",-4.05,"3,574,719",3.07,"13,174,201",6.67
2005M11,"17,750,077",6.31,"667,190",-3.49,"135,386",0.72,"3,660,845",5.33,"13,286,656",7.19
2005M12,"18,176,571",6.40,"662,940",-2.85,"150,897",8.09,"3,880,723",5.77,"13,482,011",7.06
2006M01,"18,029,414",6.12,"589,866",-9.45,"148,177",0.36,"3,668,639",3.96,"13,622,732",7.59
2006M02,"18,188,032",6.91,"612,954",-2.58,"146,524",4.90,"3,837,980",12.22,"13,590,574",5.98
2006M03,"18,145,825",5.82,"606,931",-3.35,"146,758",5.21,"3,785,959",7.56,"13,606,177",5.80
2006M04,"18,320,529",6.99,"612,555",-3.67,"150,170",6.43,"3,793,599",8.61,"13,764,205",7.08
2006M05,"18,308,010",7.06,"647,720",-1.79,"144,984",5.82,"3,802,177",10.32,"13,713,129",6.66
2006M06,"18,376,163",4.63,"644,620",-3.48,"147,486",-3.28,"4,003,437",6.72,"13,580,620",4.54
2006M07,"18,329,166",4.48,"672,934",1.49,"146,939",-4.95,"3,907,988",8.94,"13,601,305",3.52
2006M08,"18,421,748",5.06,"662,129",-6.65,"138,804",3.06,"3,933,217",10.37,"13,687,598",4.27
2006M09,"18,525,366",5.37,"632,642",-4.42,"136,541",2.28,"3,923,325",8.07,"13,832,858",5.15
2006M10,"18,547,269",5.73,"648,106",-2.46,"139,689",8.57,"3,920,665",9.68,"13,838,809",5.04
2006M11,"18,686,338",5.27,"655,166",-1.80,"145,566",7.52,"3,981,165",8.75,"13,904,441",4.65
2006M12,"19,034,099",4.72,"646,800",-2.43,"159,822",5.91,"4,102,334",5.71,"14,125,143",4.77
2007M01,"19,012,256",5.45,"638,996",8.33,"170,492",15.06,"4,073,588",11.04,"14,129,180",3.72
2007M02,"19,049,292",4.74,"597,579",-2.51,"168,192",14.79,"3,989,182",3.94,"14,294,339",5.18
2007M03,"19,140,749",5.48,"599,293",-1.26,"159,272",8.53,"4,074,293",7.62,"14,307,891",5.16
2007M04,"19,247,535",5.06,"611,475",-0.18,"141,299",-5.91,"4,097,250",8.00,"14,397,511",4.60
2007M05,"19,203,458",4.89,"616,010",-4.90,"142,905",-1.43,"4,160,262",9.42,"14,284,281",4.17
2007M06,"19,288,931",4.97,"623,067",-3.34,"154,392",4.68,"4,216,781",5.33,"14,294,691",5.26
2007M07,"19,190,864",4.70,"614,101",-8.74,"142,488",-3.03,"4,143,468",6.03,"14,290,807",5.07
2007M08,"19,120,769",3.79,"614,907",-7.13,"137,146",-1.19,"4,089,723",3.98,"14,278,993",4.32
2007M09,"19,145,534",3.35,"622,956",-1.53,"149,676",9.62,"4,095,904",4.40,"14,276,998",3.21
2007M10,"19,288,500",4.00,"645,038",-0.47,"152,706",9.32,"4,171,811",6.41,"14,318,945",3.47
2007M11,"19,164,271",2.56,"645,322",-1.50,"163,335",12.21,"4,241,116",6.53,"14,114,498",1.51
2007M12,"19,313,771",1.47,"641,256",-0.86,"158,000",-1.14,"4,323,403",5.39,"14,191,112",0.47
2008M01,"19,401,753",2.05,"590,087",-7.65,"161,178",-5.46,"4,393,114",7.84,"14,257,374",0.91
2008M02,"19,494,351",2.34,"590,946",-1.11,"157,964",-6.08,"4,376,321",9.70,"14,369,120",0.52
2008M03,"19,639,851",2.61,"600,760",0.24,"161,590",1.46,"4,507,121",10.62,"14,370,380",0.44
2008M04,"19,796,882",2.85,"598,484",-2.12,"156,369",10.67,"4,598,915",12.24,"14,443,114",0.32
2008M05,"19,797,475",3.09,"607,560",-1.37,"160,175",12.08,"4,644,429",11.64,"14,385,311",0.71
2008M06,"19,637,371",1.81,"632,495",1.51,"170,388",10.36,"4,681,451",11.02,"14,153,037",-0.99
2008M07,"19,705,802",2.68,"633,594",3.17,"164,226",15.26,"4,672,138",12.76,"14,235,844",-0.38
2008M08,"19,765,138",3.37,"643,633",4.67,"158,962",15.91,"4,593,861",12.33,"14,368,682",0.63
2008M09,"20,028,570",4.61,"665,939",6.90,"165,529",10.59,"4,591,319",12.10,"14,605,783",2.30
2008M10,"20,356,915",5.54,"630,309",-2.28,"177,040",15.94,"4,706,514",12.82,"14,843,052",3.66
2008M11,"20,559,495",7.28,"645,418",0.01,"172,238",5.45,"4,775,459",12.60,"14,966,380",6.04
2008M12,"20,993,573",8.70,"652,350",1.73,"170,712",8.05,"4,975,307",15.08,"15,195,204",7.08
2009M01,"20,847,568",7.45,"585,632",-0.75,"148,940",-7.59,"4,831,983",9.99,"15,281,013",7.18
2009M02,"21,203,726",8.77,"601,415",1.77,"150,200",-4.92,"5,040,889",15.19,"15,411,222",7.25
2009M03,"21,430,176",9.12,"599,204",-0.26,"142,572",-11.77,"5,156,506",14.41,"15,531,894",8.08
2009M04,"21,535,779",8.78,"599,666",0.20,"140,634",-10.06,"5,182,815",12.70,"15,612,664",8.10
2009M05,"21,625,298",9.23,"606,223",-0.22,"141,790",-11.48,"5,127,993",10.41,"15,749,292",9.48
2009M06,"21,658,604",10.29,"612,392",-3.18,"151,192",-11.27,"5,260,787",12.38,"15,634,233",10.47
2009M07,"21,747,698",10.36,"615,843",-2.80,"144,023",-12.30,"5,224,317",11.82,"15,763,515",10.73
2009M08,"21,690,353",9.74,"614,636",-4.51,"144,159",-9.31,"5,218,273",13.59,"15,713,285",9.36
2009M09,"21,759,241",8.64,"614,901",-7.66,"135,806",-17.96,"5,152,541",12.22,"15,855,993",8.56
2009M10,"21,956,354",7.86,"597,294",-5.24,"135,163",-23.65,"5,338,352",13.42,"15,885,545",7.02
2009M11,"22,023,755",7.12,"596,712",-7.55,"136,444",-20.78,"5,416,208",13.42,"15,874,391",6.07
2009M12,"22,340,848",6.42,"596,183",-8.61,"133,710",-21.68,"5,517,062",10.89,"16,093,893",5.91
