期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%)
2007M01,"2,223,249",-20.82,"1,845,350",-2.11,"1,722,382",-11.36,"1,597,596",-0.62,"410,920",-45.84,"172,092",-5.87,"1,784",49.16,"1,496",57.97,"88,163",-15.73,"74,166",-20.94
2007M02,"1,501,527",-25.56,"1,198,984",-20.37,"1,192,094",-23.91,"1,031,088",-20.10,"215,219",-40.03,"104,409",-23.41,"1,222",11.29,757,-2.70,"92,992",2.68,"62,730",-19.77
2007M03,"2,213,843",-12.96,"1,835,417",-8.57,"1,876,741",-5.95,"1,603,914",-7.42,"223,793",-47.37,"137,411",-20.83,"1,326",-4.88,"1,111",-15.77,"111,983",-7.66,"92,981",-7.17
2007M04,"1,984,954",-20.13,"1,621,330",-5.81,"1,611,955",-6.47,"1,419,706",-1.31,"276,003",-55.91,"119,766",-28.50,"1,536",9.56,"1,273",26.04,"95,460",-28.88,"80,585",-29.54
2007M05,"1,916,107",-18.00,"1,656,190",-13.69,"1,644,266",-14.19,"1,451,391",-11.30,"169,513",-43.25,"118,398",-33.46,"1,474",11.25,"1,225",21.05,"100,854",-16.26,"85,176",-17.86
2007M06,"1,838,019",-20.17,"1,585,599",-18.53,"1,623,802",-12.74,"1,421,359",-13.84,"129,014",-59.38,"108,709",-42.03,"3,537",206.23,"1,206",28.98,"81,666",-33.56,"54,325",-49.75
2007M07,"1,887,888",-21.42,"1,601,595",-15.75,"1,687,296",-4.81,"1,475,934",-7.58,"150,225",-70.81,"90,881",-56.68,"1,482",18.85,"1,380",34.50,"48,885",-57.11,"33,400",-64.18
2007M08,"2,102,105",-8.96,"1,774,670",-8.92,"1,851,132",0.59,"1,642,105",2.07,"201,999",-37.85,"104,699",-50.53,"2,026",14.72,"1,983",46.89,"46,948",-66.97,"25,883",-79.57
2007M09,"1,906,968",-9.41,"1,557,886",-9.15,"1,638,574",-3.12,"1,431,006",0.08,"244,464",-15.20,"109,236",-40.42,"1,960",55.31,"1,856",81.07,"21,970",-82.31,"15,788",-84.31
2007M10,"2,097,266",5.53,"1,664,223",4.34,"1,745,362",18.81,"1,545,401",15.66,"323,218",-24.54,"100,619",-46.99,"2,329",70.87,"2,033",60.71,"26,357",-70.30,"16,170",-76.13
