期間,10天_原始值,10天_年增率(%),10天_原始值,10天_年增率(%),30天_原始值,30天_年增率(%),30天_原始值,30天_年增率(%),60天_原始值,60天_年增率(%),60天_原始值,60天_年增率(%),90天_原始值,90天_年增率(%),90天_原始值,90天_年增率(%),120天_原始值,120天_年增率(%),120天_原始值,120天_年增率(%),180天_原始值,180天_年增率(%),180天_原始值,180天_年增率(%)
1997M01,27.400,0.00,27.515,0.16,27.400,0.04,27.515,0.27,27.395,0.09,27.505,0.42,27.390,0.15,27.505,0.53,27.390,0.22,27.505,0.67,27.390,0.29,27.505,0.82
1997M02,27.455,-0.09,27.615,-0.16,27.455,-0.05,27.615,-0.05,27.455,-0.02,27.625,0.02,27.475,-0.05,27.630,0.04,27.475,0.02,27.635,0.24,27.475,0.09,27.640,0.36
1997M03,27.512,-1.13,27.607,-1.11,27.515,-1.13,27.620,-1.05,27.525,-1.11,27.630,-1.07,27.530,-1.09,27.645,-1.09,27.535,-1.07,27.650,-1.05,27.545,-1.07,27.680,-1.08
1997M04,27.624,-1.82,27.716,-1.79,27.632,-1.83,27.728,-1.78,27.640,-1.81,27.750,-1.80,27.645,-1.79,27.760,-1.80,27.650,-1.77,27.770,-1.78,27.670,-1.77,27.790,-1.78
1997M05,27.812,-0.72,27.905,-0.65,27.805,-0.70,27.906,-0.63,27.795,-0.63,27.906,-0.61,27.795,-0.61,27.906,-0.54,27.790,-0.56,27.906,-0.49,27.780,-0.47,27.906,-0.42
1997M06,27.783,-1.18,27.885,-1.21,27.810,-1.32,27.935,-1.40,27.810,-1.33,27.950,-1.45,27.810,-1.37,27.950,-1.43,27.815,-1.33,27.955,-1.43,27.815,-1.31,27.955,-1.40
1997M07,28.578,-3.82,28.677,-3.83,28.595,-3.92,28.710,-3.95,28.630,-4.09,28.750,-4.12,28.670,-4.29,28.795,-4.29,28.690,-4.36,28.840,-4.42,28.730,-4.49,28.900,-4.64
1997M08,28.623,-4.20,28.730,-4.23,28.670,-4.36,28.790,-4.40,28.700,-4.49,28.850,-4.61,28.750,-4.66,28.910,-4.81,28.800,-4.83,28.960,-4.97,28.850,-4.99,29.070,-5.26
1997M09,28.556,-3.91,28.673,-3.97,28.586,-4.01,28.716,-4.09,28.631,-4.19,28.771,-4.28,28.681,-4.36,28.821,-4.44,28.701,-4.43,28.881,-4.64,28.791,-4.73,28.991,-4.94
1997M10,30.810,-10.73,31.117,-11.31,30.830,-10.78,31.150,-11.37,30.880,-10.96,31.230,-11.61,30.950,-11.16,31.320,-11.86,31.000,-11.31,31.430,-12.17,31.120,-11.65,31.550,-12.44
1997M11,31.970,-14.19,32.190,-14.46,32.010,-14.32,32.250,-14.62,32.080,-14.53,32.330,-14.85,32.200,-14.81,32.510,-15.27,32.240,-14.93,32.560,-15.40,32.360,-15.25,32.650,-15.64
1997M12,32.460,-15.49,32.703,-15.79,32.480,-15.58,32.730,-15.87,32.550,-15.76,32.890,-16.28,32.600,-15.89,32.940,-16.39,32.650,-16.02,33.000,-16.55,32.750,-16.27,33.140,-16.88
1998M01,33.823,-18.99,34.080,-19.26,33.870,-19.10,34.160,-19.45,33.940,-19.28,34.240,-19.67,34.000,-19.44,34.340,-19.90,34.050,-19.56,34.390,-20.02,34.200,-19.91,34.590,-20.48
1998M02,31.792,-13.64,32.037,-13.80,31.815,-13.70,32.070,-13.89,31.850,-13.80,32.130,-14.02,31.890,-13.84,32.200,-14.19,31.940,-13.98,32.260,-14.34,32.030,-14.22,32.370,-14.61
1998M03,32.690,-15.84,32.937,-16.18,32.710,-15.88,32.970,-16.23,32.750,-15.95,33.030,-16.35,32.770,-15.99,33.070,-16.40,32.800,-16.05,33.120,-16.52,32.880,-16.23,33.220,-16.68
