期間,金融機構準備金-應提準備之存款合計(新台幣百萬元)_原始值,金融機構準備金-應提準備之存款合計(新台幣百萬元)_年增率(%),金融機構準備金-應提準備(新台幣百萬元)_原始值,金融機構準備金-應提準備(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-合計(新台幣百萬元)_原始值,金融機構準備金-實際準備-合計(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放央行(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放央行(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-庫存現金(新台幣百萬元)_原始值,金融機構準備金-實際準備-庫存現金(新台幣百萬元)_年增率(%),金融機構準備金-超額準備(新台幣百萬元)_原始值,金融機構準備金-超額準備(新台幣百萬元)_年增率(%),金融機構準備金-由央行融通(新台幣百萬元)_原始值,金融機構準備金-由央行融通(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-法定比率(%)_原始值,其他貨幣機構流動比率與流動準備-法定比率(%)_年增率(%),其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_年增率(%)
2010M01,"25,043,128",8.12,"1,362,002",11.43,"1,397,380",3.86,"1,169,892",14.46,"35,708",-34.05,"191,780",-28.78,"35,378",-71.29,-,-,"23,796,612",7.95,7,0.00,"1,665,765",7.95,"7,587,353",23.21,"39,683",-60.34,"218,649",70.03,"172,535",53.43,"4,987,623",38.46,"6,483",-64.50,17,-,"61,610",-53.96,"536,635",-12.25,"156,379",-15.87,"63,417",-15.85,"1,344,322",12.99
2010M02,"25,110,254",7.77,"1,362,132",10.93,"1,395,093",2.70,"1,053,651",-6.42,"61,209",92.95,"280,233",39.63,"32,962",-74.73,-,-,"23,846,469",7.98,7,0.00,"1,669,252",7.98,"7,498,876",19.19,"35,719",-49.20,"247,564",73.59,"173,732",21.14,"4,902,318",32.44,"5,231",-71.27,16,"1,500.00","68,836",-53.58,"509,507",-16.17,"155,971",-13.27,"59,770",-17.62,"1,340,212",11.04
2010M03,"25,149,796",7.12,"1,360,889",9.66,"1,383,967",0.97,"1,164,480",0.37,"34,981",6.77,"184,505",3.83,"23,078",-82.20,-,-,"23,888,232",7.53,7,0.00,"1,672,177",7.53,"7,676,210",17.87,"25,352",-80.89,"219,542",63.10,"170,640",-2.27,"5,129,946",37.06,"3,659",-79.83,6,500.00,"65,854",-55.17,"498,783",-22.05,"156,777",-13.19,"47,605",-31.33,"1,358,046",6.67
2010M04,"25,274,795",6.26,"1,369,051",8.30,"1,401,704",-1.17,"1,192,011",-1.63,"35,742",8.52,"173,952",0.17,"32,653",-78.82,-,-,"24,054,253",6.93,7,0.00,"1,683,796",6.93,"7,880,420",16.43,"33,288",-78.66,"230,669",93.20,"151,210",-18.48,"5,344,395",36.04,"9,041",-49.12,3,-76.92,"61,201",-64.73,"491,269",-23.12,"154,180",-15.64,"45,419",-33.47,"1,359,745",4.81
2010M05,"25,378,590",5.53,"1,380,352",7.24,"1,403,888",-2.13,"1,196,568",-2.36,"35,616",3.34,"171,706",-1.59,"23,536",-84.02,-,-,"24,280,043",6.32,7,0.00,"1,699,607",6.32,"7,948,604",12.87,"26,228",-82.67,"287,177",48.20,"141,039",-31.14,"5,387,436",31.49,"9,652",-44.05,3,-88.46,"56,289",-65.03,"485,997",-25.86,"149,087",-17.97,"44,576",-35.58,"1,361,120",3.88
2010M06,"25,371,389",5.55,"1,381,102",7.07,"1,407,973",0.73,"1,202,021",0.57,"36,140",4.24,"169,811",1.12,"26,871",-75.10,-,-,"24,282,827",5.72,7,0.00,"1,699,798",5.72,"7,792,499",8.53,"30,713",-72.27,"248,774",-17.76,"114,944",-40.11,"5,305,275",25.51,"8,681",-38.81,2,-87.50,"58,126",-63.87,"474,930",-22.54,"146,208",-16.37,"45,491",-32.91,"1,359,355",3.21
2010M07,"25,564,791",5.88,"1,392,964",7.48,"1,418,399",2.56,"1,213,046",2.94,"36,652",5.41,"168,702",-0.66,"25,435",-70.76,-,-,"24,488,201",6.44,7,0.00,"1,714,175",6.44,"7,953,895",9.48,"28,548",-68.13,"284,024",13.78,"107,219",-31.19,"5,443,888",22.87,"8,183",-36.29,1,-91.67,"71,595",-48.94,"453,134",-27.60,"147,343",-12.96,"47,762",-27.97,"1,362,198",2.82
2010M08,"25,719,286",6.09,"1,403,872",7.43,"1,433,548",5.04,"1,227,280",6.10,"37,186",-4.56,"169,082",0.03,"29,676",-48.80,-,-,"24,656,526",6.67,7,0.00,"1,725,954",6.67,"8,035,090",10.16,"32,535",-45.21,"326,881",17.62,"115,795",11.92,"5,432,611",18.16,"7,391",-32.34,1,-88.89,"111,170",14.99,"442,882",-23.85,"150,553",-10.41,"47,962",-26.58,"1,367,309",2.56
2010M09,"25,748,180",5.99,"1,407,283",7.53,"1,431,730",4.04,"1,223,159",4.59,"39,068",8.08,"169,503",-0.56,"24,447",-63.69,-,-,"24,652,144",6.48,7,0.00,"1,725,655",6.48,"8,030,275",10.51,"26,106",-63.65,"258,086",12.38,"123,067",10.97,"5,478,196",18.07,"8,606",-8.06,1,-94.44,"135,488",72.22,"438,194",-21.35,"150,714",-9.61,"48,185",-29.68,"1,363,632",2.21
2010M10,"25,757,496",5.51,"1,405,885",6.62,"1,427,473",3.10,"1,220,406",3.48,"37,908",4.45,"169,159",0.17,"21,588",-67.23,-,-,"24,663,834",5.80,7,0.00,"1,726,471",5.80,"8,034,981",8.07,"25,909",-61.82,"240,234",-6.75,"126,775",9.38,"5,554,934",16.40,"6,223",-26.22,3,-25.00,"77,615",4.13,"453,692",-19.29,"147,046",-13.25,"47,589",-30.70,"1,354,961",1.26
