期間,權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%)
2006M03,803,28.89,"2,770",-39.89,"4,619",-57.84,21,10.53,0,--,156,-99.59,0,--,0,--
2006M04,567,206.49,"4,445","1,629.57","3,570",-49.76,34,277.78,0,--,517,-96.83,0,--,0,--
2006M05,"1,361","1,559.76","9,480","2,696.46","6,172",-25.95,0,-100.00,0,--,"4,422",-88.29,422,--,0,--
2006M06,"1,814",534.27,"1,021",63.10,"7,514",-5.11,20,-93.65,0,--,"2,360",429.15,0,--,0,--
2006M07,116,-97.06,630,37.86,"9,136",57.63,21,-30.00,0,--,"3,210",580.08,0,--,0,--
2006M08,173,-67.23,"1,182",26.42,"10,590",65.70,0,-100.00,0,--,"8,424",-47.55,0,--,0,--
2006M09,"1,928",106.42,"2,504","1,811.45","9,052",94.04,11,-45.00,0,-100.00,"8,398","1,733.62",0,--,0,--
2006M10,260,-82.36,682,-43.40,"8,292",69.02,23,-61.67,0,--,"4,578",-90.52,0,--,0,--
2006M11,"1,037",59.54,654,65.15,"11,641",79.20,148,-92.46,0,--,"6,621","110,250.00",0,--,0,--
2006M12,551,-13.91,184,--,"9,356",56.17,162,-47.06,0,--,"6,537","27,137.50",0,--,0,--
2007M01,827,311.44,"1,255",-85.24,"9,514",223.17,12,-61.29,0,--,"33,534",--,0,--,0,--
2007M02,228,891.30,"3,481",806.51,"3,888",-11.13,0,--,0,--,"3,719",-74.23,0,--,0,--
2007M03,929,15.69,"2,537",-8.41,"7,800",68.87,12,-42.86,0,--,"14,370","9,111.54",0,--,0,--
2007M04,"1,806",218.52,"4,230",-4.84,"215,081","5,924.68","2,493","7,232.35",0,--,"10,711","1,971.76",0,--,0,--
