期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
1986,"401,799.624","63,838.386",20.745,"79,440.381","37,258.636","42,181.745","2,570.271",391.752,"49,526.183",2.784,-,"39,009.501","15,291.390","9,139.769","47,067.564",...,"10,819.653","35,274.657","18,210.479",950.647,"5,477.972","10,917.073","44,824.480",-,-,-,-
1987,"461,454.861","76,267.153",20.254,"91,338.646","44,819.369","46,519.277","3,775.300",445.296,"51,804.638","2,659.791",-,"62,219.475","2,558.160","10,099.474","65,416.499",...,"9,447.295","55,016.866","19,484.659",837.164,"6,767.257","4,205.501","46,137.040",-,-,-,-
1988,"558,045.676","78,582.859",18.303,"123,122.396","61,062.933","62,059.463","3,958.910",813.006,"66,104.918","13,631.759",-,"73,720.835","3,061.331","11,710.929","90,172.939",...,"12,497.561","76,796.126","21,453.572",690.878,"7,938.218","4,274.193","46,409.086",-,-,-,-
1989,"677,418.310","89,387.037",15.899,"157,063.043","80,138.880","76,924.163","3,910.316",962.795,"79,869.502","30,218.532",-,"77,771.053","3,298.642","14,095.432","123,947.716",...,"17,346.611","106,585.842","22,013.006",510.018,"8,436.647","4,419.467","47,665.652",-,-,-,-
1990,"847,733.398","81,879.616",16.185,"225,752.211","110,208.735","115,543.476","5,156.314","1,333.827","85,060.733","106,727.238",-,"111,878.998","3,604.109","16,482.323","105,555.818",...,"22,630.008","82,916.350","24,504.524",493.815,"8,394.069","4,577.376","52,921.212",-,-,-,-
1991,"808,620.588","79,269.295",17.177,"193,742.764","82,993.600","110,749.164","5,009.750","1,485.944","85,823.145","77,004.963",-,"122,444.581","4,000.579","18,666.400","121,623.944",4.350,"27,327.833","94,291.761","26,043.856",481.027,"8,066.914","4,827.696","60,112.553",-,-,-,-
1992,"967,623.881","88,429.283",15.629,"216,150.460","97,186.215","118,964.245","7,512.586","5,361.590","113,470.312","42,316.258",-,"147,007.525","5,028.242","21,348.666","217,645.115",1.558,"31,193.930","186,449.627","28,300.746",601.824,"10,182.057","5,740.163","58,513.425",-,-,-,-
1993,"1,045,496.186","99,928.304",14.832,"237,618.241","106,694.889","130,923.352","8,934.910","4,242.713","136,498.979","27,926.655",-,"168,972.594","5,482.505","24,469.530","222,039.199",1.099,"35,208.277","186,829.823","29,243.895",821.907,"10,949.349","6,243.109","62,109.464",-,-,-,-
1994,"1,127,481.060","102,940.698",13.919,"266,020.141","115,276.524","150,743.617","13,438.795","5,853.498","143,791.447","39,422.440",-,"196,095.010","6,177.595","27,087.198","206,379.137",0.426,"35,271.921","171,106.790","32,702.952",986.055,"14,151.581","7,717.420","64,703.174",-,-,-,-
1995,"1,232,263.996","115,366.387",12.508,"319,383.860","146,783.320","172,600.540","16,229.622","5,228.118","156,757.276","49,223.391",-,"214,246.597","6,737.279","30,445.698","193,615.439",0.005,"38,261.352","155,354.082","35,871.143","1,215.329","17,615.701","8,907.261","61,408.387",-,-,-,-
1996,"1,197,796.543","104,805.585",11.870,"343,550.020","148,443.967","195,106.053","18,305.992","6,147.016","154,673.473","33,920.306",-,"216,837.016","6,917.207","36,367.395","158,134.395",0.605,"42,361.416","115,772.374","38,850.039","1,431.059","17,153.317","4,733.287","55,958.566",-,-,-,-
1997,"1,271,452.683","103,405.990",13.954,"352,890.477","146,590.527","206,299.950","18,297.534","6,028.826","146,444.927","79,118.234",-,"223,450.300","6,755.037","39,070.092","174,782.988",0.003,"42,291.080","132,491.905","41,594.479","1,291.435","15,506.076","4,623.576","58,178.758",-,-,-,-
1998,"1,397,052.497","114,330.914",10.663,"398,390.232","163,354.533","235,035.699","17,214.507","8,304.908","150,363.093","119,683.379",-,"243,997.937","7,093.723","41,995.649","173,802.985",0.246,"45,314.611","128,488.128","43,800.029","1,381.139","14,347.022","4,888.519","57,447.798",-,-,-,-
