期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),54人造纖維絲、絲紗及其梭織物_原始值,54人造纖維絲、絲紗及其梭織物_年增率(%),55人造纖維棉_原始值,55人造纖維棉_年增率(%),58花邊及窄幅梭織物_原始值,58花邊及窄幅梭織物_年增率(%),59浸漬、塗佈或黏合織物及工業用織物_原始值,59浸漬、塗佈或黏合織物及工業用織物_年增率(%),60針織品或鉤針織品_原始值,60針織品或鉤針織品_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),82基本金屬製工具及其零件_原始值,82基本金屬製工具及其零件_年增率(%),83基本金屬雜項製品_原始值,83基本金屬雜項製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%),94座物、家具、燈具及其零件_原始值,94座物、家具、燈具及其零件_年增率(%)
2006M04,91.98,-1.49,57.64,2.07,58.06,2.24,66.68,-1.90,62.27,27.47,61.66,27.95,69.41,-5.23,-,-,58.67,-11.45,91.51,-0.74,88.33,5.36,71.96,-3.14,73.60,-3.65,62.47,0.35,74.06,-1.35,74.06,-1.35,71.88,-1.51,67.94,-2.22,64.54,-4.72,90.59,-1.90,75.94,-1.71,73.32,-0.62,84.19,-15.24,84.19,-15.24,76.10,-4.29,68.80,-18.18,79.92,-2.47,70.00,40.06,108.09,17.23,94.27,0.15,93.04,-1.56,116.52,-1.50,114.43,-4.15,116.25,1.03,82.03,-8.40,82.03,-8.40,119.07,-4.31,119.47,-4.51,89.87,0.67,84.48,-1.88
2006M05,93.86,1.35,61.62,7.73,62.52,8.17,67.46,-0.57,64.09,32.66,63.51,33.28,70.64,2.90,-,-,60.93,4.21,91.66,-0.57,86.69,3.50,74.48,4.15,76.41,4.57,63.41,1.44,74.36,-1.34,74.36,-1.34,71.82,-1.33,67.67,-2.27,65.39,-1.55,90.59,-1.90,75.63,-2.51,72.87,-1.09,84.19,-11.66,84.19,-11.66,81.27,2.55,74.49,-10.34,81.35,-1.61,83.67,67.54,113.77,24.27,94.65,0.38,93.04,-1.56,117.56,-0.56,114.44,-4.43,118.23,3.17,83.10,-4.70,83.10,-4.70,118.57,-4.96,118.94,-5.20,90.44,1.08,86.09,-0.32
2006M06,94.00,1.70,63.09,13.37,64.13,15.16,67.32,0.28,64.57,23.53,63.99,23.87,71.87,7.36,-,-,63.65,14.29,91.51,-0.74,86.01,2.91,76.21,6.11,78.34,6.66,64.00,2.58,74.36,-1.00,74.36,-1.00,71.98,-0.14,67.64,-1.11,66.29,2.87,90.59,-1.90,75.98,-1.43,72.87,-0.59,84.05,-8.69,84.05,-8.69,83.35,7.09,76.66,-4.85,81.46,-0.40,91.15,84.66,111.72,22.92,94.16,-0.08,94.48,-0.03,116.03,-1.97,111.94,-6.34,117.62,2.21,83.31,-3.81,83.31,-3.81,116.34,-6.70,116.58,-7.03,89.91,0.50,84.91,-1.67
2006M07,94.31,2.46,63.60,15.76,64.43,17.25,67.36,0.84,65.96,20.01,65.41,20.26,74.01,9.39,-,-,67.09,17.31,91.19,-1.08,86.55,4.37,76.67,5.39,78.74,5.63,64.75,3.68,74.36,-1.10,74.36,-1.10,72.33,0.33,68.03,-0.77,67.98,5.25,90.59,-1.90,75.44,-1.85,72.94,-0.45,84.05,0.32,84.05,0.32,84.68,11.16,80.15,4.65,82.19,0.81,89.11,77.12,110.84,21.94,94.06,0.17,94.48,-0.03,115.27,-2.08,110.23,-7.10,117.74,2.69,83.84,0.14,83.84,0.14,115.11,-7.16,115.30,-7.51,89.80,0.81,84.69,-1.27
2006M08,95.16,3.52,61.66,9.00,62.04,8.78,67.63,3.00,65.87,18.75,65.32,19.04,76.83,13.42,-,-,71.63,24.92,92.01,-0.36,86.82,5.26,78.37,7.83,80.59,8.35,65.61,4.39,75.54,0.77,75.54,0.77,72.57,1.14,68.50,1.05,69.64,8.81,90.59,-1.90,74.61,-2.20,73.14,-0.56,84.05,2.39,84.05,2.39,86.95,15.83,82.15,10.97,85.40,5.48,92.65,80.71,111.57,23.32,93.95,0.19,94.77,0.28,115.46,-1.99,109.65,-7.97,118.63,3.75,83.73,-0.27,83.73,-0.27,116.51,-5.90,116.77,-6.19,89.74,-0.87,84.43,-1.80
2006M09,95.48,4.00,57.95,3.02,57.76,1.64,67.61,2.10,63.13,8.14,62.53,8.16,77.43,13.00,-,-,72.29,23.00,92.16,-0.36,87.78,7.05,78.31,6.27,80.39,6.41,66.35,5.35,75.66,0.93,75.66,0.93,73.29,2.63,69.73,3.94,70.68,10.06,90.59,-1.90,75.68,0.83,73.36,-0.27,83.82,7.34,83.82,7.34,88.35,18.30,84.47,14.89,87.43,9.82,92.71,75.45,107.93,20.38,93.88,0.71,94.77,0.28,115.91,-0.86,109.46,-7.25,119.65,5.23,83.58,0.98,83.58,0.98,118.97,-4.99,119.36,-5.24,90.10,-0.17,85.22,-0.33
2006M10,94.60,3.89,56.51,-0.98,55.97,-3.33,67.52,1.69,61.02,0.41,60.38,0.25,74.34,8.21,-,-,67.09,12.57,91.96,0.33,87.99,7.38,77.28,6.61,79.18,6.84,66.33,5.05,75.66,0.68,75.66,0.68,73.17,2.55,69.57,3.30,69.35,6.94,90.01,-2.52,77.17,4.14,73.08,-0.41,83.67,7.43,83.67,7.43,89.08,22.67,85.99,25.13,88.10,11.86,91.77,71.15,109.89,19.65,93.68,0.15,94.77,0.28,114.37,-1.28,108.91,-6.60,117.23,3.76,84.34,2.74,84.34,2.74,118.87,-4.49,119.26,-4.71,89.71,-0.37,84.36,-1.33
2006M11,94.51,4.69,57.00,2.43,56.55,0.18,67.81,2.39,59.07,8.15,58.41,8.21,74.75,10.32,-,-,67.57,16.30,91.96,0.49,88.27,7.82,77.53,9.29,79.45,9.78,66.47,6.05,75.06,1.82,75.06,1.82,73.32,2.66,70.05,2.89,68.27,5.94,89.12,-3.49,78.08,5.70,72.82,-0.53,83.67,9.07,83.67,9.07,89.30,24.18,86.36,29.03,88.02,12.44,91.78,67.97,110.41,18.92,94.52,1.10,94.77,0.31,114.21,-1.56,108.90,-6.35,116.93,2.94,84.17,3.07,84.17,3.07,117.97,-5.18,118.31,-5.43,89.68,0.15,84.42,0.01
2006M12,94.32,4.80,56.61,2.13,56.09,1.03,68.15,2.70,58.88,7.56,58.21,7.58,75.31,14.82,-,-,68.45,25.23,91.96,0.49,88.43,7.91,77.81,10.60,80.09,11.34,64.71,5.68,75.27,2.07,75.27,2.07,73.50,3.96,69.96,5.71,68.00,8.16,89.12,-2.89,79.36,6.94,72.78,-0.53,83.67,9.56,83.67,9.56,88.97,24.45,86.03,32.78,88.77,13.36,88.63,55.52,113.37,18.16,94.72,1.13,94.77,0.31,113.66,-2.35,108.95,-6.16,115.85,1.19,84.50,5.41,84.50,5.41,115.56,-7.11,115.77,-7.46,89.74,0.20,84.54,0.12
2007M01,93.62,3.12,55.90,-0.78,55.20,-2.44,68.12,1.73,56.56,0.57,55.92,0.63,76.33,14.10,-,-,70.13,24.76,92.37,0.94,88.16,6.89,76.89,6.75,79.11,7.02,64.10,4.81,75.67,2.62,75.67,2.62,73.29,2.20,69.49,1.70,68.12,7.73,89.12,-2.89,78.41,3.16,72.93,-0.37,84.10,7.42,84.10,7.42,87.96,23.84,85.60,37.18,88.90,13.35,83.38,40.18,112.17,13.56,94.56,0.17,94.77,0.31,112.88,-3.82,108.54,-6.42,114.76,-1.41,83.99,4.24,83.99,4.24,115.56,-6.09,115.76,-6.39,89.36,-0.81,83.72,-2.20
