期間,消費者貸款--小計_原始值,消費者貸款--小計_年增率(%),消費者貸款--購置住宅貸款_原始值,消費者貸款--購置住宅貸款_年增率(%),消費者貸款--房屋修繕貸款_原始值,消費者貸款--房屋修繕貸款_年增率(%),消費者貸款--汽車貸款_原始值,消費者貸款--汽車貸款_年增率(%),消費者貸款--機關團體職工福利貸款_原始值,消費者貸款--機關團體職工福利貸款_年增率(%),消費者貸款--其他個人消費性貸款_原始值,消費者貸款--其他個人消費性貸款_年增率(%),消費者貸款--信用卡循環信用餘額_原始值,消費者貸款--信用卡循環信用餘額_年增率(%),建築貸款_原始值,建築貸款_年增率(%)
1997,"3,598,047",19.05,"2,289,903",14.35,"765,514",12.06,"33,158",10.13,"58,303",22.39,"370,185",42.94,"80,984",-,"553,191",6.99
1998,"3,873,602",7.66,"2,420,346",5.70,"819,222",7.02,"40,956",23.52,"59,092",1.35,"417,886",12.89,"116,100",43.36,"612,298",10.68
1999,"4,050,223",4.56,"2,539,707",4.93,"799,768",-2.37,"46,431",13.37,"68,727",16.31,"444,514",6.37,"151,076",30.13,"591,918",-3.33
2000,"4,296,486",6.08,"2,651,772",4.41,"849,621",6.23,"51,607",11.15,"76,737",11.65,"480,480",8.09,"186,269",23.29,"558,510",-5.64
