期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%)
2002,87,4.82,"21,763",4.69,61.29,-,0,-3.87,62,6.90,"18,790",5.47,61.62,-,0,-3.17,25,0.00,"2,973",-0.03,59.11,-,0,-6.23
2003,87,0.00,"21,896",0.61,56.43,-,0,2.68,62,0.00,"18,776",-0.07,57.43,-,0,0.89,25,0.00,"3,120",4.94,49.99,-,0,15.00
2004,87,0.00,"21,744",-0.69,65.59,-,0,-9.05,61,-1.61,"18,705",-0.38,66.22,-,0,-6.51,26,4.00,"3,039",-2.60,61.76,-,0,-23.83
