期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),美國道瓊工業指數_原始值,美國道瓊工業指數_年增率(%),美國NASDAQ指數_原始值,美國NASDAQ指數_年增率(%),日本日經225_原始值,日本日經225_年增率(%),倫敦金融時報_原始值,倫敦金融時報_年增率(%),香港恆生指數_原始值,香港恆生指數_年增率(%),韓國綜合指數_原始值,韓國綜合指數_年增率(%),新加坡海峽時報_原始值,新加坡海峽時報_年增率(%),上海綜合指數_原始值,上海綜合指數_年增率(%)
2002M08,"4,764.94",5.67,"8,663.50",-12.93,"1,314.85",...,"9,619.30",-10.21,"4,227.30",-20.91,"10,043.87",-9.44,736.40,35.09,"1,488.50",-8.07,...,...
2002M09,"4,191.81",15.26,"7,591.93",-14.19,"1,172.07",...,"9,383.29",-4.00,"3,721.80",-24.10,"9,072.21",-8.83,646.42,34.76,"1,352.30",2.48,...,...
2002M10,"4,579.14",17.31,"8,397.03",-7.47,"1,329.75",-21.33,"8,640.48",-16.65,"4,039.70",-19.84,"9,441.25",-6.28,658.92,22.52,"1,463.37",6.98,...,...
2002M11,"4,646.69",4.63,"8,896.09",-9.70,"1,478.78",-23.40,"9,215.56",-13.85,"4,169.40",-19.87,"10,069.87",-10.72,724.80,12.57,"1,391.53",-5.88,...,...
2002M12,"4,452.45",-19.79,"8,341.63",-16.76,"1,335.51",-31.53,"8,578.95",-18.63,"3,940.40",-24.48,"9,321.29",-18.21,627.55,-9.54,"1,341.03",-17.40,...,...
2003M01,"5,015.16",-14.59,"8,053.81",-18.81,"1,320.91",-31.70,"8,339.94",-16.58,"3,567.40",-30.93,"9,258.95",-13.67,591.86,-20.88,"1,291.61",-27.72,...,...
2003M02,"4,432.46",-22.18,"7,891.08",-21.92,"1,337.52",-22.75,"8,363.04",-21.01,"3,655.60",-28.34,"9,122.66",-12.97,575.43,-29.82,"1,273.85",-25.75,...,...
2003M03,"4,321.22",-29.94,"7,992.13",-23.18,"1,341.17",-27.32,"7,972.71",-27.68,"3,613.30",-31.46,"8,634.45",-21.74,535.70,-40.18,"1,267.82",-29.69,...,...
2003M04,"4,148.07",-31.61,"8,480.09",-14.74,"1,464.31",-13.26,"7,831.42",-31.86,"3,926.00",-24.00,"8,717.22",-24.18,599.35,-28.85,"1,281.33",-25.74,...,...
2003M05,"4,555.90",-19.73,"8,850.26",-10.83,"1,595.91",-1.23,"8,424.51",-28.39,"4,048.10",-20.39,"9,487.38",-16.06,633.42,-20.46,"1,349.00",-19.31,...,...
2003M06,"4,872.15",-5.46,"8,985.44",-2.79,"1,622.80",10.91,"9,083.11",-14.49,"4,031.17",-13.43,"9,577.12",-9.64,669.93,-9.80,"1,447.89",-6.77,...,...
2003M07,"5,318.34",7.65,"9,233.80",5.69,"1,735.02",30.62,"9,563.21",-3.19,"4,157.00",-2.10,"10,134.83",-1.29,713.52,-0.62,"1,558.87",3.35,...,...
2003M08,"5,650.83",18.59,"9,415.82",8.68,"1,810.45",37.69,"10,343.55",7.53,"4,161.10",-1.57,"10,908.99",8.61,759.47,3.13,"1,599.25",7.44,...,...
2003M09,"5,611.41",33.87,"9,275.06",22.17,"1,786.94",52.46,"10,219.05",8.91,"4,091.30",9.93,"11,229.87",23.78,697.52,7.91,"1,630.80",20.59,...,...
2003M10,"6,045.12",32.01,"9,801.12",16.72,"1,932.21",45.31,"10,559.59",22.21,"4,287.60",6.14,"12,190.10",29.12,782.36,18.73,"1,723.71",17.79,...,...
2003M11,"5,771.77",24.21,"9,782.46",9.96,"1,960.26",32.56,"10,100.57",9.60,"4,342.60",4.15,"12,317.47",22.32,796.18,9.85,"1,714.00",23.17,...,...
2003M12,"5,890.69",32.30,"10,453.92",25.32,"2,003.37",50.01,"10,676.64",24.45,"4,476.90",13.62,"12,575.94",34.92,810.71,29.19,"1,764.52",31.58,...,...
2004M01,"6,375.38",27.12,"10,488.07",30.22,"2,066.15",56.42,"10,783.61",29.30,"4,390.70",23.08,"13,289.37",43.53,848.50,43.36,"1,848.36",43.11,...,...
2004M02,"6,750.54",52.30,"10,583.92",34.13,"2,029.82",51.76,"11,041.92",32.03,"4,492.20",22.89,"13,907.03",52.44,883.42,53.52,"1,888.63",48.26,...,...
2004M03,"6,522.19",50.93,"10,357.70",29.60,"1,994.22",48.69,"11,715.39",46.94,"4,385.70",21.38,"12,681.67",46.87,880.50,64.36,"1,858.92",46.62,...,...
2004M04,"6,117.81",47.49,"10,225.57",20.58,"1,920.15",31.13,"11,761.79",50.19,"4,489.70",14.36,"11,942.96",37.00,862.84,43.96,"1,842.03",43.76,...,...
2004M05,"5,977.84",31.21,"10,188.45",15.12,"1,986.74",24.49,"11,236.37",33.38,"4,430.70",9.45,"12,198.24",28.57,803.84,26.90,"1,788.66",32.59,...,...
2004M06,"5,839.44",19.85,"10,435.48",16.14,"2,047.79",26.19,"11,858.87",30.56,"4,464.10",10.74,"12,285.75",28.28,785.79,17.29,"1,838.00",26.94,...,...
2004M07,"5,420.57",1.92,"10,139.71",9.81,"1,887.36",8.78,"11,325.78",18.43,"4,413.10",6.16,"12,238.03",20.75,735.34,3.06,"1,891.71",21.35,...,...
2004M08,"5,765.54",2.03,"10,173.92",8.05,"1,838.10",1.53,"11,081.79",7.14,"4,459.30",7.17,"12,850.28",17.80,803.57,5.81,"1,918.34",19.95,...,...
2004M09,"5,845.69",4.18,"10,080.27",8.68,"1,896.84",6.15,"10,823.57",5.92,"4,570.80",11.72,"13,120.03",16.83,835.09,19.72,"1,984.74",21.70,...,...
2004M10,"5,705.93",-5.61,"10,027.47",2.31,"1,974.99",2.21,"10,771.42",2.01,"4,624.20",7.85,"13,054.66",7.09,834.84,6.71,"1,980.69",14.91,...,...
2004M11,"5,844.76",1.26,"10,428.02",6.60,"2,096.81",6.97,"10,899.25",7.91,"4,703.20",8.30,"14,060.05",14.15,878.06,10.28,"2,027.66",18.30,...,...
2004M12,"6,139.69",4.23,"10,783.01",3.15,"2,175.44",8.59,"11,488.76",7.61,"4,814.30",7.54,"14,230.14",13.15,895.92,10.51,"2,066.14",17.09,...,...
2005M01,"5,994.23",-5.98,"10,489.94",0.02,"2,062.41",-0.18,"11,387.59",5.60,"4,852.30",10.51,"13,721.69",3.25,932.70,9.92,"2,096.32",13.42,...,...
