期間,總計-總機構_原始值,總計-總機構_年增率(%),總計-分機構_原始值,總計-分機構_年增率(%),全體貨幣機構-中央銀行_原始值,全體貨幣機構-中央銀行_年增率(%),全體貨幣機構-其他貨幣機構-本國銀行-總行_原始值,全體貨幣機構-其他貨幣機構-本國銀行-總行_年增率(%),全體貨幣機構-其他貨幣機構-本國銀行-分行_原始值,全體貨幣機構-其他貨幣機構-本國銀行-分行_年增率(%),全體貨幣機構-其他貨幣機構-外國銀行在台分行-總行_原始值,全體貨幣機構-其他貨幣機構-外國銀行在台分行-總行_年增率(%),全體貨幣機構-其他貨幣機構-外國銀行在台分行-分行_原始值,全體貨幣機構-其他貨幣機構-外國銀行在台分行-分行_年增率(%),全體貨幣機構-其他貨幣機構-信用合作社-總社_原始值,全體貨幣機構-其他貨幣機構-信用合作社-總社_年增率(%),全體貨幣機構-其他貨幣機構-信用合作社-分社_原始值,全體貨幣機構-其他貨幣機構-信用合作社-分社_年增率(%),全體貨幣機構-其他貨幣機構-農會信用部-本部_原始值,全體貨幣機構-其他貨幣機構-農會信用部-本部_年增率(%),全體貨幣機構-其他貨幣機構-農會信用部-分部_原始值,全體貨幣機構-其他貨幣機構-農會信用部-分部_年增率(%),全體貨幣機構-其他貨幣機構-漁會信用部-本部_原始值,全體貨幣機構-其他貨幣機構-漁會信用部-本部_年增率(%),全體貨幣機構-其他貨幣機構-漁會信用部-分部_原始值,全體貨幣機構-其他貨幣機構-漁會信用部-分部_年增率(%),其他金融機構-中華郵政公司-總公司_原始值,其他金融機構-中華郵政公司-總公司_年增率(%),其他金融機構-中華郵政公司-支局_原始值,其他金融機構-中華郵政公司-支局_年增率(%),信託投資公司-總公司_原始值,信託投資公司-總公司_年增率(%),信託投資公司-分公司_原始值,信託投資公司-分公司_年增率(%),人壽保險公司-總公司_原始值,人壽保險公司-總公司_年增率(%),人壽保險公司-分公司_原始值,人壽保險公司-分公司_年增率(%)
1997M01,506,0.60,"5,013",4.76,1,0.00,43,26.47,"1,982",43.83,41,7.89,65,8.33,71,-2.74,573,0.88,285,0.00,930,4.61,27,0.00,48,6.67,1,0.00,"1,273",0.32,5,0.00,55,12.24,32,3.23,87,10.13
1997M02,506,0.40,"5,019",4.45,1,0.00,43,26.47,"1,987",43.47,41,5.13,65,6.56,71,-2.74,573,0.70,285,0.00,930,3.91,27,0.00,48,4.35,1,0.00,"1,273",0.08,5,0.00,56,14.29,32,3.23,87,10.13
1997M03,506,0.40,"5,037",4.55,1,0.00,43,26.47,"2,001",43.65,41,5.13,65,4.84,71,-2.74,574,0.53,285,0.00,931,3.91,27,0.00,48,4.35,1,0.00,"1,274",0.16,5,0.00,56,12.00,32,3.23,88,11.39
1997M04,507,0.60,"5,057",4.18,1,0.00,43,26.47,"2,019",43.09,42,7.69,66,6.45,71,-2.74,574,-0.52,285,0.00,932,3.79,27,0.00,48,2.13,1,0.00,"1,274",0.24,5,0.00,56,12.00,32,3.23,88,3.53
1997M05,509,0.99,"5,072",4.08,1,0.00,43,26.47,"2,024",42.33,44,12.82,67,8.06,71,-2.74,575,-0.52,285,0.00,934,3.55,27,0.00,48,2.13,1,0.00,"1,274",0.16,5,0.00,56,7.69,32,3.23,94,10.59
1997M06,509,0.79,"5,084",3.84,1,0.00,43,26.47,"2,032",42.80,44,10.00,67,6.35,71,-2.74,577,-1.54,285,0.00,935,2.63,27,0.00,48,2.13,1,0.00,"1,274",0.16,5,0.00,57,3.64,32,3.23,94,10.59
1997M07,509,0.79,"5,109",3.93,1,0.00,43,26.47,"2,046",43.28,44,10.00,67,6.35,71,-2.74,579,-1.70,285,0.00,939,2.85,27,0.00,48,2.13,1,0.00,"1,276",0.39,5,0.00,60,9.09,32,3.23,94,10.59
1997M08,511,0.99,"5,117",3.92,1,0.00,43,26.47,"2,049",43.39,44,7.32,67,4.69,71,-2.74,582,-2.02,287,0.70,940,2.84,27,0.00,48,2.13,1,0.00,"1,276",0.39,5,0.00,61,10.91,32,3.23,94,10.59
1997M09,509,0.59,"5,136",4.01,1,0.00,46,35.29,"2,116",47.46,44,7.32,67,4.69,66,-9.59,531,-10.76,287,0.70,941,2.73,27,0.00,48,2.13,1,0.00,"1,276",0.24,5,0.00,61,10.91,32,3.23,96,12.94
1997M10,509,0.59,"5,149",3.94,1,0.00,46,35.29,"2,136",47.82,45,9.76,69,7.81,65,-10.96,520,-12.61,287,0.70,941,2.39,27,0.00,48,2.13,1,0.00,"1,275",0.16,5,0.00,61,10.91,32,3.23,99,16.47
1997M11,509,0.59,"5,163",3.90,1,0.00,46,35.29,"2,143",47.39,45,9.76,69,6.15,65,-10.96,521,-12.44,287,0.70,943,2.06,27,0.00,48,2.13,1,0.00,"1,275",0.16,5,0.00,61,10.91,32,3.23,103,21.18
1997M12,509,0.39,"5,181",4.02,1,0.00,47,38.24,"2,176",48.63,45,9.76,69,6.15,64,-12.33,505,-15.13,287,0.70,943,1.95,27,0.00,48,2.13,1,0.00,"1,276",0.24,5,0.00,61,10.91,32,0.00,103,21.18
1998M01,505,-0.20,"5,205",3.83,1,0.00,47,9.30,"2,226",12.31,45,9.76,70,7.69,60,-15.49,477,-16.75,287,0.70,944,1.51,27,0.00,48,0.00,1,0.00,"1,276",0.24,5,0.00,61,10.91,32,0.00,103,18.39
1998M02,505,-0.20,"5,222",4.04,1,0.00,47,9.30,"2,236",12.53,45,9.76,71,9.23,60,-15.49,478,-16.58,287,0.70,946,1.72,27,0.00,48,0.00,1,0.00,"1,279",0.47,5,0.00,61,8.93,32,0.00,103,18.39
1998M03,505,-0.20,"5,239",4.01,1,0.00,47,9.30,"2,252",12.54,45,9.76,71,9.23,60,-15.49,478,-16.72,287,0.70,947,1.72,27,0.00,48,0.00,1,0.00,"1,279",0.39,5,0.00,61,8.93,32,0.00,103,17.05
1998M04,504,-0.59,"5,250",3.82,1,0.00,47,9.30,"2,271",12.48,45,7.14,72,9.09,59,-16.90,469,-18.29,287,0.70,947,1.61,27,0.00,48,0.00,1,0.00,"1,279",0.39,5,0.00,61,8.93,32,0.00,103,17.05
1998M05,502,-1.38,"5,268",3.86,1,0.00,47,9.30,"2,296",13.44,45,2.27,72,7.46,57,-19.72,457,-20.52,287,0.70,949,1.61,27,0.00,48,0.00,1,0.00,"1,282",0.63,5,0.00,61,8.93,32,0.00,103,9.57
