期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%)
2008,92,2.22,"21,771",2.83,64.67,-,"3,214","515,512,858.29",61,1.67,"18,092",2.02,66.04,-,"3,387","440,433,902.30",31,3.33,"3,679",7.01,57.87,-,"2,234","75,825,464.57"
2009,95,3.26,"22,395",2.87,62.55,-,"3,018",-6.12,64,4.92,"18,645",3.06,63.89,-,"3,158",-6.75,31,0.00,"3,750",1.93,55.78,-,"2,202",-1.45
2010,104,9.47,"24,900",11.19,68.24,-,"3,074",1.87,68,6.25,"19,894",6.70,68.88,-,"3,232",2.35,36,16.13,"5,006",33.49,65.20,-,"2,280",3.56
2011,106,1.92,"25,333",1.74,68.11,-,"3,279",6.68,70,2.94,"20,382",2.45,69.52,-,"3,447",6.64,36,0.00,"4,951",-1.10,62.20,-,"2,496",9.45
2012,108,...,"25,517",...,69.98,-,...,...,70,...,"20,339",...,70.92,-,...,...,38,...,"5,178",...,66.21,-,...,...
2013,111,...,"26,074",...,69.28,-,...,...,71,...,"20,461",...,71.02,-,...,...,40,...,"5,613",...,62.76,-,...,...
