期間,授信部門--政府,受信部門--政府,受信部門--公營事業,受信部門--民營企業,受信部門--家庭及非營利團體
1982,"88,787","3,588","31,997","30,402","22,800"
1983,"91,418","3,500","35,299","30,314","22,305"
1984,"91,495","3,819","32,225","29,976","25,475"
1985,"102,484","3,832","28,082","36,123","34,447"
1986,"96,469","2,672","22,104","34,114","37,579"
