期間,營造工程總指數_原始值,營造工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),(一)水泥及其製品類_原始值,(一)水泥及其製品類_年增率(%),(二)砂石及級配類_原始值,(二)砂石及級配類_年增率(%),(三)磚瓦瓷類_原始值,(三)磚瓦瓷類_年增率(%),(四)金屬製品類_原始值,(四)金屬製品類_年增率(%),(五)木材及其製品類_原始值,(五)木材及其製品類_年增率(%),(六)塑膠製品類_原始值,(六)塑膠製品類_年增率(%),(七)油漆塗裝類_原始值,(七)油漆塗裝類_年增率(%),(八)機電設備類_原始值,(八)機電設備類_年增率(%),(九)瀝青及其製品類_原始值,(九)瀝青及其製品類_年增率(%),(十)雜項類_原始值,(十)雜項類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),(一)工資類_原始值,(一)工資類_年增率(%),(二)機具設備租金類_原始值,(二)機具設備租金類_年增率(%),建築工程總指數_原始值,建築工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按構造別分－鋼筋混凝土工程總指數_原始值,按構造別分－鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨鋼筋混凝土工程總指數_原始值,按構造別分－鋼骨鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨構造工程總指數_原始值,按構造別分－鋼骨構造工程總指數_年增率(%),土木工程總指數_原始值,土木工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按工程別分－公路工程總指數_原始值,按工程別分－公路工程總指數_年增率(%),按工程別分－橋梁工程總指數_原始值,按工程別分－橋梁工程總指數_年增率(%),按工程別分－下水道工程總指數_原始值,按工程別分－下水道工程總指數_年增率(%),按工程別分－自來水工程總指數_原始值,按工程別分－自來水工程總指數_年增率(%),按工程別分－治水工程總指數_原始值,按工程別分－治水工程總指數_年增率(%),按工程別分－隧道工程總指數_原始值,按工程別分－隧道工程總指數_年增率(%),按工程別分－港灣工程總指數_原始值,按工程別分－港灣工程總指數_年增率(%)
1996M12,61.48,-0.49,49.60,-0.58,71.21,-6.04,41.43,14.57,72.64,-4.65,43.55,-3.76,55.56,4.69,58.48,0.60,61.04,0.00,61.59,-2.64,26.87,-0.59,66.25,-1.34,93.61,-0.33,100.51,-0.94,80.80,1.65,66.52,-1.99,55.13,-2.96,96.57,-0.70,-,-,-,-,-,-,57.58,0.56,45.66,0.91,91.02,-0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M01,61.52,-0.31,49.65,-0.16,70.78,-6.38,41.84,15.52,72.56,-4.02,43.83,-2.19,55.57,4.89,58.52,1.11,61.02,-0.03,61.22,-2.89,26.82,-0.81,67.77,0.86,93.61,-0.55,100.51,-0.93,80.80,0.61,66.48,-1.80,55.09,-2.55,96.57,-0.81,-,-,-,-,-,-,57.65,0.72,45.75,1.31,91.02,-0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M02,62.03,0.75,50.39,1.59,71.26,-5.18,44.55,22.49,72.48,-3.42,43.89,-1.83,55.57,4.63,58.81,1.62,61.02,-0.03,61.25,-2.39,26.97,-0.33,67.76,1.06,93.48,-0.48,100.32,-0.87,80.80,0.72,66.59,-1.30,55.33,-1.74,96.35,-0.76,-,-,-,-,-,-,58.40,2.17,46.70,3.57,90.97,-0.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M03,62.33,1.48,50.73,2.65,71.23,-4.50,45.72,25.71,72.46,-3.30,44.21,-0.65,55.60,4.18,59.52,2.74,61.02,-0.03,61.31,-1.86,27.10,0.15,67.73,1.45,93.62,-0.28,100.23,-0.90,81.63,1.82,66.73,-0.83,55.52,-0.96,96.40,-0.64,-,-,-,-,-,-,58.79,3.09,47.14,4.87,91.19,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M04,62.62,2.17,51.14,3.73,72.69,-2.38,45.57,26.02,73.01,-1.97,44.55,0.43,55.71,4.25,60.44,4.15,61.02,-0.08,61.35,-1.46,27.10,0.15,68.18,2.28,93.54,-0.22,100.08,-0.87,81.63,1.82,67.02,-0.18,55.99,0.16,96.27,-0.63,-,-,-,-,-,-,59.07,3.78,47.50,5.93,91.12,0.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M05,62.79,2.65,51.39,4.56,72.90,-1.55,46.50,28.60,71.89,-3.10,44.70,1.48,55.70,4.25,60.58,4.20,61.02,-0.16,61.29,-1.95,27.15,0.33,68.17,2.20,93.50,-0.23,100.06,-0.86,81.54,1.71,67.02,-0.01,55.98,0.39,96.29,-0.59,-,-,-,-,-,-,59.35,4.51,47.87,7.12,91.04,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M06,62.77,3.24,51.44,5.67,72.99,0.34,46.68,29.67,71.83,-2.31,44.71,2.59,55.69,4.25,60.58,3.11,61.02,-0.20,60.95,-1.98,27.26,0.74,68.07,2.19,93.27,-0.43,100.06,-0.77,80.69,0.65,66.96,0.51,55.96,1.41,96.14,-0.65,-,-,-,-,-,-,59.35,5.08,47.95,8.24,90.77,-0.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M07,62.76,2.89,51.43,5.20,72.83,0.46,46.79,23.85,72.02,-1.30,44.60,3.41,55.76,4.30,60.56,3.01,61.02,-0.20,61.20,-0.94,27.26,0.74,68.03,2.22,93.25,-0.64,100.05,-0.70,80.68,-0.40,66.95,0.72,55.96,1.88,96.11,-0.78,-,-,-,-,-,-,59.34,4.38,47.95,7.25,90.75,-0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M08,62.72,2.02,51.38,3.74,72.55,0.26,46.82,14.25,72.27,-1.00,44.67,4.10,55.66,3.25,60.57,3.13,61.02,-0.13,61.13,-0.76,27.26,0.74,67.75,1.90,93.23,-0.62,100.05,-0.67,80.61,-0.48,66.92,0.65,55.92,1.67,96.11,-0.72,-,-,-,-,-,-,59.29,2.97,47.89,5.00,90.73,-0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M09,62.82,2.01,51.53,3.60,71.99,-1.14,48.29,16.05,71.73,-1.69,44.49,4.44,55.64,2.66,60.39,2.91,61.02,-0.13,61.22,-0.94,27.26,0.74,67.79,2.25,93.22,-0.42,100.04,-0.65,80.61,0.32,66.87,0.54,55.84,1.40,96.10,-0.60,-,-,-,-,-,-,59.50,3.07,48.15,4.97,90.72,-0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
