期間,民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%)
1986M04,284,-0.68,247,-0.39,36,-2.63,301,3.38,166,4.70,135,1.80,625,3.91,383,2.31,242,6.53,515,3.80,199,4.90,316,3.11,"1,233",2.50,699,1.43,535,3.93,"1,323",4.09,904,1.14,418,11.08,"3,285",2.53,"2,158",1.51,"1,128",4.54
1986M05,283,4.11,248,5.87,34,-7.10,289,2.10,162,3.58,127,0.28,647,5.96,399,4.55,248,8.31,512,4.38,194,1.53,317,6.20,"1,250",2.11,701,0.11,549,4.79,"1,277",2.10,876,0.41,400,5.98,"3,361",3.61,"2,205",2.70,"1,156",5.40
1986M06,288,6.02,250,6.89,38,0.71,307,6.75,168,6.10,139,7.54,650,6.33,392,3.94,258,10.17,511,2.54,191,-1.64,320,5.20,"1,262",1.03,703,-1.38,559,4.24,"1,256",-2.93,853,-3.19,404,-2.38,"3,426",6.35,"2,218",4.44,"1,208",10.04
1986M07,302,3.68,264,4.83,37,-3.77,319,13.42,171,11.61,148,15.57,684,8.94,405,5.86,279,13.76,557,7.40,196,1.47,360,10.93,"1,255",4.16,709,2.53,546,6.34,"1,345",-1.08,892,-2.19,452,1.17,"3,408",6.66,"2,211",3.04,"1,197",14.07
1986M08,307,2.53,268,3.25,38,-2.23,330,8.73,182,11.57,148,5.44,717,10.54,430,8.34,287,14.01,583,9.08,206,5.37,377,11.21,"1,258",7.79,719,4.93,539,11.86,"1,264",-1.24,885,-2.29,379,1.29,"3,318",6.21,"2,144",2.22,"1,174",14.37
1986M09,306,5.08,264,4.94,42,5.96,347,2.18,189,0.94,158,3.72,709,8.77,431,6.89,278,11.80,562,9.80,210,8.72,352,10.45,"1,235",4.62,693,-0.16,542,11.45,"1,226",-0.01,858,-1.29,368,3.10,"3,343",6.13,"2,183",3.63,"1,160",11.19
1986M10,303,7.68,263,7.16,40,11.27,357,7.52,198,5.10,160,10.68,708,10.48,425,8.76,282,13.18,548,7.13,200,0.74,348,11.18,"1,245",3.29,704,0.31,541,7.44,"1,250",-2.08,855,-3.41,395,0.93,"3,442",8.55,"2,242",5.29,"1,200",15.21
1986M11,308,6.93,267,5.45,41,17.66,354,13.21,202,12.33,152,14.41,701,11.82,415,9.00,286,16.17,552,7.97,196,-1.20,356,13.80,"1,274",3.12,721,0.85,553,6.24,"1,263",-1.26,870,-2.50,393,1.62,"3,417",7.32,"2,225",4.76,"1,192",12.46
1986M12,312,3.53,269,3.21,43,5.62,335,8.49,187,6.25,147,11.47,715,9.85,424,4.48,292,18.71,564,10.87,201,1.05,363,17.17,"1,292",1.40,730,-0.12,562,3.45,"1,290",-1.21,897,1.89,393,-7.62,"3,479",8.19,"2,260",5.52,"1,219",13.52
1987M01,299,-2.08,255,-1.86,44,-3.36,338,-2.51,182,-5.81,156,1.63,725,9.25,424,5.65,301,14.77,581,8.73,210,0.25,370,14.21,"1,330",-0.42,751,-0.83,579,0.11,"1,282",-5.61,880,-2.01,402,-12.62,"3,494",9.74,"2,272",8.60,"1,222",11.92
1987M02,322,8.00,273,6.66,49,16.19,353,3.67,188,-0.27,165,8.56,721,11.68,425,9.99,296,14.19,580,8.02,213,2.33,367,11.63,"1,274",-0.56,720,-0.28,554,-0.94,"1,276",-9.91,879,-7.62,396,-14.61,"3,419",11.71,"2,241",11.33,"1,178",12.44
1987M03,318,11.03,273,9.78,45,19.25,379,22.12,208,24.46,171,19.39,717,15.39,425,12.53,293,19.81,578,13.19,212,6.36,366,17.57,"1,236",-0.86,697,-0.73,539,-1.04,"1,242",-10.34,877,-7.60,365,-16.31,"3,394",7.30,"2,220",6.16,"1,174",9.54
1987M04,297,4.56,259,4.54,38,4.69,355,18.11,198,19.60,157,16.29,719,15.08,425,11.15,294,21.28,591,14.83,213,6.99,378,19.76,"1,218",-1.24,696,-0.38,522,-2.38,"1,227",-7.23,880,-2.67,347,-17.09,"3,436",4.61,"2,234",3.55,"1,202",6.63
1987M05,306,8.22,268,7.84,38,10.97,334,15.36,179,10.08,155,22.13,721,11.35,422,5.76,298,20.36,582,13.72,200,2.92,382,20.32,"1,272",1.75,718,2.50,553,0.79,"1,182",-7.45,829,-5.39,352,-11.97,"3,503",4.22,"2,276",3.25,"1,226",6.06
1987M06,310,7.48,268,7.53,41,7.13,338,9.89,174,3.56,164,17.53,711,9.45,415,5.99,296,14.70,577,12.77,207,8.35,370,15.41,"1,323",4.84,734,4.44,589,5.36,"1,172",-6.69,805,-5.65,368,-8.90,"3,599",5.05,"2,327",4.90,"1,273",5.34
1987M07,304,0.95,263,-0.53,42,11.37,340,6.59,183,7.07,157,6.04,723,5.75,421,3.96,302,8.34,588,5.66,215,9.37,373,3.63,"1,275",1.58,713,0.62,562,2.84,"1,244",-7.46,841,-5.69,403,-10.97,"3,643",6.91,"2,384",7.82,"1,259",5.22
1987M08,317,3.22,274,1.98,43,11.89,351,6.28,191,5.01,160,7.83,738,2.95,422,-1.84,316,10.12,604,3.70,209,1.38,396,4.97,"1,286",2.25,724,0.66,563,4.38,"1,213",-4.03,827,-6.57,386,1.91,"3,629",9.37,"2,337",8.99,"1,292",10.08
1987M09,329,7.58,281,6.75,48,12.72,365,5.41,195,3.16,170,8.12,755,6.51,440,2.30,314,13.03,609,8.29,218,3.73,391,11.02,"1,271",2.90,711,2.58,560,3.32,"1,197",-2.35,826,-3.77,371,0.98,"3,538",5.85,"2,297",5.21,"1,242",7.06
1987M10,325,7.18,276,4.78,49,23.00,389,8.95,213,7.82,176,10.34,766,8.20,446,4.90,320,13.15,604,10.26,219,9.53,385,10.68,"1,284",3.16,725,3.07,559,3.28,"1,195",-4.35,812,-4.97,383,-3.01,"3,535",2.70,"2,326",3.74,"1,209",0.76
1987M11,329,7.05,283,6.13,46,13.04,381,7.71,210,3.91,171,12.76,748,6.71,426,2.68,322,12.54,592,7.31,202,3.17,390,9.59,"1,338",5.02,764,5.90,574,3.87,"1,160",-8.11,798,-8.27,363,-7.75,"3,548",3.82,"2,332",4.81,"1,216",1.97
1987M12,318,2.16,275,2.14,44,2.28,356,6.51,196,4.58,161,8.96,746,4.28,424,0.13,322,10.30,608,7.84,209,3.77,400,10.09,"1,328",2.77,755,3.45,572,1.88,"1,156",-10.33,801,-10.66,355,-9.60,"3,609",3.75,"2,369",4.83,"1,240",1.73
1988M01,292,-2.43,252,-1.51,40,-7.81,344,1.71,183,0.70,161,2.87,770,6.26,441,4.03,329,9.41,615,5.87,217,3.32,398,7.33,"1,368",2.85,781,4.04,587,1.32,"1,114",-13.08,776,-11.75,338,-15.97,"3,642",4.21,"2,390",5.15,"1,252",2.46
1988M02,313,-2.91,271,-1.01,42,-13.56,350,-0.87,190,1.12,160,-3.14,758,5.15,437,2.91,321,8.37,602,3.71,212,-0.48,390,6.14,"1,369",7.45,769,6.78,600,8.33,"1,118",-12.36,798,-9.29,320,-19.17,"3,515",2.81,"2,351",4.89,"1,164",-1.16
1988M03,336,5.62,289,5.57,48,5.95,361,-4.87,201,-3.34,160,-6.72,759,5.81,438,3.24,321,9.53,612,5.86,216,1.96,396,8.12,"1,332",7.80,763,9.44,569,5.68,"1,133",-8.78,801,-8.72,332,-8.93,"3,415",0.63,"2,300",3.62,"1,115",-5.02
1988M04,336,13.17,289,11.67,47,23.41,365,2.58,198,0.01,166,5.82,789,9.78,464,9.01,326,10.89,630,6.58,228,7.19,402,6.24,"1,329",9.15,758,8.93,571,9.45,"1,101",-10.29,781,-11.27,320,-7.80,"3,385",-1.50,"2,272",1.71,"1,113",-7.44
1988M05,324,5.99,279,4.02,46,19.85,359,7.58,185,3.45,174,12.35,772,7.16,447,5.90,325,8.94,597,2.55,213,6.72,383,0.37,"1,373",8.01,770,7.22,603,9.05,"1,060",-10.33,743,-10.34,316,-10.31,"3,446",-1.61,"2,308",1.37,"1,139",-7.15
1988M06,337,8.90,289,7.58,48,17.49,367,8.86,191,9.80,176,7.87,752,5.66,431,3.81,321,8.26,592,2.63,213,2.78,379,2.54,"1,377",4.09,768,4.66,609,3.38,"1,065",-9.19,747,-7.15,318,-13.66,"3,520",-2.21,"2,360",1.44,"1,160",-8.87
1988M07,343,12.55,291,10.89,51,23.02,367,7.82,194,6.30,172,9.59,792,9.59,453,7.60,339,12.36,629,7.04,225,4.68,405,8.39,"1,349",5.81,763,6.98,586,4.33,"1,079",-13.25,770,-8.43,309,-23.33,"3,541",-2.80,"2,370",-0.56,"1,171",-7.05
1988M08,364,14.93,304,11.21,59,38.64,365,3.88,196,2.51,169,5.52,805,9.11,453,7.37,353,11.43,638,5.56,217,3.72,421,6.53,"1,344",4.50,758,4.75,586,4.19,"1,140",-6.02,799,-3.40,341,-11.65,"3,533",-2.65,"2,331",-0.25,"1,202",-6.99
1988M09,382,16.08,319,13.36,63,32.14,391,6.95,206,5.65,185,8.45,829,9.84,477,8.25,352,12.07,641,5.19,225,3.16,416,6.33,"1,301",2.33,737,3.61,564,0.71,"1,091",-8.86,761,-7.87,330,-11.05,"3,501",-1.07,"2,325",1.23,"1,176",-5.33
1988M10,370,13.86,309,12.09,61,23.83,395,1.36,212,-0.66,183,3.80,837,9.28,485,8.84,351,9.91,646,6.84,235,7.09,411,6.70,"1,352",5.32,752,3.70,600,7.41,"1,136",-4.96,779,-4.10,357,-6.81,"3,526",-0.26,"2,314",-0.52,"1,212",0.23
1988M11,385,16.96,329,16.33,56,20.77,406,6.46,213,1.68,192,12.31,843,12.77,480,12.79,363,12.74,643,8.63,219,8.41,424,8.75,"1,414",5.65,796,4.24,618,7.53,"1,113",-4.05,758,-5.03,356,-1.90,"3,532",-0.45,"2,316",-0.69,"1,216",0.00
1988M12,382,19.96,326,18.55,56,28.85,401,12.46,211,7.56,190,18.44,857,14.83,493,16.23,364,12.99,631,3.80,214,2.47,418,4.49,"1,399",5.38,800,5.89,599,4.71,"1,041",-9.98,739,-7.78,302,-14.92,"3,562",-1.32,"2,355",-0.58,"1,206",-2.74
